"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00346","Vitvi01g00346","30 x 40","Tocai_acclim_r3","Vitvi01g00346","Binding to a zinc ion (Zn)."
"Vitvi01g01960","Vitvi01g01960","29 x 40","Tocai_acclim_r3","Vitvi01g01960","Binding to a protein."
"Vitvi03g00026","Vitvi03g00026","1 x 36","CabFra_accfreeze_r3","Vitvi03g00026","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00049","Vitvi03g00049","14 x 4","Riesl_warm_r2","Vitvi03g00049","Binding to a zinc ion (Zn)."
"Vitvi04g01423","Vitvi04g01423","35 x 6","Chard_warm_r3","Vitvi04g01423","Binding to a zinc ion (Zn)."
"Vitvi05g01519","Vitvi05g01519","18 x 39","Tocai_acclim_r1","Vitvi05g01519","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01361","Vitvi09g01361","1 x 14","Tocai_freeze_r2","Vitvi09g01361","Binding to a zinc ion (Zn)."
"Vitvi12g00543","Vitvi12g00543","5 x 1","Tocai_freeze_r2","Vitvi12g00543","Binding to a zinc ion (Zn)."
"Vitvi12g02441","Vitvi12g02441","34 x 6","Tocai_freeze_r3","Vitvi12g02441","Binding to a zinc ion (Zn)."
"Vitvi18g01048","Vitvi18g01048","5 x 33","CabFra_accfreeze_r3","Vitvi18g01048","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00031","Vitvi19g00031","14 x 23","Riesl_freeze_r2","Vitvi19g00031","Binding to a zinc ion (Zn)."
"Vitvi19g00322","Vitvi19g00322","1 x 15","CabFra_accfreeze_r3","Vitvi19g00322","Binding to a zinc ion (Zn)."
