"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00145","Vitvi01g00145","36 x 37","Tocai_acclim_r3","Vitvi01g00145","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi01g00589","Vitvi01g00589","37 x 36","Riesl_acclim_r3","Vitvi01g00589","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01035","Vitvi01g01035","33 x 34","Tocai_acclim_r3","Vitvi01g01035","Binding to a calcium ion (Ca2+)."
"Vitvi02g00665","Vitvi02g00665","36 x 31","CabFra_warm_r3","Vitvi02g00665","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi03g01127","Vitvi03g01127","33 x 1","Sangio_warm_r1","Vitvi03g01127","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g02063","Vitvi04g02063","36 x 36","Tocai_warm_r3","Vitvi04g02063","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01275","Vitvi07g01275","32 x 36","CabFra_acclim_r1","Vitvi07g01275","A complex, composed of a cluster of manganese, calcium and chloride ions bound to extrinsic proteins, that catalyzes the splitting of water to O2 and 4 H+. In cyanobacteria there are five extrinsic proteins in OEC (PsbO, PsbP-like, PsbQ-like, PsbU and PsbV), while in plants there are only three (PsbO, PsbP and PsbQ)."
"Vitvi10g01236","Vitvi10g01236","39 x 40","CabFra_warm_r3","Vitvi10g01236","The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."
"Vitvi04g01468","Vitvi04g01468","38 x 7","Sangio_warm_r3","Vitvi04g01468","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g01700","Vitvi04g01700","36 x 40","Riesl_acclim_r1","Vitvi04g01700","The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."
"Vitvi05g00474","Vitvi05g00474","37 x 34","CabFra_acclim_r1","Vitvi05g00474","The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana."
"Vitvi05g00505","Vitvi05g00505","38 x 32","CabFra_warm_r3","Vitvi05g00505","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi06g01487","Vitvi06g01487","35 x 19","Tocai_warm_r3","Vitvi06g01487","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
