"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01121","Vitvi01g01121","38 x 37","Riesl_warm_r2","Vitvi01g01121","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01372","Vitvi01g01372","6 x 34","Sangio_accfreeze_r1","Vitvi01g01372","Catalysis of the transfer of a palmitoyl (CH3-14-CO-) group to an acceptor molecule."
"Vitvi01g01796","Vitvi01g01796","34 x 35","Tocai_acclim_r3","Vitvi01g01796","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01238","Vitvi03g01238","17 x 35","Tocai_accfreeze_r3","Vitvi03g01238","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01694","Vitvi06g01694","3 x 21","CabFra_freeze_r3","Vitvi06g01694","Catalysis of the transfer of a palmitoyl (CH3-14-CO-) group to an acceptor molecule."
"Vitvi07g00524","Vitvi07g00524","38 x 25","Tocai_warm_r3","Vitvi07g00524","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01871","Vitvi07g01871","28 x 7","Riesl_freeze_r1","Vitvi07g01871","Catalysis of the transfer of a palmitoyl (CH3-14-CO-) group to an acceptor molecule."
"Vitvi08g00902","Vitvi08g00902","1 x 18","Riesl_freeze_r1","Vitvi08g00902","Catalysis of the transfer of a palmitoyl (CH3-14-CO-) group to an acceptor molecule."
"Vitvi08g01224","Vitvi08g01224","13 x 31","Sangio_accfreeze_r1","Vitvi08g01224","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00368","Vitvi12g00368","1 x 27","Riesl_warm_r1","Vitvi12g00368","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00647","Vitvi13g00647","4 x 26","Chard_acclim_r3","Vitvi13g00647","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00326","Vitvi14g00326","16 x 20","CabFra_freeze_r1","Vitvi14g00326","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01503","Vitvi14g01503","37 x 15","Tocai_warm_r3","Vitvi14g01503","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00725","Vitvi15g00725","20 x 6","Sangio_freeze_r1","Vitvi15g00725","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00902","Vitvi15g00902","29 x 10","CabFra_freeze_r1","Vitvi15g00902","Catalysis of the transfer of a palmitoyl (CH3-14-CO-) group to an acceptor molecule."
"Vitvi17g00068","Vitvi17g00068","9 x 15","Sangio_freeze_r3","Vitvi17g00068","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00064","Vitvi18g00064","35 x 29","CabFra_warm_r2","Vitvi18g00064","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi18g01614","Vitvi18g01614","36 x 15","CabFra_warm_r3","Vitvi18g01614","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
