"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01552","Vitvi01g01552","16 x 23","Riesl_freeze_r1","Vitvi01g01552","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00341","Vitvi02g00341","9 x 40","Sangio_accfreeze_r1","Vitvi02g00341","Binding to a metal ion."
"Vitvi02g00597","Vitvi02g00597","11 x 32","Sangio_accfreeze_r1","Vitvi02g00597","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00007","Vitvi03g00007","13 x 13","Tocai_freeze_r2","Vitvi03g00007","Binding to a nucleic acid."
"Vitvi04g01093","Vitvi04g01093","31 x 1","Chard_warm_r2","Vitvi04g01093","Binding to a protein."
"Vitvi04g01893","Vitvi04g01893","24 x 19","CabFra_accfreeze_r2","Vitvi04g01893","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00949","Vitvi04g00949","21 x 20","Tocai_accfreeze_r3","Vitvi04g00949","Binding to a large ribosomal subunit."
"Vitvi04g01298","Vitvi04g01298","15 x 27","Sangio_accfreeze_r1","Vitvi04g01298","Binding to an RNA molecule or a portion thereof."
"Vitvi04g01743","Vitvi04g01743","3 x 21","Riesl_freeze_r1","Vitvi04g01743","Binding to GTP, guanosine triphosphate."
"Vitvi05g00063","Vitvi05g00063","25 x 17","Sangio_accfreeze_r1","Vitvi05g00063","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi05g00353","Vitvi05g00353","17 x 27","Chard_warm_r1","Vitvi05g00353","A large ribonucleoprotein complex that is an early preribosomal complex. In S. cerevisiae, it has a size of 80S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins."
"Vitvi05g00767","Vitvi05g00767","23 x 30","Chard_acclim_r3","Vitvi05g00767","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01185","Vitvi05g01185","1 x 22","CabFra_accfreeze_r1","Vitvi05g01185","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01701","Vitvi05g01701","28 x 11","Sangio_accfreeze_r1","Vitvi05g01701","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00212","Vitvi06g00212","28 x 24","CabFra_warm_r2","Vitvi06g00212","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi06g00328","Vitvi06g00328","30 x 25","CabFra_warm_r1","Vitvi06g00328","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00384","Vitvi06g00384","13 x 13","Sangio_accfreeze_r1","Vitvi06g00384","The process whose specific outcome is the progression of a pollen tube over time, from its initial formation to a mature structure."
"Vitvi06g00897","Vitvi06g00897","14 x 11","CabFra_freeze_r1","Vitvi06g00897","Binding to GTP, guanosine triphosphate."
"Vitvi06g01087","Vitvi06g01087","4 x 21","CabFra_freeze_r2","Vitvi06g01087","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g00038","Vitvi07g00038","13 x 29","Riesl_acclim_r1","Vitvi07g00038","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"Vitvi07g00226","Vitvi07g00226","8 x 40","Sangio_accfreeze_r1","Vitvi07g00226","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi07g00336","Vitvi07g00336","12 x 30","Sangio_accfreeze_r1","Vitvi07g00336","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi07g00628","Vitvi07g00628","24 x 31","Riesl_acclim_r3","Vitvi07g00628","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00831","Vitvi07g00831","27 x 25","Riesl_acclim_r1","Vitvi07g00831","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi07g01605","Vitvi07g01605","8 x 36","CabFra_acclim_r1","Vitvi07g01605","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01620","Vitvi07g01620","14 x 28","Sangio_accfreeze_r1","Vitvi07g01620","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01685","Vitvi07g01685","27 x 24","CabFra_warm_r3","Vitvi07g01685","Binding to a nucleic acid."
"Vitvi07g01851","Vitvi07g01851","9 x 29","Tocai_accfreeze_r2","Vitvi07g01851","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01902","Vitvi07g01902","24 x 25","Sangio_accfreeze_r1","Vitvi07g01902","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi07g01999","Vitvi07g01999","9 x 27","Chard_acclim_r2","Vitvi07g01999","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"Vitvi08g01233","Vitvi08g01233","7 x 40","Sangio_accfreeze_r1","Vitvi08g01233","Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules."
"Vitvi08g01588","Vitvi08g01588","28 x 25","Sangio_accfreeze_r1","Vitvi08g01588","A large ribonucleoprotein complex that is an early preribosomal complex. In S. cerevisiae, it has a size of 80S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins."
"Vitvi08g01651","Vitvi08g01651","10 x 32","CabFra_accfreeze_r2","Vitvi08g01651","The addition of a methyl group to an atom in the nucleoside base portion of a nucleotide residue in an rRNA molecule."
"Vitvi08g01813","Vitvi08g01813","31 x 25","Tocai_warm_r3","Vitvi08g01813","A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
"Vitvi08g01911","Vitvi08g01911","1 x 21","Sangio_freeze_r2","Vitvi08g01911","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g02164","Vitvi08g02164","12 x 29","Tocai_accfreeze_r2","Vitvi08g02164","Binding to an RNA molecule or a portion thereof."
"Vitvi08g02190","Vitvi08g02190","31 x 24","CabFra_warm_r3","Vitvi08g02190","Binding to an RNA molecule or a portion thereof."
"Vitvi09g00094","Vitvi09g00094","19 x 9","CabFra_accfreeze_r3","Vitvi09g00094","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
"Vitvi09g00135","Vitvi09g00135","21 x 39","Sangio_accfreeze_r1","Vitvi09g00135","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00148","Vitvi09g00148","12 x 31","Tocai_accfreeze_r2","Vitvi09g00148","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00513","Vitvi09g00513","24 x 5","CabFra_freeze_r3","Vitvi09g00513","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
