"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00234","Vitvi01g00234","40 x 1","CabFra_freeze_r1","Vitvi01g00234","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00435","Vitvi02g00435","40 x 30","Tocai_warm_r2","Vitvi02g00435","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00077","Vitvi03g00077","37 x 1","Chard_freeze_r2","Vitvi03g00077","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00524","Vitvi03g00524","37 x 1","Sangio_freeze_r1","Vitvi03g00524","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi07g01255","Vitvi07g01255","40 x 36","Sangio_warm_r1","Vitvi07g01255","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi04g01454","Vitvi04g01454","40 x 32","Tocai_freeze_r1","Vitvi04g01454","Binding to a metal ion."
"Vitvi05g01044","Vitvi05g01044","40 x 2","Tocai_freeze_r1","Vitvi05g01044","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi06g00803","Vitvi06g00803","40 x 19","Tocai_freeze_r1","Vitvi06g00803","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g01417","Vitvi06g01417","6 x 1","CabFra_freeze_r1","Vitvi06g01417","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi07g01723","Vitvi07g01723","8 x 1","Sangio_freeze_r1","Vitvi07g01723","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi08g00940","Vitvi08g00940","40 x 2","Tocai_freeze_r1","Vitvi08g00940","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01229","Vitvi09g01229","18 x 4","Sangio_freeze_r1","Vitvi09g01229","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00217","Vitvi11g00217","22 x 40","Chard_acclim_r3","Vitvi11g00217","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi11g00720","Vitvi11g00720","2 x 14","Riesl_freeze_r3","Vitvi11g00720","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00730","Vitvi11g00730","40 x 34","Chard_warm_r2","Vitvi11g00730","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00924","Vitvi11g00924","5 x 8","Sangio_freeze_r3","Vitvi11g00924","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi12g00261","Vitvi12g00261","9 x 1","Chard_freeze_r3","Vitvi12g00261","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi13g00225","Vitvi13g00225","40 x 20","CabFra_freeze_r2","Vitvi13g00225","The catalysis of certain rearrangements of a molecule to break or form a ring."
"Vitvi13g01911","Vitvi13g01911","40 x 20","Tocai_warm_r3","Vitvi13g01911","The catalysis of certain rearrangements of a molecule to break or form a ring."
"Vitvi14g01449","Vitvi14g01449","40 x 1","Tocai_freeze_r1","Vitvi14g01449","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi17g00371","Vitvi17g00371","38 x 2","Sangio_warm_r3","Vitvi17g00371","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi17g00700","Vitvi17g00700","40 x 19","CabFra_warm_r3","Vitvi17g00700","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi18g00988","Vitvi18g00988","40 x 1","Sangio_freeze_r1","Vitvi18g00988","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g01119","Vitvi18g01119","40 x 1","CabFra_freeze_r2","Vitvi18g01119","Binding to a metal ion."
"Vitvi18g02538","Vitvi18g02538","1 x 11","Chard_accfreeze_r2","Vitvi18g02538","Binding to a metal ion."
"Vitvi18g02541","Vitvi18g02541","37 x 34","Sangio_warm_r3","Vitvi18g02541","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
