"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00376","Vitvi01g00376","4 x 32","Sangio_acclim_r1","Vitvi01g00376","Binding to a protein."
"Vitvi01g00596","Vitvi01g00596","19 x 36","Tocai_acclim_r2","Vitvi01g00596","A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
"Vitvi01g00733","Vitvi01g00733","3 x 29","Chard_warm_r3","Vitvi01g00733","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00952","Vitvi01g00952","21 x 20","Riesl_accfreeze_r1","Vitvi01g00952","The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport."
"Vitvi01g01418","Vitvi01g01418","16 x 32","Sangio_acclim_r2","Vitvi01g01418","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g01986","Vitvi01g01986","7 x 37","CabFra_accfreeze_r3","Vitvi01g01986","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00424","Vitvi02g00424","21 x 13","CabFra_freeze_r3","Vitvi02g00424","Binding to a calcium ion (Ca2+)."
"Vitvi02g00486","Vitvi02g00486","18 x 20","CabFra_freeze_r1","Vitvi02g00486","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00661","Vitvi02g00661","23 x 26","Tocai_acclim_r3","Vitvi02g00661","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi02g00699","Vitvi02g00699","26 x 5","CabFra_freeze_r1","Vitvi02g00699","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi02g00737","Vitvi02g00737","12 x 31","Chard_acclim_r3","Vitvi02g00737","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00828","Vitvi02g00828","5 x 33","Sangio_accfreeze_r1","Vitvi02g00828","Binding to an identical protein to form a homodimer."
"Vitvi03g00133","Vitvi03g00133","12 x 4","CabFra_freeze_r3","Vitvi03g00133","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi03g00243","Vitvi03g00243","15 x 21","Tocai_accfreeze_r3","Vitvi03g00243","Binding to a calcium ion (Ca2+)."
"Vitvi03g00261","Vitvi03g00261","17 x 34","Tocai_accfreeze_r3","Vitvi03g00261","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00348","Vitvi03g00348","21 x 23","Tocai_warm_r2","Vitvi03g00348","Binding to GTP, guanosine triphosphate."
"Vitvi04g00050","Vitvi04g00050","25 x 33","Riesl_acclim_r1","Vitvi04g00050","The process of directing proteins towards the vacuole, usually using signals contained within the protein."
"Vitvi04g00480","Vitvi04g00480","40 x 11","Chard_warm_r1","Vitvi04g00480","Binding to a calcium ion (Ca2+)."
"Vitvi04g01530","Vitvi04g01530","19 x 40","Sangio_acclim_r1","Vitvi04g01530","Binding to a calcium ion (Ca2+)."
"Vitvi04g01778","Vitvi04g01778","20 x 7","Tocai_freeze_r2","Vitvi04g01778","The leaflet the plasma membrane that faces the cytoplasm and any proteins embedded or anchored in it or attached to its surface."
"Vitvi07g00060","Vitvi07g00060","4 x 8","CabFra_freeze_r2","Vitvi07g00060","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi10g00164","Vitvi10g00164","38 x 28","Sangio_warm_r3","Vitvi10g00164","Binding to a calcium ion (Ca2+)."
"Vitvi10g00386","Vitvi10g00386","5 x 20","Sangio_freeze_r3","Vitvi10g00386","An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes."
"Vitvi10g00391","Vitvi10g00391","7 x 8","CabFra_freeze_r3","Vitvi10g00391","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi04g01451","Vitvi04g01451","33 x 15","Riesl_accfreeze_r1","Vitvi04g01451","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi04g01482","Vitvi04g01482","9 x 39","Sangio_acclim_r1","Vitvi04g01482","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi04g01499","Vitvi04g01499","18 x 32","Sangio_acclim_r3","Vitvi04g01499","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00054","Vitvi05g00054","6 x 21","Sangio_freeze_r3","Vitvi05g00054","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
