"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00568","Vitvi01g00568","21 x 2","Tocai_accfreeze_r3","Vitvi01g00568","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00658","Vitvi01g00658","28 x 1","Sangio_freeze_r2","Vitvi01g00658","Binding to a copper (Cu) ion."
"Vitvi01g00742","Vitvi01g00742","40 x 26","Tocai_warm_r3","Vitvi01g00742","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g00787","Vitvi01g00787","4 x 2","CabFra_freeze_r3","Vitvi01g00787","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g02013","Vitvi01g02013","40 x 10","Riesl_freeze_r3","Vitvi01g02013","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00417","Vitvi02g00417","1 x 11","CabFra_freeze_r2","Vitvi02g00417","Binding to a copper (Cu) ion."
"Vitvi02g00569","Vitvi02g00569","33 x 13","Sangio_warm_r3","Vitvi02g00569","Catalysis of the reaction: 3-hydroxy-2-methylpropanoyl-CoA + H2O = CoA + 3-hydroxy-2-methylpropanoate."
"Vitvi03g00892","Vitvi03g00892","3 x 35","CabFra_accfreeze_r3","Vitvi03g00892","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00895","Vitvi03g00895","9 x 13","Sangio_freeze_r2","Vitvi03g00895","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g01080","Vitvi03g01080","1 x 25","Tocai_accfreeze_r2","Vitvi03g01080","The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."
"Vitvi04g00597","Vitvi04g00597","35 x 20","CabFra_warm_r2","Vitvi04g00597","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g01403","Vitvi07g01403","14 x 25","Sangio_accfreeze_r1","Vitvi07g01403","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g00870","Vitvi04g00870","12 x 38","Chard_accfreeze_r1","Vitvi04g00870","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g00943","Vitvi04g00943","6 x 36","Chard_acclim_r2","Vitvi04g00943","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01402","Vitvi04g01402","38 x 1","Riesl_freeze_r3","Vitvi04g01402","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00137","Vitvi05g00137","8 x 9","Sangio_freeze_r3","Vitvi05g00137","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00483","Vitvi05g00483","4 x 6","Sangio_freeze_r3","Vitvi05g00483","Binding to a copper (Cu) ion."
"Vitvi05g00485","Vitvi05g00485","35 x 10","Sangio_warm_r1","Vitvi05g00485","Binding to a copper (Cu) ion."
"Vitvi06g00210","Vitvi06g00210","18 x 1","Sangio_warm_r2","Vitvi06g00210","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g00824","Vitvi07g00824","26 x 14","Sangio_freeze_r1","Vitvi07g00824","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01934","Vitvi07g01934","32 x 8","Riesl_warm_r1","Vitvi07g01934","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
