"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi04g01368",1,"Vitvi04g01368","Vitvi04g01368",4.00802085460891,2.07996992007007,4.32803183524543,-3.90491619242393,0.675983106331845,6.92555567481027,"2.11658424120742e-09      .","1 x 38","4 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00087",2,"Vitvi18g00087","Vitvi18g00087",1.67652619244902,1.66882532595238,4.10786323031331,-1.67652619244902,0.722492965259184,7.88960615102644,"5.24233989551703e-11      .","1 x 40","18 ",""
"Vitvi16g00733",3,"Vitvi16g00733","Vitvi16g00733",1.73170520350797,1.88133825268981,3.92166438689437,-1.73170520350797,0.835262028850387,11.4687020567619,"1.11022302462516e-16      .","1 x 40","16 ","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi12g02353",4,"Vitvi12g02353","Vitvi12g02353",5.42795194123181,2.50945750273979,3.43162943311711,-5.18341111224704,0.800320572643295,10.0776628583416,"1.4210854715202e-14      .","1 x 40","12 ",""
"Vitvi19g00255",5,"Vitvi19g00255","Vitvi19g00255",3.64453912370692,1.29442837571499,3.41576548703831,-3.3845819428916,0.568014783248416,5.21059775316977,"1.35126656908291e-06      .","1 x 37","19 ",""
"Vitvi10g00647",6,"Vitvi10g00647","Vitvi10g00647",2.83876825932256,1.1157289608101,3.29205294231553,-2.39559918125147,0.754381723936886,8.67633275189383,"2.61834998127597e-12      .","1 x 38","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01469",7,"Vitvi14g01469","Vitvi14g01469",2.48699771267313,1.47054523136078,3.12889246411579,-2.41131206977182,0.464275112437254,3.957587995544,"0.000106106511042592      .","1 x 40","14 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi18g00122",8,"Vitvi18g00122","Vitvi18g00122",0.658505381592314,0.858657249850071,3.08661663828498,-0.658505381592314,0.683595307876202,7.07124997098387,"1.21041465739324e-09      .","1 x 38","18 ","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi05g00071",9,"Vitvi05g00071","Vitvi05g00071",4.73530027416049,1.52698954267322,3.0112770011935,-3.56681739738797,0.681207628138221,7.02509649471839,"1.44490330811209e-09      .","1 x 39","5 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi10g00649",10,"Vitvi10g00649","",1.93208578082737,0.9493795533294,2.87562122364499,-1.88248904554268,0.63766699019356,6.24977834766399,"2.79455201201984e-08      .","1 x 36"," ",""
"Vitvi18g00946",11,"Vitvi18g00946","Vitvi18g00946",0.764394896196225,0.894477253076712,2.77793123065712,-0.764394896196225,0.494356303634721,4.29366468887733,"3.45243420341035e-05      .","1 x 36","18 ","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi05g01758",12,"Vitvi05g01758","",3.5850437626742,1.2387994404704,2.60237325889062,-3.16696618167634,0.625814146434707,6.05764296461794,"5.78558068120572e-08      .","1 x 38"," ",""
"Vitvi17g00237",13,"Vitvi17g00237","Vitvi17g00237",2.93059787851486,1.35022314189721,2.57542183443168,-2.93059787851486,0.528788969604886,4.70368598470292,"8.33759970098047e-06      .","2 x 40","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g01696",14,"Vitvi06g01696","Vitvi06g01696",6.14160344841272,0.896607529955958,2.56344857893742,-1.62432701145601,0.543317392164066,4.88603050313706,"4.36395742409168e-06      .","1 x 35","6 ","Binding to a metal ion."
"Vitvi17g00914",15,"Vitvi17g00914","",1.53675895105421,1.43396847853449,2.49439676783639,-1.53675895105421,0.870917766217493,13.3799346463247,"0      .","1 x 40"," ",""
"Vitvi16g01161",16,"Vitvi16g01161","Vitvi16g01161",1.2402381536943,1.25816716268896,2.4285652564856,-1.2402381536943,0.675608945622465,6.9185016587263,"2.17460693896498e-09      .","2 x 40","16 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00985",17,"Vitvi16g00985","Vitvi16g00985",2.29137198533496,1.92613284866769,2.40024100074802,-2.29137198533496,0.960351470880548,26.0068122279597,"0      .","1 x 40","16 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
"Vitvi05g01453",18,"Vitvi05g01453","Vitvi05g01453",1.53573222048412,1.36507366064439,2.39572119187184,-1.53573222048412,0.910326960480066,16.6054265180867,"0      .","1 x 40","5 ","Binding to a protein."
"Vitvi04g01564",19,"Vitvi04g01564","",5.0501702106451,1.62369916122061,2.3933031906685,-4.53005049568033,0.433034247113743,3.62704525523124,"0.000306648832090639      .","2 x 39"," ",""
"Vitvi17g00116",20,"Vitvi17g00116","Vitvi17g00116",4.11855501026256,1.33323896658102,2.38581923159666,-2.66245049084123,0.791227260316703,9.76846735054167,"4.40758540776187e-14      .","1 x 39","17 ","Modulates the activity of a protein kinase, an enzyme which phosphorylates a protein."
