"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi16g01022",1,"Vitvi16g01022","Vitvi16g01022",0.76812295007253,1.02008392568094,4.21766311620227,-0.76812295007253,0.462478556665998,3.93809671955934,"0.000113099172101339      .","1 x 15","16 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
"Vitvi14g01808",2,"Vitvi14g01808","Vitvi14g01808",0.873942064141309,1.04978683706117,3.28303649478719,-0.873942064141309,0.456157484425274,3.87000460122691,"0.000141180823822085      .","3 x 14","14 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g01587",3,"Vitvi08g01587","Vitvi08g01587",1.41451269580861,0.934682986827715,3.27454554091305,-1.38500754038778,0.628804835307293,6.10544917570969,"4.82902018372755e-08      .","2 x 11","8 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi05g01833",4,"Vitvi05g01833","Vitvi05g01833",3.02521115826293,1.36114575737406,3.20051299483136,-2.67131300396235,0.686342482218955,7.12488022397289,"9.85263648445311e-10      .","1 x 15","5 ","Binding to a metal ion."
"Vitvi18g00480",5,"Vitvi18g00480","Vitvi18g00480",2.09985696040571,1.15523858297509,3.17100696571251,-1.94591019099827,0.618590364691737,5.94396540974918,"8.88282070121704e-08      .","1 x 14","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g02476",6,"Vitvi14g02476","Vitvi14g02476",1.23608820872429,0.954194809235559,2.80309868278175,-1.23608820872429,0.732582819234358,8.12554504730127,"2.12686535050466e-11      .","1 x 12","14 ",""
"Vitvi18g02398",7,"Vitvi18g02398","Vitvi18g02398",2.04192446920804,1.44788077799072,2.63030365290532,-2.04192446920804,0.674291817007548,6.89374801709943,"2.39106690003155e-09      .","1 x 15","18 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01601",8,"Vitvi06g01601","Vitvi06g01601",0.79216778606727,0.796512149757272,2.58050069844314,-0.789919838257638,0.600689380859795,5.67255114754188,"2.45652199026836e-07      .","1 x 11","6 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g01623",9,"Vitvi13g01623","Vitvi13g01623",1.63417903080556,0.850578985599772,2.50624475294615,-1.58458229552087,0.648100199790223,6.42507596847864,"1.43467941970954e-08      .","4 x 12","13 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi05g00342",10,"Vitvi05g00342","Vitvi05g00342",1.29459736908133,1.02113786446196,2.44130848947014,-1.27561714789901,0.688165859851004,7.16079373525808,"8.58398685466e-10      .","1 x 14","5 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
