"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00232","Vitvi01g00232","40 x 15","Chard_warm_r1","Vitvi01g00232","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g00801","Vitvi01g00801","35 x 14","Sangio_warm_r2","Vitvi01g00801",""
"Vitvi01g00876","Vitvi01g00876","38 x 5","CabFra_freeze_r1","Vitvi01g00876","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g00964","Vitvi01g00964","38 x 32","Riesl_warm_r2","Vitvi01g00964","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01287","Vitvi01g01287","22 x 30","Chard_warm_r1","Vitvi01g01287","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01316","Vitvi01g01316","21 x 25","Riesl_freeze_r2","Vitvi01g01316","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01482","Vitvi01g01482","29 x 40","Chard_acclim_r2","Vitvi01g01482","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01745","Vitvi01g01745","16 x 1","Chard_freeze_r3","Vitvi01g01745","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01757","Vitvi01g01757","29 x 35","Tocai_acclim_r1","Vitvi01g01757","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01946","Vitvi01g01946","36 x 2","Sangio_warm_r1","Vitvi01g01946","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi02g00202","Vitvi02g00202","31 x 35","Tocai_warm_r3","Vitvi02g00202","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi02g00317","Vitvi02g00317","35 x 31","Tocai_warm_r1","Vitvi02g00317","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi02g00698","Vitvi02g00698","12 x 3","Riesl_warm_r1","Vitvi02g00698","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi02g00709","Vitvi02g00709","40 x 31","CabFra_warm_r1","Vitvi02g00709","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g00098","Vitvi03g00098","34 x 15","CabFra_warm_r2","Vitvi03g00098","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g00315","Vitvi03g00315","39 x 40","Tocai_acclim_r3","Vitvi03g00315","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g02613","Vitvi07g02613","36 x 25","Tocai_warm_r3","Vitvi07g02613","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi10g00323","Vitvi10g00323","16 x 1","Sangio_freeze_r3","Vitvi10g00323","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g01312","Vitvi04g01312","7 x 40","Tocai_acclim_r3","Vitvi04g01312","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g01463","Vitvi04g01463","4 x 40","Riesl_acclim_r1","Vitvi04g01463","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00143","Vitvi05g00143","31 x 20","CabFra_warm_r2","Vitvi05g00143","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00427","Vitvi05g00427","25 x 40","Sangio_accfreeze_r1","Vitvi05g00427","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00624","Vitvi05g00624","5 x 36","CabFra_accfreeze_r3","Vitvi05g00624","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00640","Vitvi05g00640","11 x 2","Tocai_freeze_r1","Vitvi05g00640","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00711","Vitvi05g00711","17 x 3","Sangio_freeze_r1","Vitvi05g00711","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g01063","Vitvi05g01063","14 x 2","Sangio_warm_r3","Vitvi05g01063","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g01103","Vitvi05g01103","31 x 38","Chard_acclim_r3","Vitvi05g01103","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g01393","Vitvi05g01393","24 x 30","Sangio_acclim_r3","Vitvi05g01393","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g01597","Vitvi05g01597","25 x 1","Chard_freeze_r3","Vitvi05g01597","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi06g00181","Vitvi06g00181","5 x 19","Tocai_freeze_r3","Vitvi06g00181","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi06g00763","Vitvi06g00763","40 x 20","CabFra_warm_r2","Vitvi06g00763","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi06g00920","Vitvi06g00920","2 x 37","Tocai_accfreeze_r3","Vitvi06g00920","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g00002","Vitvi07g00002","15 x 20","Chard_freeze_r1","Vitvi07g00002","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g00046","Vitvi07g00046","21 x 40","Riesl_accfreeze_r2","Vitvi07g00046","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g00139","Vitvi07g00139","18 x 17","Tocai_freeze_r1","Vitvi07g00139","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g00577","Vitvi07g00577","25 x 32","CabFra_freeze_r1","Vitvi07g00577","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g00762","Vitvi07g00762","6 x 33","CabFra_accfreeze_r3","Vitvi07g00762","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g01729","Vitvi07g01729","7 x 7","Sangio_freeze_r3","Vitvi07g01729","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi07g02251","Vitvi07g02251","30 x 40","Chard_warm_r3","Vitvi07g02251","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g00820","Vitvi08g00820","35 x 35","Chard_freeze_r1","Vitvi08g00820","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00979","Vitvi08g00979","34 x 26","Tocai_warm_r1","Vitvi08g00979","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi08g01254","Vitvi08g01254","20 x 40","Chard_acclim_r2","Vitvi08g01254","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi08g01852","Vitvi08g01852","3 x 32","Sangio_accfreeze_r1","Vitvi08g01852","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi08g01856","Vitvi08g01856","40 x 15","CabFra_warm_r1","Vitvi08g01856","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi08g00691","Vitvi08g00691","17 x 35","Tocai_accfreeze_r1","Vitvi08g00691","Binding to a metal ion."
"Vitvi09g00227","Vitvi09g00227","20 x 40","Tocai_accfreeze_r1","Vitvi09g00227","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi09g00339","Vitvi09g00339","20 x 26","Chard_warm_r3","Vitvi09g00339","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
