"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi04g02117",1,"Vitvi04g02117","Vitvi04g02117",1.37051446625225,1.10056481372546,2.72931736849061,-1.32091773096756,0.463514692477108,3.94933044429175,"0.000109016569353471      .","40 x 21","4 ","Binding to a metal ion."
"Vitvi04g00533",2,"Vitvi04g00533","Vitvi04g00533",1.35902204183067,0.67522227732706,2.41506119311348,-0.919904881892107,0.64152555394358,6.31391110537644,"2.19027875836275e-08      .","40 x 20","4 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g00641",3,"Vitvi04g00641","Vitvi04g00641",1.25930976066753,0.894768736487407,2.35026036582112,-1.24665544765252,0.336484949544371,2.69771238713315,"0.0045836254506979      .","40 x 18","4 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi08g02147",4,"Vitvi08g02147","Vitvi08g02147",1.07819249011382,0.940465658554993,2.30592244812319,-1.0592122689315,0.281232607491225,2.21255933666022,"0.0154746121431122      .","35 x 27","8 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi03g00432",5,"Vitvi03g00432","",0.718539519634067,0.674175041077767,2.28244085890097,-0.705885206619058,0.493227409838411,4.28070298990637,"3.60790587737858e-05      .","35 x 25"," ",""
"Vitvi11g00033",6,"Vitvi11g00033","Vitvi11g00033",0.779625819652812,0.645976259342547,2.25059746140211,-0.766971506637803,0.507156329447086,4.44268514018658,"2.07232710368599e-05      .","40 x 20","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g01582",7,"Vitvi15g01582","Vitvi15g01582",0.449214648941104,0.680641725012111,2.25053513859614,-0.449214648941104,0.400799184374203,3.30285964605606,"0.000828329887190504      .","35 x 28","15 ","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi19g00505",8,"Vitvi19g00505","",0.60744691425681,0.691636536909306,2.22991518697063,-0.60744691425681,0.277210224559642,2.17825880887046,"0.0167689447304271      .","40 x 17"," ",""
"Vitvi08g00175",9,"Vitvi08g00175","Vitvi08g00175",1.71466106174964,0.792443456561835,2.19978152474455,-1.17386719189259,0.642758976029231,6.33458241539451,"2.02470923360565e-08      .","40 x 21","8 ","Binding to a calcium ion (Ca2+)."
"Vitvi03g00692",10,"Vitvi03g00692","Vitvi03g00692",0.744284375679205,0.595495300100161,2.17028995643916,-0.727288570591598,0.643466771504339,6.34648244382098,"1.93510383272866e-08      .","40 x 19","3 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi01g02263",11,"Vitvi01g02263","Vitvi01g02263",0.800440498913645,0.717058796482062,2.08128152688471,-0.781460277731327,0.606455686068471,5.75844607367131,"1.78229294434118e-07      .","40 x 20","1 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g01324",12,"Vitvi02g01324","Vitvi02g01324",1.9439801251901,0.920831031099171,2.06803014627842,-1.81328023373012,0.416768572609428,3.46148516089492,"0.000512537214113595      .","40 x 20","2 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi18g01433",13,"Vitvi18g01433","Vitvi18g01433",0.465230520543778,0.69744081261903,2.05971651595323,-0.465230520543778,0.61437188487698,5.8787179411939,"1.13535539858489e-07      .","40 x 20","18 ","Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."
"Vitvi06g00679",14,"Vitvi06g00679","Vitvi06g00679",0.83905708096075,0.711470880519894,2.04784112853506,-0.83905708096075,0.745918372471152,8.45532164804921,"6.05493433170068e-12      .","40 x 21","6 ","Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule."
"Vitvi05g00546",15,"Vitvi05g00546","Vitvi05g00546",0.541119947021401,0.610416977459023,2.04472824704247,-0.541119947021401,0.521406513670837,4.6132591595737,"1.14556348673744e-05      .","40 x 17","5 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00442",16,"Vitvi03g00442","",0.94408996811381,0.759618246199867,2.0298699221311,-0.925109746931492,0.496347425328627,4.31659647467801,"3.19316114868462e-05      .","35 x 28"," ",""
"Vitvi01g00424",17,"Vitvi01g00424","Vitvi01g00424",1.78465073820986,0.604025072962207,2.00750621744457,-1.14219318676946,0.650390658614482,6.46437929055514,"1.23508792082561e-08      .","36 x 23","1 ","Binding to a metal ion."
"Vitvi17g00331",18,"Vitvi17g00331","Vitvi17g00331",3.03167852146189,0.722516918093165,2.00385276860268,-1.29769832132403,0.269770823747096,2.11514499215146,"0.0194003865709429      .","40 x 13","17 ",""
"Vitvi13g02541",19,"Vitvi13g02541","Vitvi13g02541",0.621532562483444,0.691789899699921,1.98622900415097,-0.621532562483444,0.447308805053626,3.77592187426144,"0.00019120951140883      .","34 x 24","14 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00231",20,"Vitvi17g00231","Vitvi17g00231",1.63883663774424,0.719644252868746,1.96367191418106,-1.63883663774424,0.457272772005459,3.88196432441753,"0.000135805413650103      .","40 x 21","17 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00520",21,"Vitvi05g00520","Vitvi05g00520",0.966418052141912,0.593509560575944,1.95613837086286,-0.921111624800886,0.604505339689627,5.72923549247661,"1.98800185202685e-07      .","40 x 18","5 ",""
"Vitvi07g01565",22,"Vitvi07g01565","",2.13041977193617,0.623165897402756,1.94311187973942,-1.45891802030571,0.470550160491174,4.02615992557979,"8.46683324311481e-05      .","40 x 20"," ",""
"Vitvi19g02192",23,"Vitvi19g02192","",2.46968854289934,0.763512542715545,1.93870811638549,-1.77679807726881,0.462721880396563,3.9407329733948,"0.000112128071887874      .","40 x 20"," ",""
"Vitvi05g01642",24,"Vitvi05g01642","Vitvi05g01642",1.33549697546793,0.672597838612632,1.93437377110594,-1.31396590984544,0.721554106560231,7.86820349642459,"5.68999292127614e-11      .","40 x 21","5 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi15g01579",25,"Vitvi15g01579","",0.658700634374573,0.640845337558765,1.92443473279722,-0.658700634374573,0.431522905772995,3.61148358710766,"0.000321988396642103      .","35 x 19"," ",""
"Vitvi18g02551",26,"Vitvi18g02551","",0.94317767303531,0.590636312981253,1.90314622642129,-0.94317767303531,0.218927310031683,1.69395839091712,"0.0478657270139855      .","40 x 16"," ",""
"Vitvi08g01175",27,"Vitvi08g01175","",4.84317128928311,0.660183619739954,1.88937271072807,-0.946691480392999,0.839827817572335,11.6800727136272,"0      .","40 x 21"," ",""
"Vitvi08g02384",28,"Vitvi08g02384","",1.02874499534252,0.643781420344549,1.87930295301077,-0.980924500248957,0.362474438324035,2.93630950232826,"0.00239159816651746      .","38 x 21"," ",""
"Vitvi07g00454",29,"Vitvi07g00454","Vitvi07g00454",0.668563389354019,0.697627301237183,1.87831021830029,-0.668563389354019,0.6009312669516,5.67612609430055,"2.42398827232648e-07      .","40 x 18","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g01907",30,"Vitvi01g01907","Vitvi01g01907",0.866920258947752,0.625641153500918,1.82628286551085,-0.841800915162845,0.454043745532749,3.84740111336603,"0.00015190399075915      .","38 x 18","1 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi01g01550",31,"Vitvi01g01550","Vitvi01g01550",1.32934502327143,0.626697548528744,1.81518179071944,-1.05265146695162,0.511741762034041,4.49701869386625,"1.71739875838295e-05      .","35 x 25","1 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
