"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01318",1,"Vitvi14g01318","Vitvi14g01318",1.75868275214996,1.35455679713131,4.0172158127465,-1.75868275214996,0.342369075428389,2.75109048521406,"0.00397415764858011      .","1 x 28","14 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi14g02722",2,"Vitvi14g02722","Vitvi14g02722",0.701213954183249,1.10830860914487,3.67463230325817,-0.701213954183249,0.277989973479771,2.18489827773523,"0.0165112255632032      .","8 x 20","14 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi15g01643",3,"Vitvi15g01643","",1.4768925957157,1.78833753874518,3.49715663854334,-1.4768925957157,0.215708266463357,1.66782589618565,"0.0504178208177115      .","1 x 28"," ",""
"Vitvi12g00368",4,"Vitvi12g00368","Vitvi12g00368",0.75133822127052,1.01870482924447,3.34881338301019,-0.75133822127052,0.106475569651177,0.808468809765206,"0.211091163149754      .","1 x 27","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00516",5,"Vitvi07g00516","Vitvi07g00516",2.38069964016997,1.02349742825726,3.16130419932984,-1.85799716866557,0.364625097260146,2.95639378457277,"0.00226082262477845      .","1 x 25","7 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi13g00807",6,"Vitvi13g00807","Vitvi13g00807",1.78256509742369,1.64436971507436,3.13495337902822,-1.78256509742369,0.131143700658147,0.998738966927644,"0.161071134295087      .","12 x 18","13 ","Binding to a protein."
"Vitvi19g00283",7,"Vitvi19g00283","Vitvi19g00283",0.622737387432635,1.23700508939,3.09340882088315,-0.622737387432635,0.119653500005358,0.909901105343336,"0.183353163639978      .","1 x 28","19 ","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi14g02924",8,"Vitvi14g02924","Vitvi14g02924",2.33351089053606,2.06685307845307,2.98196726157813,-2.33351089053606,0.12938151901503,0.985088829173715,"0.164371784464165      .","1 x 28","14 ","Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions."
"Vitvi04g01352",9,"Vitvi04g01352","Vitvi04g01352",1.36337456685032,1.6044349016649,2.91921670906441,-1.36337456685032,0.379156452950141,3.09355631234112,"0.00153080891054713      .","10 x 19","4 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi04g00352",10,"Vitvi04g00352","Vitvi04g00352",0.795118695232733,0.874598036802422,2.85360472305547,-0.795118695232733,0.155713830887457,1.19013060764069,"0.119464211972946      .","12 x 18","4 ",""
"Vitvi10g00365",11,"Vitvi10g00365","Vitvi10g00365",3.09033786686476,1.08998127357156,2.84957409199379,-1.93931599669176,0.447297689942757,3.77580457870691,"0.000191281395692577      .","8 x 19","10 ","Binding to a protein."
"Vitvi12g02236",12,"Vitvi12g02236","",0.613150282955344,0.952843176032287,2.8212753172604,-0.613150282955344,-0.0285596034132948,-0.215708266579131,"0.585007401238484      .","1 x 27"," ",""
"Vitvi03g01481",13,"Vitvi03g01481","Vitvi03g01481",0.91372124177854,0.832600132719553,2.78473214562461,-0.91372124177854,0.457820737474348,3.88784887712775,"0.000133233341843786      .","10 x 17","3 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g01380",14,"Vitvi17g01380","Vitvi17g01380",1.41531875329564,1.53780859452439,2.75823615212371,-1.41531875329564,0.265623844810055,2.08014150090849,"0.0210097417190052      .","1 x 28","17 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00410",15,"Vitvi13g00410","Vitvi13g00410",1.26600151272861,1.05685647058972,2.70403681376081,-1.26600151272861,0.324384847663989,2.58905451667525,"0.00609634023763439      .","1 x 28","13 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi04g00282",16,"Vitvi04g00282","Vitvi04g00282",0.86309859062359,1.08766038124523,2.68060597832397,-0.86309859062359,0.335826536286871,2.69176191931777,"0.0046566274069666      .","8 x 20","4 ","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi15g01075",17,"Vitvi15g01075","Vitvi15g01075",1.15584456417583,1.17425256245989,2.63497021514574,-1.15584456417583,0.32518294442544,2.59617666952507,"0.00598473940417177      .","1 x 28","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01073",18,"Vitvi15g01073","Vitvi15g01073",1.52044418347602,1.31180632470817,2.61787747931523,-1.52044418347602,0.458083841756492,3.8906763218013,"0.000132014227119504      .","1 x 28","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g01298",19,"Vitvi13g01298","Vitvi13g01298",2.01064482387873,1.47465697002905,2.57891524108921,-1.94704308438784,0.107001413015912,0.812507665956308,"0.209940497788      .","12 x 18","13 ","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi14g02663",20,"Vitvi14g02663","Vitvi14g02663",1.65520398585631,1.21837871404192,2.56310708946771,-1.65520398585631,0.514313856198742,4.52772298271099,"1.54380090557904e-05      .","10 x 19","14 ","Catalysis of the reaction: a D-threo-aldose + NAD+ = a D-threo-aldono-1,5-lactone + NADH."
"Vitvi16g00681",21,"Vitvi16g00681","Vitvi16g00681",3.16089641130658,0.788113903222883,2.50209692440631,-1.59628915487325,0.197500651301313,1.52105786665255,"0.0668868775819473      .","5 x 24","16 ",""
"Vitvi07g02123",22,"Vitvi07g02123","Vitvi07g02123",1.04581821915289,1.0429468238786,2.45203958034905,-1.04581821915289,0.0289756698739856,0.218853402995299,"0.413772998777172      .","11 x 19","7 ","Catalysis of the hydrolysis of a carboxylic ester bond."
"Vitvi18g03382",23,"Vitvi18g03382","",1.52706113894869,1.6027084535742,2.41466106515841,-1.51440682593368,0.225457691181731,1.74715223970386,"0.0429984908430745      .","12 x 18"," ",""
"Vitvi00g00239",24,"Vitvi00g00239","",1.52743496932339,1.60258135543747,2.41447941850817,-1.51478065630838,0.225507447711916,1.74755847720593,"0.0429629606897663      .","12 x 18"," ",""
"Vitvi19g01984",25,"Vitvi19g01984","Vitvi19g01984",1.55910044425335,1.22905637984918,2.40777471708237,-1.55910044425335,0.316113707364071,2.51560297866633,"0.00736266796573148      .","10 x 19","19 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi10g00984",26,"Vitvi10g00984","Vitvi10g00984",1.80541883190863,1.15007471356493,2.40386367262688,-1.80541883190863,0.194350053272387,1.49583290965615,"0.0701069037105232      .","10 x 20","10 ","Binding to a calcium ion (Ca2+)."
"Vitvi19g01961",27,"Vitvi19g01961","",0.658113991119359,0.7600337011494,2.39903691808334,-0.658113991119359,0.382006326063635,3.12076418007086,"0.00141516680778353      .","9 x 18"," ",""
"Vitvi12g02393",28,"Vitvi12g02393","",1.40828145520162,0.854157768341235,2.37254474026635,-1.40603350739199,0.431172749393089,3.6078835111806,"0.000325639998008942      .","1 x 25"," ",""
"Vitvi16g00162",29,"Vitvi16g00162","",2.40703596632268,1.41076828244498,2.35607406777679,-2.40703596632268,0.351185360171208,2.83175740692222,"0.00319325477295673      .","11 x 19"," ",""
"Vitvi18g03198",30,"Vitvi18g03198","",2.17308476340311,1.01915327550914,2.30536450050155,-1.84325068125289,0.528333000527622,4.69805855047153,"8.50465559398828e-06      .","1 x 28"," ",""
"Vitvi06g01100",31,"Vitvi06g01100","Vitvi06g01100",1.1110608524203,1.00080657984879,2.30393109106571,-1.1110608524203,0.0763532850564726,0.578142358243642,"0.282722621706919      .","1 x 29","6 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi14g02720",32,"Vitvi14g02720","Vitvi14g02720",1.94810875522664,0.967783113189367,2.28972089726634,-1.54881188417912,0.395749862880589,3.25346414668088,"0.000959457801798624      .","9 x 20","14 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi00g02041",33,"Vitvi00g02041","",1.52093737913201,0.915506620892097,2.28911464349061,-1.44909887278877,0.78522521492859,9.5740019639565,"9.03721542044877e-14      .","1 x 31"," ",""
"Vitvi17g00343",34,"Vitvi17g00343","Vitvi17g00343",2.00301321349365,0.982052993508678,2.2712076308342,-2.00301321349365,0.272793707666246,2.14074014074111,"0.0182926607480578      .","11 x 19","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi14g02706",35,"Vitvi14g02706","Vitvi14g02706",0.601844605190551,0.751984337895139,2.2513216941479,-0.601844605190551,0.432200140897852,3.61845216463566,"0.000315030834200036      .","9 x 19","14 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi15g00172",36,"Vitvi15g00172","Vitvi15g00172",1.68366327729369,1.23789918932739,2.24984832913893,-1.68366327729369,0.506971858320787,4.44051002345583,"2.08793095632931e-05      .","1 x 29","15 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g02224",37,"Vitvi13g02224","",0.931602779463291,0.974753234147138,2.24137683656777,-0.931602779463291,0.130961306574618,0.997325668994032,"0.161410800102799      .","9 x 20"," ",""
"Vitvi03g00304",38,"Vitvi03g00304","Vitvi03g00304",2.49226004110073,0.857466982131348,2.22990329910217,-1.52967014957097,0.534135258539143,4.7700938952366,"6.5930475761089e-06      .","8 x 19","3 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00139",39,"Vitvi05g00139","Vitvi05g00139",0.67535941880388,0.612493630716039,2.22695092163919,-0.636198562699982,0.179375517607692,1.37658269680485,"0.0870123935271543      .","1 x 26","5 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi10g00973",40,"Vitvi10g00973","Vitvi10g00973",2.39409480734554,1.2725304928625,2.21601194533869,-2.08510121803814,0.352056162684048,2.83977107315656,"0.00312396378046698      .","1 x 28","10 ","Binding to a calcium ion (Ca2+)."
