"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00137","Vitvi01g00137","28 x 25","Sangio_accfreeze_r1","Vitvi01g00137","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g00862","Vitvi01g00862","6 x 40","Tocai_accfreeze_r2","Vitvi01g00862","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01339","Vitvi01g01339","32 x 40","Tocai_acclim_r1","Vitvi01g01339","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00349","Vitvi02g00349","20 x 21","CabFra_freeze_r1","Vitvi02g00349","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00379","Vitvi02g00379","1 x 36","Tocai_accfreeze_r2","Vitvi02g00379","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi03g00531","Vitvi03g00531","10 x 31","Sangio_accfreeze_r1","Vitvi03g00531","Binding to a nucleic acid."
"Vitvi03g00845","Vitvi03g00845","15 x 7","Riesl_freeze_r2","Vitvi03g00845","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01140","Vitvi03g01140","13 x 24","Riesl_freeze_r3","Vitvi03g01140","Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length."
"Vitvi04g00302","Vitvi04g00302","23 x 38","Riesl_accfreeze_r3","Vitvi04g00302","The RNA metabolic process in which the phosphodiester bonds between ribonucleotides are cleaved by hydrolysis."
"Vitvi04g00520","Vitvi04g00520","15 x 19","Riesl_accfreeze_r2","Vitvi04g00520","Binding to a nucleic acid."
"Vitvi04g00558","Vitvi04g00558","11 x 38","Sangio_accfreeze_r1","Vitvi04g00558","A ribonuclease complex that has 3-prime to 5-prime processive and distributive hydrolytic exoribonuclease activity and endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."
"Vitvi07g01524","Vitvi07g01524","27 x 15","CabFra_warm_r2","Vitvi07g01524","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00304","Vitvi10g00304","6 x 31","Sangio_freeze_r2","Vitvi10g00304","Cleavage of the 5'-cap of a nuclear-transcribed mRNA that is independent of poly(A) tail shortening."
"Vitvi16g00625","Vitvi16g00625","17 x 27","Riesl_freeze_r3","Vitvi16g00625","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."
"Vitvi04g02028","Vitvi04g02028","12 x 32","Sangio_accfreeze_r1","Vitvi04g02028","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00924","Vitvi05g00924","30 x 25","Tocai_warm_r3","Vitvi05g00924","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01640","Vitvi05g01640","32 x 17","Tocai_warm_r3","Vitvi05g01640","Binding to an RNA molecule or a portion thereof."
"Vitvi05g02025","Vitvi05g02025","31 x 16","Tocai_warm_r2","Vitvi05g02025","Binding to an RNA molecule or a portion thereof."
"Vitvi06g00032","Vitvi06g00032","33 x 23","CabFra_warm_r2","Vitvi06g00032","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00261","Vitvi06g00261","5 x 40","CabFra_acclim_r2","Vitvi06g00261","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi06g00359","Vitvi06g00359","19 x 27","Riesl_warm_r1","Vitvi06g00359","Binding to a nucleic acid."
"Vitvi06g00389","Vitvi06g00389","17 x 34","Chard_acclim_r2","Vitvi06g00389","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi06g00493","Vitvi06g00493","7 x 36","Sangio_accfreeze_r1","Vitvi06g00493","Any process involved in the maturation of a precursor 5.8S ribosomal RNA (rRNA) molecule into a mature 5.8S rRNA molecule."
"Vitvi06g00580","Vitvi06g00580","6 x 31","Chard_acclim_r2","Vitvi06g00580","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01070","Vitvi06g01070","14 x 28","Sangio_accfreeze_r1","Vitvi06g01070","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"Vitvi06g01295","Vitvi06g01295","34 x 27","CabFra_warm_r3","Vitvi06g01295","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01546","Vitvi06g01546","1 x 1","Chard_freeze_r2","Vitvi06g01546","Binding to a nucleic acid."
"Vitvi07g00195","Vitvi07g00195","12 x 30","Sangio_accfreeze_r1","Vitvi07g00195","Binding to an RNA molecule or a portion thereof."
"Vitvi07g00308","Vitvi07g00308","27 x 16","Tocai_freeze_r2","Vitvi07g00308","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi07g00625","Vitvi07g00625","40 x 5","Chard_freeze_r1","Vitvi07g00625","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g01705","Vitvi07g01705","34 x 22","CabFra_warm_r2","Vitvi07g01705","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01892","Vitvi07g01892","17 x 33","Sangio_acclim_r2","Vitvi07g01892","Binding to an RNA molecule or a portion thereof."
"Vitvi08g00120","Vitvi08g00120","5 x 32","Tocai_accfreeze_r3","Vitvi08g00120","Binding to a nucleic acid."
"Vitvi08g01393","Vitvi08g01393","8 x 8","CabFra_freeze_r3","Vitvi08g01393","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01833","Vitvi08g01833","22 x 23","Tocai_acclim_r1","Vitvi08g01833","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01916","Vitvi08g01916","23 x 21","Chard_freeze_r2","Vitvi08g01916","The chemical reactions and pathways resulting in the breakdown of rRNA, ribosomal RNA, a structural constituent of ribosomes."
