"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00070","Vitvi01g00070","23 x 28","Tocai_accfreeze_r1","Vitvi01g00070","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi01g00115","Vitvi01g00115","38 x 16","CabFra_warm_r2","Vitvi01g00115","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00286","Vitvi01g00286","40 x 22","Tocai_freeze_r1","Vitvi01g00286","The process in which a methyl group is covalently attached to a molecule."
"Vitvi01g00380","Vitvi01g00380","9 x 4","CabFra_freeze_r3","Vitvi01g00380","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00441","Vitvi01g00441","40 x 34","Chard_warm_r3","Vitvi01g00441","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi01g00688","Vitvi01g00688","36 x 32","Tocai_acclim_r3","Vitvi01g00688","The process in which a methyl group is covalently attached to a molecule."
"Vitvi01g01058","Vitvi01g01058","31 x 38","Tocai_acclim_r3","Vitvi01g01058","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi01g02263","Vitvi01g02263","40 x 20","Chard_warm_r1","Vitvi01g02263","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g00210","Vitvi02g00210","28 x 21","CabFra_warm_r3","Vitvi02g00210","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00263","Vitvi02g00263","2 x 3","Sangio_freeze_r3","Vitvi02g00263","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g00549","Vitvi02g00549","12 x 39","CabFra_accfreeze_r1","Vitvi02g00549","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi02g01235","Vitvi02g01235","38 x 37","Tocai_freeze_r1","Vitvi02g01235","Binding to a nucleic acid."
"Vitvi03g00118","Vitvi03g00118","15 x 26","Riesl_freeze_r3","Vitvi03g00118","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00185","Vitvi03g00185","37 x 31","Tocai_freeze_r1","Vitvi03g00185","The process in which a methyl group is covalently attached to a molecule."
"Vitvi03g00308","Vitvi03g00308","12 x 32","Chard_acclim_r3","Vitvi03g00308","The process in which a methyl group is covalently attached to a molecule."
"Vitvi03g00376","Vitvi03g00376","19 x 30","Sangio_accfreeze_r1","Vitvi03g00376",""
"Vitvi03g00524","Vitvi03g00524","37 x 1","Sangio_freeze_r1","Vitvi03g00524","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi03g00710","Vitvi03g00710","28 x 21","Chard_warm_r3","Vitvi03g00710","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi03g00763","Vitvi03g00763","22 x 34","Chard_acclim_r3","Vitvi03g00763","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00063","Vitvi04g00063","29 x 6","Chard_freeze_r2","Vitvi04g00063","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00134","Vitvi04g00134","26 x 15","Sangio_freeze_r3","Vitvi04g00134","Binding to an RNA molecule or a portion thereof."
"Vitvi04g00230","Vitvi04g00230","39 x 14","Chard_warm_r3","Vitvi04g00230","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi04g00235","Vitvi04g00235","12 x 32","Riesl_acclim_r3","Vitvi04g00235","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00275","Vitvi04g00275","30 x 25","CabFra_warm_r2","Vitvi04g00275","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00278","Vitvi04g00278","26 x 18","Tocai_freeze_r2","Vitvi04g00278","The process in which a methyl group is covalently attached to a molecule."
"Vitvi04g00445","Vitvi04g00445","8 x 40","Tocai_acclim_r1","Vitvi04g00445","Binding to a protein."
"Vitvi04g01543","Vitvi04g01543","35 x 13","Chard_warm_r2","Vitvi04g01543","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi07g00066","Vitvi07g00066","30 x 11","Sangio_freeze_r2","Vitvi07g00066","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01511","Vitvi07g01511","34 x 4","Sangio_warm_r1","Vitvi07g01511","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g02608","Vitvi07g02608","38 x 7","Tocai_freeze_r3","Vitvi07g02608","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi10g00167","Vitvi10g00167","26 x 3","Sangio_freeze_r2","Vitvi10g00167","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
