"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00340","Vitvi01g00340","39 x 8","Chard_warm_r3","Vitvi01g00340","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00993","Vitvi01g00993","4 x 17","CabFra_accfreeze_r2","Vitvi01g00993","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01682","Vitvi01g01682","5 x 12","Tocai_accfreeze_r3","Vitvi01g01682","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi01g01956","Vitvi01g01956","31 x 34","Tocai_warm_r2","Vitvi01g01956","The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
"Vitvi02g00527","Vitvi02g00527","15 x 13","Sangio_freeze_r1","Vitvi02g00527","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00009","Vitvi03g00009","40 x 38","CabFra_warm_r3","Vitvi03g00009","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi10g00414","Vitvi10g00414","34 x 40","Chard_acclim_r1","Vitvi10g00414","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01336","Vitvi04g01336","31 x 5","Chard_freeze_r3","Vitvi04g01336","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01389","Vitvi04g01389","39 x 40","Sangio_warm_r3","Vitvi04g01389","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi05g01135","Vitvi05g01135","6 x 21","CabFra_freeze_r2","Vitvi05g01135","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g01201","Vitvi05g01201","34 x 13","Riesl_acclim_r3","Vitvi05g01201","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00300","Vitvi06g00300","40 x 7","Chard_warm_r1","Vitvi06g00300","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi06g00564","Vitvi06g00564","6 x 1","CabFra_freeze_r3","Vitvi06g00564","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00573","Vitvi06g00573","7 x 37","Riesl_accfreeze_r1","Vitvi06g00573","Catalysis of the reaction: N-acylsphingosine + H2O = a fatty acid + sphingosine."
"Vitvi07g01916","Vitvi07g01916","40 x 39","Tocai_acclim_r3","Vitvi07g01916","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi07g02043","Vitvi07g02043","8 x 31","Tocai_accfreeze_r2","Vitvi07g02043","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01063","Vitvi08g01063","26 x 3","Riesl_freeze_r1","Vitvi08g01063","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi08g01295","Vitvi08g01295","21 x 6","CabFra_freeze_r3","Vitvi08g01295","Catalysis of the transfer of a substituted phosphate group, other than diphosphate or nucleotidyl residues, from one compound (donor) to a another (acceptor)."
"Vitvi08g01311","Vitvi08g01311","29 x 35","Tocai_acclim_r3","Vitvi08g01311","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi08g01783","Vitvi08g01783","22 x 33","Chard_warm_r1","Vitvi08g01783","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00177","Vitvi09g00177","15 x 26","Tocai_accfreeze_r2","Vitvi09g00177","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi09g00190","Vitvi09g00190","24 x 37","Sangio_acclim_r1","Vitvi09g00190","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00618","Vitvi09g00618","33 x 36","Riesl_accfreeze_r1","Vitvi09g00618","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi09g01693","Vitvi09g01693","6 x 8","Sangio_freeze_r3","Vitvi09g01693",""
