"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00115","Vitvi01g00115","38 x 16","CabFra_warm_r2","Vitvi01g00115","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00572","Vitvi02g00572","35 x 9","Sangio_warm_r3","Vitvi02g00572","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi04g00063","Vitvi04g00063","29 x 6","Chard_freeze_r2","Vitvi04g00063","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01511","Vitvi07g01511","34 x 4","Sangio_warm_r1","Vitvi07g01511","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g02608","Vitvi07g02608","38 x 7","Tocai_freeze_r3","Vitvi07g02608","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi10g00167","Vitvi10g00167","26 x 3","Sangio_freeze_r2","Vitvi10g00167","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi05g01091","Vitvi05g01091","35 x 15","Tocai_warm_r3","Vitvi05g01091","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00110","Vitvi06g00110","24 x 32","Tocai_acclim_r3","Vitvi06g00110","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00078","Vitvi10g00078","39 x 7","Chard_freeze_r1","Vitvi10g00078","The process in which a methyl group is covalently attached to a molecule."
"Vitvi12g01915","Vitvi12g01915","14 x 13","CabFra_freeze_r1","Vitvi12g01915","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00999","Vitvi14g00999","26 x 37","CabFra_warm_r2","Vitvi14g00999","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi15g00006","Vitvi15g00006","32 x 31","CabFra_warm_r2","Vitvi15g00006","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi17g00506","Vitvi17g00506","24 x 18","Tocai_freeze_r1","Vitvi17g00506","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi18g00341","Vitvi18g00341","24 x 36","Riesl_acclim_r3","Vitvi18g00341","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi18g00560","Vitvi18g00560","24 x 33","Chard_acclim_r3","Vitvi18g00560","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi18g00996","Vitvi18g00996","23 x 11","Sangio_freeze_r2","Vitvi18g00996","The chemical reactions and pathways involving the transfer of one-carbon units in various oxidation states."
"Vitvi18g01620","Vitvi18g01620","23 x 31","Tocai_acclim_r3","Vitvi18g01620","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
