"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi02g00548","Vitvi02g00548","22 x 30","Sangio_accfreeze_r2","Vitvi02g00548","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi03g00651","Vitvi03g00651","1 x 33","Tocai_accfreeze_r2","Vitvi03g00651","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00224","Vitvi10g00224","1 x 26","Riesl_accfreeze_r1","Vitvi10g00224","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00398","Vitvi10g00398","6 x 37","Sangio_acclim_r2","Vitvi10g00398","The chemical reactions and pathways resulting in the formation of phosphatidylinositol phosphate."
"Vitvi04g01558","Vitvi04g01558","24 x 33","Riesl_acclim_r2","Vitvi04g01558","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01709","Vitvi04g01709","29 x 28","Chard_acclim_r3","Vitvi04g01709","The chemical reactions and pathways resulting in the formation of phosphatidylinositol phosphate."
"Vitvi05g00576","Vitvi05g00576","24 x 5","CabFra_freeze_r3","Vitvi05g00576","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01088","Vitvi05g01088","16 x 1","Chard_freeze_r3","Vitvi05g01088","Binding to a selenium (Se) ion."
"Vitvi05g01624","Vitvi05g01624","29 x 23","Riesl_acclim_r3","Vitvi05g01624","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
"Vitvi06g00230","Vitvi06g00230","34 x 27","CabFra_warm_r1","Vitvi06g00230","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g01809","Vitvi08g01809","23 x 5","CabFra_freeze_r3","Vitvi08g01809","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00086","Vitvi10g00086","37 x 37","Tocai_freeze_r1","Vitvi10g00086","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi11g01377","Vitvi11g01377","29 x 3","Chard_freeze_r2","Vitvi11g01377","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi12g00067","Vitvi12g00067","29 x 2","CabFra_freeze_r3","Vitvi12g00067","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi12g00381","Vitvi12g00381","40 x 40","Riesl_acclim_r3","Vitvi12g00381","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi14g00404","Vitvi14g00404","5 x 32","CabFra_accfreeze_r3","Vitvi14g00404","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
"Vitvi14g00405","Vitvi14g00405","36 x 40","Chard_warm_r3","Vitvi14g00405","The chemical reactions and pathways resulting in the formation of cysteine from other compounds, including serine."
