"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g02139","Vitvi01g02139","28 x 13","CabFra_warm_r2","Vitvi01g02139","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi02g00136","Vitvi02g00136","24 x 39","Sangio_acclim_r1","Vitvi02g00136","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi02g00176","Vitvi02g00176","22 x 20","Riesl_accfreeze_r1","Vitvi02g00176","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00842","Vitvi02g00842","32 x 18","CabFra_warm_r3","Vitvi02g00842","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00161","Vitvi03g00161","25 x 27","Tocai_warm_r3","Vitvi03g00161","Binds to and modulates the activity of an enzyme."
"Vitvi03g00285","Vitvi03g00285","8 x 34","CabFra_accfreeze_r2","Vitvi03g00285","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00408","Vitvi04g00408","20 x 20","Sangio_freeze_r1","Vitvi04g00408","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01476","Vitvi04g01476","21 x 21","Tocai_accfreeze_r2","Vitvi04g01476","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00285","Vitvi05g00285","34 x 25","Tocai_warm_r3","Vitvi05g00285","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00813","Vitvi06g00813","21 x 6","Sangio_freeze_r1","Vitvi06g00813","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00765","Vitvi07g00765","21 x 20","Chard_acclim_r3","Vitvi07g00765","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01872","Vitvi07g01872","12 x 31","Tocai_accfreeze_r2","Vitvi07g01872","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01280","Vitvi08g01280","7 x 32","Tocai_accfreeze_r3","Vitvi08g01280","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi08g01340","Vitvi08g01340","25 x 28","Chard_acclim_r3","Vitvi08g01340","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid."
"Vitvi09g00009","Vitvi09g00009","24 x 27","Chard_acclim_r3","Vitvi09g00009","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g00499","Vitvi09g00499","13 x 16","Sangio_freeze_r3","Vitvi09g00499","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01396","Vitvi10g01396","10 x 32","Tocai_accfreeze_r2","Vitvi10g01396","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00935","Vitvi11g00935","8 x 31","Tocai_accfreeze_r2","Vitvi11g00935","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00263","Vitvi12g00263","8 x 40","Riesl_accfreeze_r3","Vitvi12g00263","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00178","Vitvi14g00178","11 x 13","Sangio_freeze_r3","Vitvi14g00178","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g00418","Vitvi14g00418","21 x 18","Sangio_freeze_r1","Vitvi14g00418","A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
"Vitvi14g01794","Vitvi14g01794","31 x 15","Tocai_warm_r1","Vitvi14g01794","The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."
"Vitvi17g01037","Vitvi17g01037","26 x 27","Chard_acclim_r3","Vitvi17g01037","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."
"Vitvi18g00188","Vitvi18g00188","12 x 15","Sangio_freeze_r1","Vitvi18g00188","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"Vitvi18g00817","Vitvi18g00817","21 x 17","CabFra_accfreeze_r2","Vitvi18g00817","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi18g01012","Vitvi18g01012","34 x 17","CabFra_warm_r3","Vitvi18g01012","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi19g00189","Vitvi19g00189","17 x 34","Chard_acclim_r2","Vitvi19g00189","A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell."
"Vitvi19g00757","Vitvi19g00757","22 x 29","Riesl_freeze_r3","Vitvi19g00757","Binding to a proteasome, a large multisubunit protein complex that catalyzes protein degradation."
