"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00260","Vitvi01g00260","38 x 20","Tocai_warm_r3","Vitvi01g00260","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi01g00473","Vitvi01g00473","20 x 36","Tocai_accfreeze_r2","Vitvi01g00473","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00938","Vitvi01g00938","28 x 24","CabFra_warm_r3","Vitvi01g00938","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g02293","Vitvi01g02293","23 x 1","Tocai_warm_r1","Vitvi01g02293","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00023","Vitvi02g00023","17 x 37","Sangio_warm_r3","Vitvi02g00023","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00698","Vitvi02g00698","12 x 3","Riesl_warm_r1","Vitvi02g00698","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi03g00032","Vitvi03g00032","36 x 5","Riesl_warm_r1","Vitvi03g00032","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00033","Vitvi03g00033","40 x 28","Tocai_warm_r1","Vitvi03g00033","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00623","Vitvi03g00623","31 x 3","Chard_accfreeze_r3","Vitvi03g00623","Binding to a zinc ion (Zn)."
"Vitvi03g00743","Vitvi03g00743","21 x 1","Tocai_warm_r1","Vitvi03g00743","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00752","Vitvi03g00752","40 x 24","Tocai_warm_r1","Vitvi03g00752","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00757","Vitvi03g00757","21 x 1","Sangio_freeze_r3","Vitvi03g00757","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00860","Vitvi03g00860","35 x 40","Tocai_accfreeze_r2","Vitvi03g00860","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g01651","Vitvi03g01651","21 x 1","Sangio_freeze_r3","Vitvi03g01651","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g00463","Vitvi04g00463","26 x 18","Chard_freeze_r2","Vitvi04g00463","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01540","Vitvi04g01540","11 x 3","Chard_freeze_r2","Vitvi04g01540",""
"Vitvi07g01266","Vitvi07g01266","28 x 40","CabFra_acclim_r1","Vitvi07g01266","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi04g02160","Vitvi04g02160","1 x 40","Riesl_acclim_r3","Vitvi04g02160","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00130","Vitvi05g00130","12 x 25","Riesl_freeze_r2","Vitvi05g00130","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g00239","Vitvi05g00239","3 x 32","Tocai_accfreeze_r3","Vitvi05g00239","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01693","Vitvi05g01693","34 x 18","CabFra_warm_r3","Vitvi05g01693","The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"Vitvi06g00401","Vitvi06g00401","37 x 12","Chard_warm_r3","Vitvi06g00401","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00449","Vitvi06g00449","16 x 6","CabFra_freeze_r3","Vitvi06g00449","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g00361","Vitvi07g00361","4 x 2","Tocai_warm_r2","Vitvi07g00361","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi07g00513","Vitvi07g00513","18 x 28","Riesl_freeze_r2","Vitvi07g00513","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01807","Vitvi07g01807","1 x 10","CabFra_freeze_r2","Vitvi07g01807","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g01908","Vitvi07g01908","1 x 1","CabFra_accfreeze_r3","Vitvi07g01908","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g02067","Vitvi07g02067","27 x 29","Tocai_warm_r1","Vitvi07g02067","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01186","Vitvi08g01186","35 x 13","Chard_warm_r3","Vitvi08g01186","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01638","Vitvi08g01638","8 x 16","Tocai_accfreeze_r3","Vitvi08g01638","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi08g01897","Vitvi08g01897","36 x 34","Tocai_warm_r3","Vitvi08g01897","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00064","Vitvi09g00064","18 x 1","Sangio_freeze_r1","Vitvi09g00064","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00521","Vitvi10g00521","1 x 6","Sangio_freeze_r1","Vitvi10g00521","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00525","Vitvi10g00525","24 x 24","CabFra_warm_r3","Vitvi10g00525","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00050","Vitvi11g00050","1 x 1","CabFra_freeze_r3","Vitvi11g00050","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00158","Vitvi11g00158","8 x 15","CabFra_freeze_r2","Vitvi11g00158","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g01293","Vitvi11g01293","39 x 34","Chard_warm_r2","Vitvi11g01293","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi11g01295","Vitvi11g01295","40 x 4","Chard_warm_r1","Vitvi11g01295","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
