"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00024","Vitvi01g00024","37 x 12","Sangio_warm_r1","Vitvi01g00024","Binding to a metal ion."
"Vitvi01g00092","Vitvi01g00092","34 x 13","Sangio_warm_r2","Vitvi01g00092","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00106","Vitvi01g00106","33 x 36","Sangio_warm_r1","Vitvi01g00106","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g00112","Vitvi01g00112","11 x 9","CabFra_accfreeze_r3","Vitvi01g00112","Catalysis of the transfer of an uridylyl group to an acceptor."
"Vitvi01g00272","Vitvi01g00272","16 x 5","Sangio_freeze_r2","Vitvi01g00272","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00355","Vitvi01g00355","4 x 14","Tocai_accfreeze_r3","Vitvi01g00355","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00362","Vitvi01g00362","10 x 11","Riesl_freeze_r3","Vitvi01g00362","The chemical reactions and pathways resulting in the formation of phosphatidylserines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of L-serine."
"Vitvi01g00404","Vitvi01g00404","11 x 25","Tocai_accfreeze_r3","Vitvi01g00404","Binding to a metal ion."
"Vitvi01g00503","Vitvi01g00503","11 x 19","Chard_freeze_r2","Vitvi01g00503","Binding to a nucleic acid."
"Vitvi01g00505","Vitvi01g00505","22 x 32","Chard_warm_r3","Vitvi01g00505","Binding to a nucleic acid."
