"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00633","Vitvi01g00633","10 x 33","CabFra_accfreeze_r2","Vitvi01g00633","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi03g00724","Vitvi03g00724","18 x 27","Riesl_warm_r1","Vitvi03g00724","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."
"Vitvi03g01190","Vitvi03g01190","35 x 22","CabFra_warm_r2","Vitvi03g01190","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi05g00397","Vitvi05g00397","10 x 28","Sangio_freeze_r2","Vitvi05g00397","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi05g00818","Vitvi05g00818","33 x 18","CabFra_warm_r2","Vitvi05g00818","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00467","Vitvi06g00467","8 x 40","Tocai_accfreeze_r1","Vitvi06g00467","The series of molecular signals mediated by TOR (Target of rapamycin) proteins, members of the phosphoinositide (PI) 3-kinase related kinase (PIKK) family that act as serine/threonine kinases in response to nutrient availability or growth factors."
"Vitvi07g01501","Vitvi07g01501","29 x 24","CabFra_warm_r3","Vitvi07g01501","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi08g00813","Vitvi08g00813","14 x 29","Tocai_accfreeze_r2","Vitvi08g00813","The series of molecular signals mediated by TOR (Target of rapamycin) proteins, members of the phosphoinositide (PI) 3-kinase related kinase (PIKK) family that act as serine/threonine kinases in response to nutrient availability or growth factors."
"Vitvi08g00874","Vitvi08g00874","8 x 37","Tocai_accfreeze_r2","Vitvi08g00874","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01267","Vitvi08g01267","8 x 14","Tocai_accfreeze_r3","Vitvi08g01267","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01803","Vitvi08g01803","16 x 7","CabFra_freeze_r1","Vitvi08g01803","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01870","Vitvi08g01870","21 x 26","CabFra_warm_r3","Vitvi08g01870","The series of molecular signals mediated by TOR (Target of rapamycin) proteins, members of the phosphoinositide (PI) 3-kinase related kinase (PIKK) family that act as serine/threonine kinases in response to nutrient availability or growth factors."
"Vitvi10g00284","Vitvi10g00284","7 x 25","Riesl_freeze_r1","Vitvi10g00284","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi10g00684","Vitvi10g00684","12 x 14","Tocai_accfreeze_r1","Vitvi10g00684","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00715","Vitvi13g00715","16 x 21","Riesl_warm_r2","Vitvi13g00715","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00727","Vitvi17g00727","1 x 24","Sangio_freeze_r2","Vitvi17g00727","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00438","Vitvi18g00438","35 x 19","CabFra_warm_r2","Vitvi18g00438","The action of a molecule that contributes to the structural integrity of the ribosome."
