"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00237","Vitvi01g00237","33 x 17","Tocai_warm_r1","Vitvi01g00237","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01038","Vitvi01g01038","1 x 2","Tocai_accfreeze_r2","Vitvi01g01038","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01722","Vitvi01g01722","7 x 12","CabFra_accfreeze_r3","Vitvi01g01722","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00242","Vitvi02g00242","28 x 31","Riesl_acclim_r1","Vitvi02g00242","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00277","Vitvi02g00277","1 x 3","CabFra_freeze_r1","Vitvi02g00277","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00508","Vitvi02g00508","25 x 28","CabFra_warm_r2","Vitvi02g00508","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00673","Vitvi02g00673","12 x 1","Chard_freeze_r3","Vitvi02g00673","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00207","Vitvi03g00207","20 x 1","Chard_accfreeze_r1","Vitvi03g00207","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g00837","Vitvi04g00837","17 x 40","Chard_accfreeze_r3","Vitvi04g00837","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01430","Vitvi04g01430","24 x 31","Tocai_freeze_r1","Vitvi04g01430","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01684","Vitvi04g01684","7 x 22","Sangio_accfreeze_r1","Vitvi04g01684","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g01714","Vitvi04g01714","14 x 1","Sangio_freeze_r1","Vitvi04g01714","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00007","Vitvi06g00007","1 x 6","Sangio_freeze_r1","Vitvi06g00007","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g01515","Vitvi06g01515","1 x 1","Riesl_freeze_r2","Vitvi06g01515","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g01536","Vitvi06g01536","1 x 24","CabFra_freeze_r1","Vitvi06g01536","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01929","Vitvi07g01929","1 x 3","Sangio_freeze_r3","Vitvi07g01929","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g01426","Vitvi08g01426","1 x 5","Chard_accfreeze_r1","Vitvi08g01426","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g01841","Vitvi08g01841","5 x 1","Riesl_freeze_r3","Vitvi08g01841","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g01843","Vitvi08g01843","1 x 1","Tocai_accfreeze_r3","Vitvi08g01843","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi10g00505","Vitvi10g00505","17 x 39","Tocai_accfreeze_r3","Vitvi10g00505","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g00241","Vitvi11g00241","16 x 40","Sangio_warm_r1","Vitvi11g00241","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi12g00076","Vitvi12g00076","3 x 7","Sangio_freeze_r1","Vitvi12g00076","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi12g00255","Vitvi12g00255","29 x 36","Sangio_warm_r1","Vitvi12g00255","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g01655","Vitvi12g01655","5 x 36","CabFra_freeze_r3","Vitvi12g01655","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi12g02150","Vitvi12g02150","32 x 14","Sangio_warm_r3","Vitvi12g02150","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
