"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00067","Vitvi01g00067","7 x 1","CabFra_freeze_r3","Vitvi01g00067","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00554","Vitvi01g00554","40 x 26","Tocai_warm_r2","Vitvi01g00554","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g00556","Vitvi01g00556","4 x 1","Sangio_freeze_r3","Vitvi01g00556","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g00557","Vitvi01g00557","11 x 1","CabFra_freeze_r2","Vitvi01g00557","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00999","Vitvi02g00999","40 x 19","Chard_warm_r3","Vitvi02g00999","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g01001","Vitvi02g01001","7 x 1","Sangio_freeze_r1","Vitvi02g01001","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00557","Vitvi03g00557","23 x 1","Tocai_warm_r1","Vitvi03g00557","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00568","Vitvi03g00568","38 x 22","Tocai_warm_r1","Vitvi03g00568","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi03g00569","Vitvi03g00569","40 x 36","Tocai_warm_r1","Vitvi03g00569","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi07g01250","Vitvi07g01250","40 x 5","Sangio_warm_r3","Vitvi07g01250","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g00242","Vitvi05g00242","32 x 29","Tocai_freeze_r1","Vitvi05g00242","Binding to a metal ion."
"Vitvi05g00364","Vitvi05g00364","28 x 29","CabFra_warm_r2","Vitvi05g00364","Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH."
"Vitvi05g01740","Vitvi05g01740","34 x 6","Tocai_freeze_r2","Vitvi05g01740","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g00141","Vitvi06g00141","14 x 13","CabFra_freeze_r2","Vitvi06g00141","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi06g00593","Vitvi06g00593","40 x 18","Tocai_warm_r3","Vitvi06g00593","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g00962","Vitvi06g00962","40 x 39","Tocai_warm_r3","Vitvi06g00962","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
