"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00502","Vitvi01g00502","31 x 24","CabFra_warm_r3","Vitvi01g00502","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g01758","Vitvi01g01758","34 x 30","CabFra_warm_r2","Vitvi01g01758","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01765","Vitvi01g01765","25 x 13","Sangio_acclim_r2","Vitvi01g01765","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01812","Vitvi01g01812","14 x 8","Sangio_freeze_r2","Vitvi01g01812","Binding to a protein."
"Vitvi03g00728","Vitvi03g00728","26 x 36","Tocai_acclim_r3","Vitvi03g00728","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00773","Vitvi03g00773","28 x 1","CabFra_warm_r2","Vitvi03g00773","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00085","Vitvi04g00085","7 x 26","Chard_acclim_r1","Vitvi04g00085","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01653","Vitvi04g01653","22 x 25","Tocai_acclim_r2","Vitvi04g01653","Binding to a protein."
"Vitvi05g00855","Vitvi05g00855","17 x 23","Riesl_freeze_r3","Vitvi05g00855","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01692","Vitvi05g01692","40 x 21","CabFra_warm_r2","Vitvi05g01692","The chemical reactions and pathways resulting in the formation of lysine, via the intermediate diaminopimelate."
"Vitvi05g02135","Vitvi05g02135","15 x 33","Tocai_accfreeze_r2","Vitvi05g02135","Binding to a metal ion."
"Vitvi06g00043","Vitvi06g00043","29 x 25","CabFra_warm_r3","Vitvi06g00043","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00061","Vitvi06g00061","1 x 1","Tocai_freeze_r2","Vitvi06g00061","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00263","Vitvi06g00263","38 x 37","Chard_freeze_r1","Vitvi06g00263","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi06g00670","Vitvi06g00670","7 x 38","Sangio_accfreeze_r1","Vitvi06g00670",""
"Vitvi06g01044","Vitvi06g01044","29 x 30","Riesl_acclim_r3","Vitvi06g01044","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi06g01276","Vitvi06g01276","40 x 8","Riesl_warm_r2","Vitvi06g01276","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g00675","Vitvi07g00675","23 x 36","Riesl_acclim_r1","Vitvi07g00675","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00145","Vitvi08g00145","2 x 22","CabFra_freeze_r2","Vitvi08g00145","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00900","Vitvi08g00900","12 x 27","Sangio_accfreeze_r1","Vitvi08g00900","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
