"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00214","Vitvi01g00214","12 x 1","Chard_freeze_r2","Vitvi01g00214","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00274","Vitvi01g00274","40 x 15","CabFra_warm_r3","Vitvi01g00274","The space enclosed by the double membrane of a chloroplast but excluding the thylakoid space. It contains DNA, ribosomes and some temporary products of photosynthesis."
"Vitvi01g00787","Vitvi01g00787","4 x 2","CabFra_freeze_r3","Vitvi01g00787","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g00861","Vitvi01g00861","19 x 17","CabFra_accfreeze_r2","Vitvi01g00861","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi01g01440","Vitvi01g01440","11 x 10","Sangio_freeze_r1","Vitvi01g01440","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00244","Vitvi02g00244","5 x 40","Sangio_acclim_r3","Vitvi02g00244","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00533","Vitvi02g00533","26 x 28","Chard_acclim_r1","Vitvi02g00533","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00684","Vitvi02g00684","15 x 38","Chard_accfreeze_r3","Vitvi02g00684","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00723","Vitvi03g00723","40 x 24","CabFra_warm_r3","Vitvi03g00723","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00785","Vitvi03g00785","39 x 7","Chard_freeze_r2","Vitvi03g00785","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00009","Vitvi04g00009","32 x 33","Tocai_acclim_r3","Vitvi04g00009","Binding to a metal ion."
"Vitvi04g01193","Vitvi04g01193","35 x 19","CabFra_warm_r3","Vitvi04g01193","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi04g01849","Vitvi04g01849","37 x 37","Tocai_acclim_r3","Vitvi04g01849","Binding to a metal ion."
"Vitvi07g00062","Vitvi07g00062","36 x 24","CabFra_warm_r2","Vitvi07g00062","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00897","Vitvi04g00897","5 x 30","Chard_freeze_r2","Vitvi04g00897",""
"Vitvi04g01402","Vitvi04g01402","38 x 1","Riesl_freeze_r3","Vitvi04g01402","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g01671","Vitvi04g01671","7 x 21","Sangio_accfreeze_r1","Vitvi04g01671","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g02037","Vitvi04g02037","38 x 16","CabFra_warm_r3","Vitvi04g02037","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g00092","Vitvi05g00092","13 x 7","CabFra_freeze_r3","Vitvi05g00092","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi05g00100","Vitvi05g00100","33 x 31","Riesl_acclim_r3","Vitvi05g00100","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00207","Vitvi05g00207","33 x 11","Chard_freeze_r3","Vitvi05g00207","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi05g00387","Vitvi05g00387","3 x 1","Tocai_accfreeze_r3","Vitvi05g00387","Binding to a metal ion."
"Vitvi05g00612","Vitvi05g00612","31 x 20","CabFra_warm_r3","Vitvi05g00612","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01408","Vitvi05g01408","31 x 20","CabFra_warm_r3","Vitvi05g01408","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g01544","Vitvi05g01544","15 x 1","CabFra_freeze_r1","Vitvi05g01544","The chemical reactions and pathways resulting in the breakdown of methylglyoxal, CH3-CO-CHO, into D-lactate via the intermediate S-lactoyl-glutathione. Glutathione is used in the first step of the pathway and then regenerated in the second step."
"Vitvi06g00021","Vitvi06g00021","12 x 9","CabFra_freeze_r2","Vitvi06g00021","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
