"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi11g00156",1,"Vitvi11g00156","Vitvi11g00156",1.57858481900946,0.589093999281849,1.50424074413221,-1.35392223153088,0.0229111016084354,0.173020440655906,"0.431624150452163      .","21 x 21","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00766",2,"Vitvi18g00766","Vitvi18g00766",0.938939970611267,0.488960163841213,1.43431943173113,-0.938939970611267,0.275485958547035,2.16359341690567,"0.0173507479696093      .","21 x 18","18 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi05g00604",3,"Vitvi05g00604","Vitvi05g00604",0.849726502604151,0.458666990326253,1.34745043298698,-0.733199787296437,0.209130709799476,1.61460486780308,"0.0559595032816153      .","24 x 22","5 ",""
"Vitvi10g00209",4,"Vitvi10g00209","Vitvi10g00209",1.46646965893575,0.548603077056679,1.29525938952245,-1.26711242964318,0.302034635657949,2.39202641730564,"0.0100381355341523      .","26 x 19","10 ","Binds to and stops, prevents or reduces the activity of a cysteine-type endopeptidase, any enzyme that hydrolyzes peptide bonds in polypeptides by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
"Vitvi14g00233",5,"Vitvi14g00233","Vitvi14g00233",0.955596686313268,0.524086448052498,1.28023223779805,-0.955596686313268,0.398017975147695,3.27560838657372,"0.000898420518438914      .","23 x 17","14 ","Binding to a zinc ion (Zn)."
"Vitvi10g00937",6,"Vitvi10g00937","Vitvi10g00937",3.26701752505021,0.348582905588977,1.22216325495984,-0.755974103263988,0.351238352775122,2.83224483793782,"0.00318899993767308      .","19 x 19","10 ","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi06g00943",7,"Vitvi06g00943","Vitvi06g00943",0.95132296724883,0.343665248905471,1.16605468074401,-0.798844462287436,0.570991295777082,5.25105992473408,"1.16565446639516e-06      .","23 x 19","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00401",8,"Vitvi18g00401","Vitvi18g00401",1.379455103193,0.391532297339166,1.14931705408096,-0.859335388228233,0.475850778306543,4.08469388182579,"6.97323840211928e-05      .","24 x 17","18 ","The cell cycle process in which double strand breaks are formed and repaired through a single or double Holliday junction intermediate. This results in the equal exchange of genetic material between non-sister chromatids in a pair of homologous chromosomes. These reciprocal recombinant products ensure the proper segregation of homologous chromosomes during meiosis I and create genetic diversity."
"Vitvi02g01545",9,"Vitvi02g01545","",0.911472421051846,0.459303207129093,1.10867017791067,-0.746836009316831,0.321854778784931,2.5665171108743,"0.0064620729264051      .","23 x 17"," ",""
"Vitvi18g01981",10,"Vitvi18g01981","Vitvi18g01981",3.17050904509997,0.468879435266682,1.03597049896236,-1.29320326369669,0.051793207930817,0.391555678604666,"0.348423276048291      .","19 x 19","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
