"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00175","Vitvi01g00175","40 x 20","Tocai_warm_r1","Vitvi01g00175","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00682","Vitvi01g00682","13 x 40","Sangio_accfreeze_r3","Vitvi01g00682","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00735","Vitvi01g00735","40 x 4","Sangio_warm_r1","Vitvi01g00735","Binding to a zinc ion (Zn)."
"Vitvi03g00509","Vitvi03g00509","14 x 1","Tocai_freeze_r3","Vitvi03g00509","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi03g01047","Vitvi03g01047","32 x 9","Chard_warm_r3","Vitvi03g01047","Binding to a zinc ion (Zn)."
"Vitvi05g00403","Vitvi05g00403","38 x 35","Chard_warm_r3","Vitvi05g00403","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00800","Vitvi05g00800","10 x 22","Chard_freeze_r3","Vitvi05g00800","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi07g00187","Vitvi07g00187","40 x 40","Riesl_warm_r2","Vitvi07g00187","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01608","Vitvi07g01608","6 x 37","Sangio_acclim_r2","Vitvi07g01608","Catalysis of the hydrolysis of any non-peptide carbon-nitrogen bond in a linear amide."
"Vitvi08g01454","Vitvi08g01454","40 x 6","Riesl_warm_r1","Vitvi08g01454","Binding to a zinc ion (Zn)."
"Vitvi08g01604","Vitvi08g01604","40 x 6","CabFra_freeze_r1","Vitvi08g01604","Binding to a zinc ion (Zn)."
"Vitvi08g01646","Vitvi08g01646","35 x 6","Sangio_warm_r3","Vitvi08g01646","Binding to a metal ion."
"Vitvi08g01812","Vitvi08g01812","27 x 22","Tocai_freeze_r3","Vitvi08g01812","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi09g00214","Vitvi09g00214","13 x 27","Tocai_accfreeze_r2","Vitvi09g00214","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi14g00791","Vitvi14g00791","22 x 1","Tocai_warm_r1","Vitvi14g00791","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01720","Vitvi14g01720","14 x 1","Sangio_freeze_r2","Vitvi14g01720","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01763","Vitvi14g01763","40 x 34","Sangio_warm_r3","Vitvi14g01763","Binding to a zinc ion (Zn)."
"Vitvi16g01282","Vitvi16g01282","37 x 1","Riesl_warm_r1","Vitvi16g01282","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g01559","Vitvi16g01559","7 x 11","Sangio_freeze_r1","Vitvi16g01559","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g01561","Vitvi16g01561","7 x 6","CabFra_freeze_r3","Vitvi16g01561","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi17g00160","Vitvi17g00160","34 x 6","CabFra_freeze_r2","Vitvi17g00160","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi17g00819","Vitvi17g00819","5 x 2","CabFra_accfreeze_r2","Vitvi17g00819","Binding to a zinc ion (Zn)."
"Vitvi17g00820","Vitvi17g00820","26 x 21","Riesl_accfreeze_r3","Vitvi17g00820","Binding to a zinc ion (Zn)."
"Vitvi18g00326","Vitvi18g00326","12 x 1","Tocai_freeze_r3","Vitvi18g00326","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi18g00512","Vitvi18g00512","2 x 14","Tocai_freeze_r2","Vitvi18g00512","Binding to a zinc ion (Zn)."
