"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00103","Vitvi01g00103","1 x 34","Tocai_accfreeze_r2","Vitvi01g00103","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi01g00201","Vitvi01g00201","23 x 33","Riesl_acclim_r1","Vitvi01g00201","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g00418","Vitvi01g00418","10 x 12","CabFra_freeze_r2","Vitvi01g00418","Binding to a metal ion."
"Vitvi01g01018","Vitvi01g01018","2 x 38","Sangio_accfreeze_r1","Vitvi01g01018","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi01g01236","Vitvi01g01236","40 x 31","Riesl_warm_r2","Vitvi01g01236","Catalysis of the reaction: ATP + UTP + glutamine + H20= ADP + phosphate + CTP + glutamate."
"Vitvi01g01357","Vitvi01g01357","5 x 35","Riesl_acclim_r3","Vitvi01g01357","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00137","Vitvi02g00137","29 x 29","Riesl_acclim_r3","Vitvi02g00137","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00565","Vitvi03g00565","12 x 28","Chard_acclim_r2","Vitvi03g00565","Binding to an RNA molecule or a portion thereof."
"Vitvi03g01080","Vitvi03g01080","1 x 25","Tocai_accfreeze_r2","Vitvi03g01080","The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."
"Vitvi07g02582","Vitvi07g02582","2 x 28","Riesl_freeze_r2","Vitvi07g02582","Any process that modulates the frequency, rate or extent of translational initiation."
"Vitvi04g01438","Vitvi04g01438","11 x 12","Sangio_accfreeze_r1","Vitvi04g01438","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01611","Vitvi04g01611","23 x 22","Riesl_accfreeze_r1","Vitvi04g01611","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01645","Vitvi04g01645","31 x 25","CabFra_warm_r2","Vitvi04g01645","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01741","Vitvi04g01741","25 x 15","CabFra_freeze_r2","Vitvi04g01741","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00412","Vitvi05g00412","29 x 26","CabFra_warm_r2","Vitvi05g00412","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00654","Vitvi05g00654","11 x 40","Riesl_acclim_r3","Vitvi05g00654","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi05g00952","Vitvi05g00952","10 x 40","Sangio_acclim_r2","Vitvi05g00952","Catalysis of the reaction: a nucleoside triphosphate + H2O = a nucleotide + H+ + diphosphate."
"Vitvi05g01711","Vitvi05g01711","25 x 27","CabFra_accfreeze_r2","Vitvi05g01711","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00096","Vitvi06g00096","1 x 40","Tocai_acclim_r2","Vitvi06g00096",""
"Vitvi06g00339","Vitvi06g00339","5 x 36","CabFra_accfreeze_r3","Vitvi06g00339","Binding to a metal ion."
"Vitvi06g01166","Vitvi06g01166","39 x 26","Tocai_warm_r3","Vitvi06g01166","Binding to a magnesium (Mg) ion."
"Vitvi06g01172","Vitvi06g01172","10 x 6","Tocai_freeze_r2","Vitvi06g01172","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00041","Vitvi07g00041","15 x 2","Chard_freeze_r2","Vitvi07g00041","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00289","Vitvi07g00289","19 x 32","Tocai_accfreeze_r1","Vitvi07g00289","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00387","Vitvi07g00387","23 x 38","Riesl_accfreeze_r3","Vitvi07g00387","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
