"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00033","Vitvi01g00033","31 x 37","CabFra_acclim_r2","Vitvi01g00033","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures formed of microtubules and associated proteins in the cell cortex, i.e. just beneath the plasma membrane of a cell."
"Vitvi01g00134","Vitvi01g00134","31 x 37","Riesl_acclim_r1","Vitvi01g00134","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g00224","Vitvi01g00224","33 x 6","Riesl_freeze_r2","Vitvi01g00224","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"Vitvi01g00404","Vitvi01g00404","11 x 25","Tocai_accfreeze_r3","Vitvi01g00404","Binding to a metal ion."
"Vitvi01g00466","Vitvi01g00466","40 x 18","CabFra_warm_r1","Vitvi01g00466","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00497","Vitvi01g00497","34 x 36","Tocai_warm_r3","Vitvi01g00497","Binding to a microtubule, a filament composed of tubulin monomers."
"Vitvi01g00543","Vitvi01g00543","33 x 40","Tocai_accfreeze_r1","Vitvi01g00543","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00596","Vitvi01g00596","19 x 36","Tocai_acclim_r2","Vitvi01g00596","A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
"Vitvi01g00599","Vitvi01g00599","7 x 40","Sangio_accfreeze_r1","Vitvi01g00599","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
"Vitvi01g00858","Vitvi01g00858","15 x 14","Sangio_freeze_r2","Vitvi01g00858","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00972","Vitvi01g00972","40 x 20","Tocai_warm_r3","Vitvi01g00972","The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
"Vitvi01g01502","Vitvi01g01502","10 x 23","Sangio_accfreeze_r1","Vitvi01g01502","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01641","Vitvi01g01641","38 x 34","Tocai_warm_r2","Vitvi01g01641","Binding to a microtubule, a filament composed of tubulin monomers."
"Vitvi01g01986","Vitvi01g01986","7 x 37","CabFra_accfreeze_r3","Vitvi01g01986","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00182","Vitvi02g00182","18 x 7","Tocai_freeze_r3","Vitvi02g00182","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00319","Vitvi02g00319","40 x 30","Tocai_warm_r3","Vitvi02g00319","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00327","Vitvi02g00327","35 x 40","Riesl_accfreeze_r1","Vitvi02g00327","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00340","Vitvi02g00340","40 x 29","CabFra_warm_r2","Vitvi02g00340","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00346","Vitvi02g00346","37 x 40","Riesl_acclim_r3","Vitvi02g00346",""
"Vitvi02g00462","Vitvi02g00462","31 x 9","CabFra_freeze_r2","Vitvi02g00462","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00598","Vitvi02g00598","13 x 32","Sangio_accfreeze_r1","Vitvi02g00598","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g01177","Vitvi02g01177","24 x 34","Chard_acclim_r1","Vitvi02g01177","Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cellular proteins and thereby provide an important mechanism for regulating cellular activity."
"Vitvi03g00028","Vitvi03g00028","38 x 36","Riesl_warm_r1","Vitvi03g00028","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00050","Vitvi03g00050","30 x 35","Riesl_warm_r1","Vitvi03g00050","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00129","Vitvi03g00129","36 x 28","Sangio_accfreeze_r1","Vitvi03g00129","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi03g00447","Vitvi03g00447","40 x 27","Tocai_warm_r3","Vitvi03g00447","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00472","Vitvi03g00472","13 x 35","Sangio_accfreeze_r1","Vitvi03g00472","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00721","Vitvi03g00721","40 x 35","CabFra_warm_r3","Vitvi03g00721","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00858","Vitvi03g00858","21 x 21","Tocai_acclim_r3","Vitvi03g00858","A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."
"Vitvi03g01639","Vitvi03g01639","38 x 1","Riesl_freeze_r3","Vitvi03g01639","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01719","Vitvi03g01719","5 x 35","CabFra_freeze_r3","Vitvi03g01719","Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide."
