"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi02g00532",1,"Vitvi02g00532","Vitvi02g00532",3.15158524213538,1.31054008817124,2.5100191840971,-2.83512335039738,0.677780000579257,6.95957027950934,"1.85776949379601e-09      .","34 x 40","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi02g01239",2,"Vitvi02g01239","",1.55292811779265,1.03847252755163,2.50719647406176,-1.39144207662087,0.654855871505661,6.5418837319688,"9.18925890935895e-09      .","35 x 37"," ",""
"Vitvi15g01388",3,"Vitvi15g01388","Vitvi15g01388",3.05837454171835,1.51107280031029,2.46789009619789,-2.95526987953336,0.626139953549238,6.06282952021201,"5.67331233103374e-08      .","33 x 40","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g01176",4,"Vitvi16g01176","",2.37639939697915,1.38639186122505,2.42002770223066,-2.31613019318377,0.676375866826923,6.93297096223527,"2.05725525503908e-09      .","33 x 40"," ",""
"Vitvi14g03036",5,"Vitvi14g03036","Vitvi14g03036",3.8511681910541,1.18461070332693,2.33253281864414,-2.94676909593928,0.724538308298851,7.93654992225369,"4.38021841020486e-11      .","34 x 40","14 ","Binding to a zinc ion (Zn)."
"Vitvi04g01221",6,"Vitvi04g01221","Vitvi04g01221",3.47258515545057,1.03171706078943,2.32424767668903,-2.84634958490813,0.509525504249661,4.4706936685632,"1.88126704772085e-05      .","27 x 40","4 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g03009",7,"Vitvi18g03009","Vitvi18g03009",1.60822616556787,1.23524125840831,2.30299213236979,-1.60822616556787,0.528178132192818,4.69614849532699,"8.56209795208063e-06      .","30 x 40","18 ",""
"Vitvi10g01138",8,"Vitvi10g01138","Vitvi10g01138",3.04441783709757,1.46194724630118,2.28204277364561,-2.98081609760668,0.743257918701977,8.38779138827836,"7.8275164128172e-12      .","33 x 40","10 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi10g02114",9,"Vitvi10g02114","",1.69832126463795,1.01606852506283,2.27544442066009,-1.65301483729692,0.449710010263509,3.80131279484694,"0.000176243880298022      .","28 x 40"," ",""
"Vitvi00g01861",10,"Vitvi00g01861","",1.69865744322384,1.01606695073909,2.27531369917125,-1.65335101588281,0.449697164201968,3.80117668373462,"0.000176321023900083      .","28 x 40"," ",""
"Vitvi18g00473",11,"Vitvi18g00473","Vitvi18g00473",3.01729078371405,1.09907747481658,2.26767454817937,-2.99831056253173,0.558410909118918,5.0820761015463,"2.15567686523421e-06      .","33 x 37","18 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi14g01641",12,"Vitvi14g01641","Vitvi14g01641",1.87696394379023,0.956949687989925,2.214295782809,-1.86203332697523,0.633995547637284,6.1894921595397,"3.51267441800474e-08      .","33 x 39","14 ","The formation of the principal food-conducting tissue of a vascular plant."
