"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00295","Vitvi01g00295","5 x 10","Sangio_freeze_r3","Vitvi01g00295","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01359","Vitvi01g01359","15 x 2","Sangio_freeze_r2","Vitvi01g01359","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi02g00263","Vitvi02g00263","2 x 3","Sangio_freeze_r3","Vitvi02g00263","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g00283","Vitvi02g00283","22 x 10","Sangio_freeze_r2","Vitvi02g00283","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00634","Vitvi02g00634","12 x 6","CabFra_freeze_r2","Vitvi02g00634","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi03g00077","Vitvi03g00077","37 x 1","Chard_freeze_r2","Vitvi03g00077","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi03g00524","Vitvi03g00524","37 x 1","Sangio_freeze_r1","Vitvi03g00524","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi03g00564","Vitvi03g00564","7 x 33","Tocai_freeze_r2","Vitvi03g00564","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g00635","Vitvi04g00635","38 x 27","CabFra_warm_r1","Vitvi04g00635","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g01255","Vitvi07g01255","40 x 36","Sangio_warm_r1","Vitvi07g01255","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi13g00235","Vitvi13g00235","14 x 1","Sangio_freeze_r3","Vitvi13g00235","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01233","Vitvi04g01233","9 x 1","Chard_freeze_r2","Vitvi04g01233","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi04g01378","Vitvi04g01378","33 x 25","Riesl_accfreeze_r3","Vitvi04g01378","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01412","Vitvi04g01412","4 x 5","Sangio_freeze_r1","Vitvi04g01412","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01585","Vitvi04g01585","40 x 36","CabFra_warm_r1","Vitvi04g01585","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00135","Vitvi05g00135","12 x 36","Chard_acclim_r2","Vitvi05g00135","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g00111","Vitvi06g00111","40 x 1","Tocai_warm_r1","Vitvi06g00111","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g00769","Vitvi06g00769","4 x 34","CabFra_accfreeze_r3","Vitvi06g00769","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g00771","Vitvi06g00771","40 x 18","Sangio_warm_r2","Vitvi06g00771","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g00803","Vitvi06g00803","40 x 19","Tocai_freeze_r1","Vitvi06g00803","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi06g01318","Vitvi06g01318","7 x 11","CabFra_freeze_r3","Vitvi06g01318","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00327","Vitvi07g00327","10 x 1","Sangio_freeze_r1","Vitvi07g00327","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01502","Vitvi07g01502","4 x 34","CabFra_accfreeze_r3","Vitvi07g01502","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g01614","Vitvi07g01614","22 x 1","Tocai_warm_r1","Vitvi07g01614","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi07g01673","Vitvi07g01673","5 x 11","Sangio_freeze_r2","Vitvi07g01673","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g01723","Vitvi07g01723","8 x 1","Sangio_freeze_r1","Vitvi07g01723","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi07g02029","Vitvi07g02029","40 x 7","Tocai_freeze_r3","Vitvi07g02029","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00821","Vitvi08g00821","6 x 8","Sangio_freeze_r3","Vitvi08g00821","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g00822","Vitvi08g00822","9 x 20","Sangio_accfreeze_r3","Vitvi08g00822","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g00823","Vitvi08g00823","14 x 40","Riesl_accfreeze_r1","Vitvi08g00823","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi08g00940","Vitvi08g00940","40 x 2","Tocai_freeze_r1","Vitvi08g00940","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01058","Vitvi08g01058","7 x 2","CabFra_freeze_r3","Vitvi08g01058","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g00491","Vitvi09g00491","40 x 21","Tocai_warm_r1","Vitvi09g00491","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g00993","Vitvi09g00993","17 x 1","Sangio_warm_r2","Vitvi09g00993","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi09g01229","Vitvi09g01229","18 x 4","Sangio_freeze_r1","Vitvi09g01229","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi10g00100","Vitvi10g00100","38 x 40","Sangio_warm_r1","Vitvi10g00100","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi10g01020","Vitvi10g01020","36 x 32","Sangio_warm_r2","Vitvi10g01020","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi11g00217","Vitvi11g00217","22 x 40","Chard_acclim_r3","Vitvi11g00217","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi11g00720","Vitvi11g00720","2 x 14","Riesl_freeze_r3","Vitvi11g00720","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00730","Vitvi11g00730","40 x 34","Chard_warm_r2","Vitvi11g00730","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi11g00924","Vitvi11g00924","5 x 8","Sangio_freeze_r3","Vitvi11g00924","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi11g01257","Vitvi11g01257","39 x 1","Sangio_freeze_r1","Vitvi11g01257","Catalysis of the reaction: substrate + ATP + CoASH = AMP + diphosphate + substrate-CoA."
"Vitvi12g00261","Vitvi12g00261","9 x 1","Chard_freeze_r3","Vitvi12g00261","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi12g00533","Vitvi12g00533","39 x 40","Chard_warm_r1","Vitvi12g00533","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi12g01624","Vitvi12g01624","37 x 40","Chard_acclim_r3","Vitvi12g01624","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi13g00143","Vitvi13g00143","40 x 1","Chard_warm_r3","Vitvi13g00143","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g00622","Vitvi13g00622","38 x 33","Tocai_freeze_r1","Vitvi13g00622","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01187","Vitvi14g01187","6 x 30","Chard_acclim_r1","Vitvi14g01187","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01821","Vitvi14g01821","39 x 34","CabFra_warm_r2","Vitvi14g01821","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi14g01532","Vitvi14g01532","14 x 31","Tocai_warm_r2","Vitvi14g01532","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi15g00874","Vitvi15g00874","32 x 1","Chard_freeze_r2","Vitvi15g00874","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi16g00139","Vitvi16g00139","40 x 4","Tocai_freeze_r1","Vitvi16g00139","Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."
"Vitvi16g00849","Vitvi16g00849","40 x 40","Tocai_acclim_r3","Vitvi16g00849","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi16g01334","Vitvi16g01334","2 x 6","Sangio_freeze_r3","Vitvi16g01334","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi17g00148","Vitvi17g00148","1 x 38","Chard_accfreeze_r3","Vitvi17g00148","A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."
"Vitvi17g00747","Vitvi17g00747","20 x 6","Sangio_freeze_r1","Vitvi17g00747","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g00263","Vitvi18g00263","13 x 32","Chard_acclim_r1","Vitvi18g00263","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi18g00473","Vitvi18g00473","33 x 37","Sangio_warm_r1","Vitvi18g00473","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g01167","Vitvi18g01167","40 x 38","CabFra_warm_r1","Vitvi18g01167","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi18g01608","Vitvi18g01608","2 x 8","CabFra_freeze_r2","Vitvi18g01608","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
