"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00360","Vitvi01g00360","24 x 2","CabFra_freeze_r2","Vitvi01g00360","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00376","Vitvi01g00376","4 x 32","Sangio_acclim_r1","Vitvi01g00376","Binding to a protein."
"Vitvi01g01538","Vitvi01g01538","4 x 5","Sangio_freeze_r3","Vitvi01g01538","Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH."
"Vitvi02g00025","Vitvi02g00025","13 x 1","Riesl_freeze_r1","Vitvi02g00025","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00684","Vitvi02g00684","15 x 38","Chard_accfreeze_r3","Vitvi02g00684","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00048","Vitvi03g00048","36 x 7","Tocai_freeze_r3","Vitvi03g00048","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00129","Vitvi03g00129","36 x 28","Sangio_accfreeze_r1","Vitvi03g00129","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi03g00723","Vitvi03g00723","40 x 24","CabFra_warm_r3","Vitvi03g00723","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00038","Vitvi04g00038","37 x 17","Sangio_warm_r2","Vitvi04g00038","A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
"Vitvi07g00060","Vitvi07g00060","4 x 8","CabFra_freeze_r2","Vitvi07g00060","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi07g00062","Vitvi07g00062","36 x 24","CabFra_warm_r2","Vitvi07g00062","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00164","Vitvi10g00164","38 x 28","Sangio_warm_r3","Vitvi10g00164","Binding to a calcium ion (Ca2+)."
"Vitvi10g00217","Vitvi10g00217","26 x 1","Riesl_freeze_r1","Vitvi10g00217","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01421","Vitvi04g01421","17 x 40","Chard_freeze_r3","Vitvi04g01421","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00612","Vitvi05g00612","31 x 20","CabFra_warm_r3","Vitvi05g00612","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00739","Vitvi05g00739","40 x 5","Tocai_warm_r1","Vitvi05g00739","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01184","Vitvi05g01184","12 x 16","Sangio_freeze_r1","Vitvi05g01184","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g01700","Vitvi05g01700","23 x 28","Tocai_acclim_r2","Vitvi05g01700","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00021","Vitvi06g00021","12 x 9","CabFra_freeze_r2","Vitvi06g00021","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00424","Vitvi06g00424","21 x 26","Chard_accfreeze_r3","Vitvi06g00424","Binding to monomeric or multimeric forms of actin, including actin filaments."
"Vitvi06g00443","Vitvi06g00443","2 x 1","Riesl_freeze_r1","Vitvi06g00443","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00574","Vitvi06g00574","31 x 21","CabFra_warm_r3","Vitvi06g00574","Binding to a magnesium (Mg) ion."
"Vitvi06g00669","Vitvi06g00669","17 x 34","Sangio_acclim_r3","Vitvi06g00669","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g01693","Vitvi06g01693","40 x 1","Riesl_freeze_r1","Vitvi06g01693","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00464","Vitvi07g00464","32 x 29","Tocai_warm_r1","Vitvi07g00464","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi07g00595","Vitvi07g00595","5 x 1","CabFra_freeze_r3","Vitvi07g00595","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01498","Vitvi07g01498","31 x 28","Tocai_warm_r3","Vitvi07g01498","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01682","Vitvi07g01682","10 x 1","Sangio_freeze_r3","Vitvi07g01682","Binding to GTP, guanosine triphosphate."
