"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00373","Vitvi01g00373","35 x 19","CabFra_warm_r2","Vitvi01g00373","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01776","Vitvi01g01776","27 x 14","CabFra_warm_r2","Vitvi01g01776","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00304","Vitvi02g00304","12 x 40","CabFra_acclim_r2","Vitvi02g00304","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00332","Vitvi03g00332","26 x 16","Sangio_freeze_r3","Vitvi03g00332","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01127","Vitvi03g01127","33 x 1","Sangio_warm_r1","Vitvi03g01127","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00067","Vitvi04g00067","25 x 16","CabFra_freeze_r2","Vitvi04g00067","Binding to a metal ion."
"Vitvi04g00211","Vitvi04g00211","1 x 6","CabFra_freeze_r2","Vitvi04g00211","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00224","Vitvi04g00224","33 x 35","Riesl_acclim_r1","Vitvi04g00224","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00045","Vitvi07g00045","31 x 28","Tocai_warm_r1","Vitvi07g00045","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi09g00006","Vitvi09g00006","40 x 17","CabFra_warm_r2","Vitvi09g00006","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00189","Vitvi09g00189","4 x 32","Riesl_accfreeze_r2","Vitvi09g00189","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g00693","Vitvi09g00693","32 x 40","Riesl_accfreeze_r3","Vitvi09g00693","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01381","Vitvi09g01381","9 x 37","CabFra_accfreeze_r2","Vitvi09g01381","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01397","Vitvi09g01397","20 x 33","Chard_acclim_r3","Vitvi09g01397","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g00560","Vitvi11g00560","11 x 7","CabFra_freeze_r3","Vitvi11g00560","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g01208","Vitvi11g01208","27 x 40","Riesl_acclim_r1","Vitvi11g01208","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g00628","Vitvi12g00628","36 x 13","Tocai_freeze_r2","Vitvi12g00628","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g00101","Vitvi14g00101","1 x 35","Sangio_accfreeze_r1","Vitvi14g00101","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01032","Vitvi14g01032","27 x 17","CabFra_freeze_r2","Vitvi14g01032","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01457","Vitvi14g01457","17 x 5","Riesl_freeze_r2","Vitvi14g01457","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01888","Vitvi14g01888","3 x 16","CabFra_freeze_r3","Vitvi14g01888","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00253","Vitvi17g00253","35 x 17","Tocai_warm_r3","Vitvi17g00253","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00527","Vitvi17g00527","33 x 38","Riesl_acclim_r1","Vitvi17g00527","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00308","Vitvi19g00308","39 x 6","Chard_freeze_r2","Vitvi19g00308","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
