"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00106","Vitvi01g00106","33 x 36","Sangio_warm_r1","Vitvi01g00106","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g00143","Vitvi01g00143","9 x 15","Riesl_freeze_r3","Vitvi01g00143","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00340","Vitvi01g00340","39 x 8","Chard_warm_r3","Vitvi01g00340","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00362","Vitvi01g00362","10 x 11","Riesl_freeze_r3","Vitvi01g00362","The chemical reactions and pathways resulting in the formation of phosphatidylserines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of L-serine."
"Vitvi01g00441","Vitvi01g00441","40 x 34","Chard_warm_r3","Vitvi01g00441","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi01g00637","Vitvi01g00637","5 x 38","Tocai_accfreeze_r3","Vitvi01g00637","Catalysis of the hydrolysis of any ester bond."
"Vitvi01g01346","Vitvi01g01346","23 x 25","CabFra_freeze_r3","Vitvi01g01346","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01956","Vitvi01g01956","31 x 34","Tocai_warm_r2","Vitvi01g01956","The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
"Vitvi02g00424","Vitvi02g00424","21 x 13","CabFra_freeze_r3","Vitvi02g00424","Binding to a calcium ion (Ca2+)."
"Vitvi02g00527","Vitvi02g00527","15 x 13","Sangio_freeze_r1","Vitvi02g00527","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00573","Vitvi02g00573","40 x 13","Sangio_warm_r3","Vitvi02g00573","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi02g00785","Vitvi02g00785","7 x 28","Tocai_acclim_r1","Vitvi02g00785","Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor)."
"Vitvi03g00150","Vitvi03g00150","28 x 5","CabFra_freeze_r3","Vitvi03g00150","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00200","Vitvi03g00200","6 x 37","CabFra_accfreeze_r3","Vitvi03g00200","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi03g00851","Vitvi03g00851","32 x 40","Riesl_acclim_r2","Vitvi03g00851","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi03g01259","Vitvi03g01259","15 x 20","Tocai_freeze_r2","Vitvi03g01259","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi03g01396","Vitvi03g01396","37 x 11","Tocai_freeze_r2","Vitvi03g01396","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi04g00283","Vitvi04g00283","5 x 17","Chard_freeze_r3","Vitvi04g00283","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00480","Vitvi04g00480","40 x 11","Chard_warm_r1","Vitvi04g00480","Binding to a calcium ion (Ca2+)."
"Vitvi04g00598","Vitvi04g00598","4 x 33","Tocai_acclim_r2","Vitvi04g00598","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g01206","Vitvi04g01206","29 x 36","Riesl_warm_r1","Vitvi04g01206","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01530","Vitvi04g01530","19 x 40","Sangio_acclim_r1","Vitvi04g01530","Binding to a calcium ion (Ca2+)."
"Vitvi10g00174","Vitvi10g00174","1 x 32","Tocai_accfreeze_r3","Vitvi10g00174","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi10g00383","Vitvi10g00383","11 x 14","CabFra_freeze_r3","Vitvi10g00383","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01336","Vitvi04g01336","31 x 5","Chard_freeze_r3","Vitvi04g01336","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00054","Vitvi05g00054","6 x 21","Sangio_freeze_r3","Vitvi05g00054","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g00564","Vitvi06g00564","6 x 1","CabFra_freeze_r3","Vitvi06g00564","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01226","Vitvi06g01226","40 x 38","Sangio_warm_r1","Vitvi06g01226","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi06g01309","Vitvi06g01309","5 x 22","CabFra_freeze_r3","Vitvi06g01309","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01387","Vitvi06g01387","24 x 31","Riesl_freeze_r3","Vitvi06g01387","Catalysis of the hydrolysis of any ester bond."
"Vitvi07g00441","Vitvi07g00441","1 x 1","Riesl_freeze_r2","Vitvi07g00441","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g00649","Vitvi07g00649","19 x 38","Tocai_acclim_r1","Vitvi07g00649","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
