"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01296","Vitvi01g01296","34 x 28","CabFra_warm_r2","Vitvi01g01296","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00429","Vitvi02g00429","2 x 1","Riesl_freeze_r3","Vitvi02g00429",""
"Vitvi03g00260","Vitvi03g00260","34 x 30","Riesl_acclim_r3","Vitvi03g00260","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00862","Vitvi03g00862","1 x 2","Riesl_freeze_r2","Vitvi03g00862","Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH."
"Vitvi03g01309","Vitvi03g01309","38 x 31","CabFra_warm_r3","Vitvi03g01309","The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group."
"Vitvi04g00065","Vitvi04g00065","1 x 6","Chard_accfreeze_r1","Vitvi04g00065","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01269","Vitvi06g01269","36 x 28","CabFra_warm_r2","Vitvi06g01269","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00350","Vitvi05g00350","39 x 34","CabFra_warm_r3","Vitvi05g00350","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00556","Vitvi05g00556","25 x 31","Chard_freeze_r2","Vitvi05g00556","The chemical reactions and pathways resulting in the breakdown of chlorophyll, any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment, into less complex products."
"Vitvi05g00891","Vitvi05g00891","17 x 37","Chard_acclim_r2","Vitvi05g00891","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi06g01069","Vitvi06g01069","11 x 40","Tocai_warm_r3","Vitvi06g01069","The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana."
"Vitvi06g01265","Vitvi06g01265","22 x 39","Riesl_acclim_r1","Vitvi06g01265","Binding to a cobalt ion (Co)."
