"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00272","Vitvi01g00272","16 x 5","Sangio_freeze_r2","Vitvi01g00272","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00862","Vitvi01g00862","6 x 40","Tocai_accfreeze_r2","Vitvi01g00862","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00044","Vitvi02g00044","20 x 22","Sangio_accfreeze_r1","Vitvi02g00044","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00440","Vitvi02g00440","15 x 24","Sangio_accfreeze_r1","Vitvi02g00440","Binding to an RNA molecule or a portion thereof."
"Vitvi03g00327","Vitvi03g00327","4 x 37","Sangio_accfreeze_r2","Vitvi03g00327","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00472","Vitvi03g00472","13 x 35","Sangio_accfreeze_r1","Vitvi03g00472","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00066","Vitvi04g00066","16 x 37","Sangio_warm_r1","Vitvi04g00066","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00260","Vitvi04g00260","13 x 31","Tocai_accfreeze_r2","Vitvi04g00260","Binding to a nucleic acid."
"Vitvi04g00275","Vitvi04g00275","30 x 25","CabFra_warm_r2","Vitvi04g00275","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00276","Vitvi04g00276","16 x 20","Tocai_freeze_r2","Vitvi04g00276","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00474","Vitvi04g00474","17 x 33","Sangio_acclim_r2","Vitvi04g00474","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g00221","Vitvi10g00221","20 x 21","Tocai_accfreeze_r2","Vitvi10g00221","Binding to a protein."
"Vitvi05g00278","Vitvi05g00278","28 x 32","Sangio_warm_r3","Vitvi05g00278","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00661","Vitvi05g00661","12 x 13","Tocai_accfreeze_r3","Vitvi05g00661","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi05g00731","Vitvi05g00731","30 x 7","Sangio_freeze_r3","Vitvi05g00731","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01355","Vitvi05g01355","31 x 26","Riesl_acclim_r3","Vitvi05g01355","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g02252","Vitvi05g02252","27 x 34","Tocai_warm_r3","Vitvi05g02252","Binding to a nucleic acid."
"Vitvi06g00086","Vitvi06g00086","24 x 38","Tocai_accfreeze_r3","Vitvi06g00086","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00429","Vitvi06g00429","27 x 16","Sangio_accfreeze_r1","Vitvi06g00429","Binding to a nucleic acid."
"Vitvi06g00516","Vitvi06g00516","15 x 21","Riesl_warm_r1","Vitvi06g00516","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
