"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00252","Vitvi01g00252","16 x 29","Sangio_accfreeze_r1","Vitvi01g00252","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00704","Vitvi01g00704","30 x 13","Chard_warm_r2","Vitvi01g00704","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi01g01040","Vitvi01g01040","7 x 33","Tocai_accfreeze_r2","Vitvi01g01040","Binding to a calcium ion (Ca2+)."
"Vitvi01g01749","Vitvi01g01749","7 x 23","Sangio_accfreeze_r2","Vitvi01g01749","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00009","Vitvi02g00009","15 x 33","Tocai_accfreeze_r3","Vitvi02g00009","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00044","Vitvi02g00044","20 x 22","Sangio_accfreeze_r1","Vitvi02g00044","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00159","Vitvi02g00159","3 x 20","Sangio_freeze_r1","Vitvi02g00159","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00227","Vitvi02g00227","7 x 33","Riesl_accfreeze_r1","Vitvi02g00227","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
"Vitvi02g00363","Vitvi02g00363","20 x 8","CabFra_freeze_r3","Vitvi02g00363","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00414","Vitvi02g00414","21 x 35","Tocai_acclim_r1","Vitvi02g00414","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g00470","Vitvi02g00470","12 x 9","Sangio_freeze_r3","Vitvi02g00470","The process of introducing a phosphate group on to an amino acid residue in the C-terminal domain of RNA polymerase II. Typically, this occurs during the transcription cycle and results in production of an RNA polymerase II enzyme where the carboxy-terminal domain (CTD) of the largest subunit is extensively phosphorylated, often referred to as hyperphosphorylated or the II(0) form. Specific types of phosphorylation within the CTD are usually associated with specific regions of genes, though there are exceptions. The phosphorylation state regulates the association of specific complexes such as the capping enzyme or 3'-RNA processing machinery to the elongating RNA polymerase complex."
"Vitvi02g00590","Vitvi02g00590","16 x 21","CabFra_freeze_r2","Vitvi02g00590","Binding to a metal ion."
"Vitvi03g00195","Vitvi03g00195","11 x 36","Tocai_accfreeze_r2","Vitvi03g00195",""
"Vitvi03g00349","Vitvi03g00349","6 x 32","Sangio_accfreeze_r1","Vitvi03g00349","Binding to a zinc ion (Zn)."
"Vitvi03g00455","Vitvi03g00455","26 x 20","Riesl_freeze_r1","Vitvi03g00455","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00543","Vitvi03g00543","28 x 26","Tocai_warm_r3","Vitvi03g00543","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g00513","Vitvi04g00513","15 x 32","Tocai_accfreeze_r2","Vitvi04g00513","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi04g00617","Vitvi04g00617","4 x 35","Tocai_accfreeze_r3","Vitvi04g00617","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi04g00628","Vitvi04g00628","30 x 14","CabFra_warm_r3","Vitvi04g00628","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi04g01927","Vitvi04g01927","24 x 23","CabFra_freeze_r3","Vitvi04g01927","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi07g01203","Vitvi07g01203","29 x 10","Riesl_freeze_r2","Vitvi07g01203","Binding to GTP, guanosine triphosphate."
