"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01800","Vitvi01g01800","35 x 17","Tocai_warm_r3","Vitvi01g01800","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00661","Vitvi02g00661","23 x 26","Tocai_acclim_r3","Vitvi02g00661","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi03g00243","Vitvi03g00243","15 x 21","Tocai_accfreeze_r3","Vitvi03g00243","Binding to a calcium ion (Ca2+)."
"Vitvi04g00050","Vitvi04g00050","25 x 33","Riesl_acclim_r1","Vitvi04g00050","The process of directing proteins towards the vacuole, usually using signals contained within the protein."
"Vitvi17g01311","Vitvi17g01311","22 x 2","Tocai_warm_r1","Vitvi17g01311","Binding to a calcium ion (Ca2+)."
"Vitvi04g01451","Vitvi04g01451","33 x 15","Riesl_accfreeze_r1","Vitvi04g01451","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g01042","Vitvi05g01042","7 x 32","Sangio_accfreeze_r1","Vitvi05g01042","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g01381","Vitvi05g01381","14 x 14","Sangio_freeze_r1","Vitvi05g01381","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi06g00443","Vitvi06g00443","2 x 1","Riesl_freeze_r1","Vitvi06g00443","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00455","Vitvi06g00455","3 x 1","CabFra_freeze_r3","Vitvi06g00455","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"Vitvi06g00669","Vitvi06g00669","17 x 34","Sangio_acclim_r3","Vitvi06g00669","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi06g01392","Vitvi06g01392","18 x 31","Riesl_accfreeze_r3","Vitvi06g01392","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi06g01693","Vitvi06g01693","40 x 1","Riesl_freeze_r1","Vitvi06g01693","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00623","Vitvi07g00623","21 x 18","Sangio_freeze_r1","Vitvi07g00623","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01897","Vitvi07g01897","15 x 20","CabFra_accfreeze_r3","Vitvi07g01897","Binding to GTP, guanosine triphosphate."
"Vitvi08g00079","Vitvi08g00079","18 x 29","Riesl_freeze_r3","Vitvi08g00079","Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP."
"Vitvi08g01314","Vitvi08g01314","12 x 13","Tocai_freeze_r2","Vitvi08g01314","Binding to a metal ion."
"Vitvi08g01589","Vitvi08g01589","15 x 7","Riesl_freeze_r3","Vitvi08g01589","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g02189","Vitvi08g02189","38 x 1","Riesl_freeze_r1","Vitvi08g02189","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g00090","Vitvi10g00090","32 x 28","Tocai_warm_r3","Vitvi10g00090","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi11g00523","Vitvi11g00523","4 x 31","Chard_accfreeze_r1","Vitvi11g00523","A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."
"Vitvi11g00724","Vitvi11g00724","1 x 1","Riesl_freeze_r2","Vitvi11g00724","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g00815","Vitvi11g00815","35 x 37","CabFra_warm_r2","Vitvi11g00815","A vesicle with a coat formed of clathrin connected to the membrane via one of the clathrin adaptor complexes."
"Vitvi12g01866","Vitvi12g01866","6 x 22","Riesl_freeze_r1","Vitvi12g01866","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi12g02111","Vitvi12g02111","22 x 28","Chard_acclim_r3","Vitvi12g02111","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00072","Vitvi13g00072","18 x 33","Chard_acclim_r3","Vitvi13g00072","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi13g00300","Vitvi13g00300","8 x 7","Sangio_freeze_r1","Vitvi13g00300","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g01409","Vitvi13g01409","24 x 30","Sangio_freeze_r1","Vitvi13g01409","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi13g01805","Vitvi13g01805","9 x 24","Tocai_accfreeze_r3","Vitvi13g01805","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g00674","Vitvi14g00674","22 x 20","CabFra_accfreeze_r2","Vitvi14g00674","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi17g00287","Vitvi17g00287","31 x 27","CabFra_warm_r2","Vitvi17g00287","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g00073","Vitvi18g00073","32 x 15","Tocai_warm_r2","Vitvi18g00073",""
"Vitvi18g00079","Vitvi18g00079","17 x 7","Riesl_freeze_r2","Vitvi18g00079","Binding to a calcium ion (Ca2+)."
"Vitvi18g00322","Vitvi18g00322","40 x 13","Riesl_warm_r1","Vitvi18g00322","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g02066","Vitvi18g02066","1 x 26","Riesl_freeze_r2","Vitvi18g02066","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g02329","Vitvi18g02329","9 x 26","Sangio_acclim_r1","Vitvi18g02329","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi18g02359","Vitvi18g02359","16 x 25","Riesl_freeze_r3","Vitvi18g02359","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g02794","Vitvi18g02794","10 x 14","Sangio_accfreeze_r1","Vitvi18g02794","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
