"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00249","Vitvi01g00249","1 x 16","Tocai_accfreeze_r2","Vitvi01g00249","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00578","Vitvi01g00578","23 x 14","Tocai_warm_r3","Vitvi01g00578","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01024","Vitvi01g01024","36 x 6","Chard_freeze_r2","Vitvi01g01024","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00757","Vitvi02g00757","16 x 4","Riesl_freeze_r1","Vitvi02g00757","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi02g01004","Vitvi02g01004","11 x 1","Sangio_warm_r3","Vitvi02g01004","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00454","Vitvi03g00454","33 x 9","Tocai_acclim_r3","Vitvi03g00454","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g01303","Vitvi03g01303","18 x 40","Chard_warm_r3","Vitvi03g01303","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi10g00302","Vitvi10g00302","10 x 13","Sangio_freeze_r2","Vitvi10g00302","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00965","Vitvi04g00965","25 x 23","Riesl_accfreeze_r1","Vitvi04g00965","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi05g01066","Vitvi05g01066","28 x 34","Riesl_acclim_r1","Vitvi05g01066","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g00024","Vitvi06g00024","1 x 38","Sangio_acclim_r2","Vitvi06g00024","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi07g00666","Vitvi07g00666","5 x 24","Sangio_accfreeze_r2","Vitvi07g00666","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01325","Vitvi07g01325","7 x 1","Tocai_freeze_r2","Vitvi07g01325","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g00736","Vitvi08g00736","11 x 1","CabFra_freeze_r3","Vitvi08g00736","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g00955","Vitvi08g00955","19 x 18","Tocai_acclim_r2","Vitvi08g00955","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01723","Vitvi08g01723","3 x 1","Tocai_freeze_r2","Vitvi08g01723","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g01834","Vitvi08g01834","1 x 4","CabFra_freeze_r3","Vitvi08g01834","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g02099","Vitvi08g02099","7 x 29","Riesl_accfreeze_r1","Vitvi08g02099","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi09g01459","Vitvi09g01459","4 x 13","CabFra_accfreeze_r3","Vitvi09g01459","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g00405","Vitvi11g00405","11 x 5","CabFra_freeze_r3","Vitvi11g00405","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi12g00260","Vitvi12g00260","36 x 9","Riesl_freeze_r1","Vitvi12g00260","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi13g00088","Vitvi13g00088","14 x 3","Riesl_freeze_r2","Vitvi13g00088","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi14g00736","Vitvi14g00736","4 x 11","Sangio_freeze_r3","Vitvi14g00736","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi16g00121","Vitvi16g00121","6 x 26","Tocai_freeze_r3","Vitvi16g00121","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00869","Vitvi18g00869","32 x 37","Tocai_acclim_r3","Vitvi18g00869","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi19g01742","Vitvi19g01742","7 x 19","Sangio_freeze_r3","Vitvi19g01742","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
