"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi00g00346",1,"Vitvi00g00346","",1.37952096006281,1.58360413878813,3.48367249417461,-1.37952096006281,0.845524927434004,11.955690998328,"0      .","40 x 1"," ",""
"Vitvi07g02904",2,"Vitvi07g02904","",1.37893803555092,1.5837361383361,3.48356114395738,-1.37893803555092,0.845573372023945,11.9580943030482,"0      .","40 x 1"," ",""
"Vitvi02g01118",3,"Vitvi02g01118","Vitvi02g01118",0.688336138746238,0.810469522984216,3.26518837321276,-0.688336138746238,0.687868714483949,7.15492363780877,"8.77958816758451e-10      .","39 x 1","2 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
"Vitvi13g00870",4,"Vitvi13g00870","Vitvi13g00870",2.53612244239381,1.25398730973211,3.16654235892724,-2.03764366778633,0.333627706756628,2.67192194915469,"0.00490778917653512      .","38 x 1","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g01421",5,"Vitvi11g01421","Vitvi11g01421",2.29264968772103,1.26991870536129,3.07134755354935,-2.20231394766372,0.67503128816053,6.9076304405459,"2.26715179962866e-09      .","40 x 2","11 ",""
"Vitvi02g00110",6,"Vitvi02g00110","Vitvi02g00110",1.83475828384738,1.05308664018064,2.95410327337056,-1.74830292064968,0.728062845516535,8.01848379389828,"3.20179438517698e-11      .","40 x 1","2 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi05g02017",7,"Vitvi05g02017","Vitvi05g02017",1.98102058043014,1.36652405997564,2.95252418458329,-1.90205630377226,0.730003902212403,8.06418206728513,"2.68867150765573e-11      .","40 x 2","5 ",""
"Vitvi15g01070",8,"Vitvi15g01070","Vitvi15g01070",1.60915963551438,1.01247713134969,2.93658557946562,-1.60915963551438,0.766699316000625,9.01619253375736,"7.26307902709777e-13      .","40 x 1","15 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g01980",9,"Vitvi01g01980","",2.67078475362758,1.27711004592182,2.91111067097535,-2.02832720218718,0.796032133562358,9.92956217092067,"2.44249065417534e-14      .","40 x 2"," ",""
"Vitvi11g01303",10,"Vitvi11g01303","Vitvi11g01303",0.769640672311171,0.785753703720941,2.80793198775421,-0.769640672311171,0.706070516728773,7.52775438378574,"2.09865458344893e-10      .","40 x 1","11 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g02019",11,"Vitvi05g02019","Vitvi05g02019",1.04948337966462,1.0436735538795,2.80626114420456,-1.04948337966462,0.769950680642728,9.10980910011354,"5.1103565823496e-13      .","40 x 2","5 ",""
"Vitvi14g00930",12,"Vitvi14g00930","Vitvi14g00930",2.06145378874956,1.0882654827929,2.80316152914109,-2.06145378874956,0.642797312448684,6.33522624889237,"2.01975735025783e-08      .","40 x 2","14 ",""
"Vitvi02g01121",13,"Vitvi02g01121","Vitvi02g01121",1.35026234372766,1.09907986570292,2.75554855742127,-1.30495591638663,0.714216823852192,7.70400042482569,"1.0674439110403e-10      .","38 x 1","2 ","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi03g01833",14,"Vitvi03g01833","Vitvi03g01833",3.27836497830202,1.42652893824176,2.75333600312974,-2.78817484986128,0.7334597611167,8.14658225342432,"1.96271887631383e-11      .","40 x 1","3 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g02355",15,"Vitvi08g02355","Vitvi08g02355",1.11816620465072,0.771592108105906,2.67453649129963,-1.05456446515983,0.600492429519234,5.66964211258769,"2.48331408103653e-07      .","40 x 1","8 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g01537",16,"Vitvi09g01537","",1.15003982717281,0.833238165781669,2.66952720878683,-1.15003982717281,0.530922656035561,4.73009466381441,"7.59553695872661e-06      .","39 x 1"," ",""
"Vitvi08g01904",17,"Vitvi08g01904","Vitvi08g01904",0.792500521791944,0.889843933661311,2.56381548357764,-0.790252573982312,0.757834864607984,8.7693451430665,"1.84185999785313e-12      .","40 x 1","8 ","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi11g00805",18,"Vitvi11g00805","Vitvi11g00805",1.31990638783902,1.00389121431753,2.54205105615918,-1.3095465669352,0.692407455302433,7.24534042559166,"6.20498985526297e-10      .","40 x 2","11 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
