"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00587","Vitvi01g00587","38 x 12","Riesl_freeze_r3","Vitvi01g00587","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01557","Vitvi01g01557","40 x 33","CabFra_warm_r2","Vitvi01g01557","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g02020","Vitvi01g02020","33 x 37","Tocai_acclim_r1","Vitvi01g02020","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00162","Vitvi02g00162","35 x 10","Sangio_warm_r1","Vitvi02g00162","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi07g01439","Vitvi07g01439","37 x 31","Tocai_warm_r2","Vitvi07g01439","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi07g02491","Vitvi07g02491","12 x 15","Sangio_freeze_r3","Vitvi07g02491","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."
"Vitvi07g02535","Vitvi07g02535","38 x 22","CabFra_warm_r2","Vitvi07g02535","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01639","Vitvi05g01639","4 x 28","Tocai_acclim_r3","Vitvi05g01639","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."
"Vitvi06g00125","Vitvi06g00125","37 x 27","CabFra_warm_r2","Vitvi06g00125","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi06g00413","Vitvi06g00413","38 x 34","Chard_warm_r1","Vitvi06g00413","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00586","Vitvi06g00586","14 x 21","Sangio_freeze_r3","Vitvi06g00586","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi06g00723","Vitvi06g00723","34 x 29","CabFra_warm_r2","Vitvi06g00723","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi07g02020","Vitvi07g02020","26 x 2","CabFra_freeze_r2","Vitvi07g02020","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi07g02021","Vitvi07g02021","27 x 4","Sangio_freeze_r1","Vitvi07g02021","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi08g01731","Vitvi08g01731","39 x 18","Chard_warm_r3","Vitvi08g01731","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi08g01828","Vitvi08g01828","18 x 14","CabFra_freeze_r2","Vitvi08g01828","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi09g00058","Vitvi09g00058","34 x 36","Tocai_acclim_r1","Vitvi09g00058","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi09g01597","Vitvi09g01597","6 x 10","Sangio_freeze_r3","Vitvi09g01597","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi10g00753","Vitvi10g00753","36 x 29","CabFra_warm_r3","Vitvi10g00753","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi11g00041","Vitvi11g00041","31 x 40","Sangio_acclim_r2","Vitvi11g00041","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi11g00393","Vitvi11g00393","32 x 6","CabFra_freeze_r3","Vitvi11g00393","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi12g00464","Vitvi12g00464","30 x 13","Sangio_freeze_r2","Vitvi12g00464","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi12g01555","Vitvi12g01555","40 x 20","CabFra_warm_r2","Vitvi12g01555","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi13g00295","Vitvi13g00295","40 x 14","Sangio_warm_r3","Vitvi13g00295","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00571","Vitvi15g00571","35 x 14","Chard_freeze_r1","Vitvi15g00571","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00846","Vitvi15g00846","36 x 12","Riesl_warm_r2","Vitvi15g00846","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi15g01135","Vitvi15g01135","37 x 15","Chard_warm_r3","Vitvi15g01135","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi15g01534","Vitvi15g01534","10 x 13","Riesl_freeze_r1","Vitvi15g01534","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi15g01535","Vitvi15g01535","24 x 36","Chard_acclim_r2","Vitvi15g01535","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi17g00154","Vitvi17g00154","37 x 30","CabFra_warm_r1","Vitvi17g00154","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
