"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00175","Vitvi01g00175","40 x 20","Tocai_warm_r1","Vitvi01g00175","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi01g00568","Vitvi01g00568","21 x 2","Tocai_accfreeze_r3","Vitvi01g00568","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00662","Vitvi01g00662","16 x 40","Sangio_acclim_r3","Vitvi01g00662","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g02013","Vitvi01g02013","40 x 10","Riesl_freeze_r3","Vitvi01g02013","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00061","Vitvi03g00061","6 x 34","Chard_accfreeze_r2","Vitvi03g00061","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g01237","Vitvi03g01237","2 x 37","Sangio_accfreeze_r1","Vitvi03g01237","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00144","Vitvi04g00144","35 x 15","Tocai_warm_r3","Vitvi04g00144","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g00328","Vitvi04g00328","3 x 12","CabFra_freeze_r3","Vitvi04g00328","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00537","Vitvi04g00537","37 x 17","CabFra_warm_r2","Vitvi04g00537","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi04g00870","Vitvi04g00870","12 x 38","Chard_accfreeze_r1","Vitvi04g00870","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g01611","Vitvi04g01611","23 x 22","Riesl_accfreeze_r1","Vitvi04g01611","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00403","Vitvi05g00403","38 x 35","Chard_warm_r3","Vitvi05g00403","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi06g00339","Vitvi06g00339","5 x 36","CabFra_accfreeze_r3","Vitvi06g00339","Binding to a metal ion."
"Vitvi06g00666","Vitvi06g00666","1 x 1","Tocai_accfreeze_r3","Vitvi06g00666","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00759","Vitvi06g00759","4 x 14","CabFra_accfreeze_r2","Vitvi06g00759","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g01261","Vitvi06g01261","34 x 8","Tocai_freeze_r3","Vitvi06g01261","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi07g00187","Vitvi07g00187","40 x 40","Riesl_warm_r2","Vitvi07g00187","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g01808","Vitvi07g01808","7 x 7","Sangio_freeze_r1","Vitvi07g01808","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi08g00816","Vitvi08g00816","5 x 4","Sangio_freeze_r2","Vitvi08g00816","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi08g00824","Vitvi08g00824","14 x 40","Riesl_acclim_r1","Vitvi08g00824","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi08g01812","Vitvi08g01812","27 x 22","Tocai_freeze_r3","Vitvi08g01812","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi08g01874","Vitvi08g01874","27 x 26","CabFra_warm_r3","Vitvi08g01874","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi09g00019","Vitvi09g00019","1 x 24","Sangio_accfreeze_r1","Vitvi09g00019","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi09g00214","Vitvi09g00214","13 x 27","Tocai_accfreeze_r2","Vitvi09g00214","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi11g00318","Vitvi11g00318","27 x 1","Riesl_freeze_r2","Vitvi11g00318","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi12g00158","Vitvi12g00158","9 x 7","Sangio_freeze_r1","Vitvi12g00158","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi13g00505","Vitvi13g00505","26 x 19","Riesl_freeze_r2","Vitvi13g00505","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi13g01645","Vitvi13g01645","11 x 11","CabFra_freeze_r1","Vitvi13g01645","The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid."
"Vitvi14g00791","Vitvi14g00791","22 x 1","Tocai_warm_r1","Vitvi14g00791","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01765","Vitvi14g01765","7 x 2","Sangio_freeze_r1","Vitvi14g01765","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g01282","Vitvi16g01282","37 x 1","Riesl_warm_r1","Vitvi16g01282","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g01559","Vitvi16g01559","7 x 11","Sangio_freeze_r1","Vitvi16g01559","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g01561","Vitvi16g01561","7 x 6","CabFra_freeze_r3","Vitvi16g01561","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi17g00138","Vitvi17g00138","36 x 21","CabFra_warm_r2","Vitvi17g00138","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi17g00160","Vitvi17g00160","34 x 6","CabFra_freeze_r2","Vitvi17g00160","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi17g00453","Vitvi17g00453","6 x 2","Sangio_freeze_r1","Vitvi17g00453","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi17g00555","Vitvi17g00555","4 x 25","Chard_freeze_r2","Vitvi17g00555","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi17g01086","Vitvi17g01086","20 x 9","CabFra_freeze_r1","Vitvi17g01086","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00523","Vitvi18g00523","22 x 38","Sangio_accfreeze_r2","Vitvi18g00523","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g00730","Vitvi18g00730","5 x 1","Sangio_freeze_r1","Vitvi18g00730","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi19g00552","Vitvi19g00552","34 x 27","CabFra_warm_r2","Vitvi19g00552","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi19g01739","Vitvi19g01739","15 x 13","CabFra_freeze_r3","Vitvi19g01739","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi19g01741","Vitvi19g01741","34 x 37","Riesl_acclim_r3","Vitvi19g01741","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
