"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01318",1,"Vitvi14g01318","Vitvi14g01318",1.75868275214996,1.35455679713131,4.0172158127465,-1.75868275214996,0.455216941249178,3.85993664314705,"0.000145864021202646      .","1 x 28","14 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi15g01643",2,"Vitvi15g01643","",1.4768925957157,1.78833753874518,3.49715663854334,-1.4768925957157,0.706710269879136,7.54137438474361,"1.99179006621364e-10      .","1 x 28"," ",""
"Vitvi12g00368",3,"Vitvi12g00368","Vitvi12g00368",0.75133822127052,1.01870482924447,3.34881338301019,-0.75133822127052,0.511051452994114,4.48880613105897,"1.76696752292038e-05      .","1 x 27","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00283",4,"Vitvi19g00283","Vitvi19g00283",0.622737387432635,1.23700508939,3.09340882088315,-0.622737387432635,0.554219222466248,5.02692268645968,"2.63116887389003e-06      .","1 x 28","19 ","Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"Vitvi14g02924",5,"Vitvi14g02924","Vitvi14g02924",2.33351089053606,2.06685307845307,2.98196726157813,-2.33351089053606,0.668859769996273,6.7929216770903,"3.51855700131409e-09      .","1 x 28","14 ","Any intracellular signal transduction in which the signal is passed on within the cell via calcium ions."
"Vitvi12g02236",6,"Vitvi12g02236","",0.613150282955344,0.952843176032287,2.8212753172604,-0.613150282955344,0.357441890705532,2.88952228567664,"0.00272396118676643      .","1 x 27"," ",""
"Vitvi17g01380",7,"Vitvi17g01380","Vitvi17g01380",1.41531875329564,1.53780859452439,2.75823615212371,-1.41531875329564,0.674567040927476,6.89891046472347,"2.34421637657078e-09      .","1 x 28","17 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g00410",8,"Vitvi13g00410","Vitvi13g00410",1.26600151272861,1.05685647058972,2.70403681376081,-1.26600151272861,0.684730041673299,7.09333311429801,"1.11206954755971e-09      .","1 x 28","13 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi15g01075",9,"Vitvi15g01075","Vitvi15g01075",1.15584456417583,1.17425256245989,2.63497021514574,-1.15584456417583,0.730854886757987,8.08434808016667,"2.48928655466329e-11      .","1 x 28","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01073",10,"Vitvi15g01073","Vitvi15g01073",1.52044418347602,1.31180632470817,2.61787747931523,-1.52044418347602,0.715202740628511,7.72575557555125,"9.82031123086813e-11      .","1 x 28","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g03198",11,"Vitvi18g03198","",2.17308476340311,1.01915327550914,2.30536450050155,-1.84325068125289,0.753261108536932,8.64651040934643,"2.93143287422026e-12      .","1 x 28"," ",""
"Vitvi06g01100",12,"Vitvi06g01100","Vitvi06g01100",1.1110608524203,1.00080657984879,2.30393109106571,-1.1110608524203,0.474178847420669,4.06616961265761,"7.41598717333147e-05      .","1 x 29","6 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi00g02041",13,"Vitvi00g02041","",1.52093737913201,0.915506620892097,2.28911464349061,-1.44909887278877,0.581116324943463,5.39103156732383,"6.97440043939679e-07      .","1 x 31"," ",""
