"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00039","Vitvi01g00039","32 x 11","Riesl_warm_r1","Vitvi01g00039","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00059","Vitvi01g00059","40 x 22","Sangio_freeze_r3","Vitvi01g00059","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"Vitvi01g00136","Vitvi01g00136","39 x 12","Tocai_freeze_r1","Vitvi01g00136","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00540","Vitvi01g00540","22 x 40","Chard_acclim_r2","Vitvi01g00540","Binding to a calcium ion (Ca2+)."
"Vitvi01g00924","Vitvi01g00924","1 x 34","Sangio_accfreeze_r1","Vitvi01g00924","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00930","Vitvi01g00930","23 x 7","CabFra_freeze_r3","Vitvi01g00930","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"Vitvi02g00187","Vitvi02g00187","23 x 4","Tocai_warm_r1","Vitvi02g00187","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00258","Vitvi02g00258","3 x 7","Sangio_freeze_r1","Vitvi02g00258","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi02g00260","Vitvi02g00260","40 x 30","Riesl_warm_r2","Vitvi02g00260","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi02g00295","Vitvi02g00295","6 x 12","CabFra_accfreeze_r3","Vitvi02g00295","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00298","Vitvi02g00298","1 x 3","Riesl_freeze_r2","Vitvi02g00298","The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of identical component monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer."
"Vitvi02g00310","Vitvi02g00310","19 x 26","Tocai_warm_r3","Vitvi02g00310","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00535","Vitvi02g00535","5 x 32","CabFra_accfreeze_r2","Vitvi02g00535","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00747","Vitvi02g00747","15 x 21","Tocai_freeze_r2","Vitvi02g00747","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00036","Vitvi03g00036","37 x 35","Tocai_warm_r3","Vitvi03g00036","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi03g00083","Vitvi03g00083","20 x 12","CabFra_freeze_r3","Vitvi03g00083","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00130","Vitvi03g00130","35 x 31","Chard_warm_r1","Vitvi03g00130","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi03g00155","Vitvi03g00155","38 x 39","Tocai_warm_r2","Vitvi03g00155","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00191","Vitvi03g00191","8 x 2","CabFra_freeze_r1","Vitvi03g00191","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00192","Vitvi03g00192","34 x 6","Sangio_warm_r1","Vitvi03g00192","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00246","Vitvi03g00246","36 x 6","Riesl_freeze_r1","Vitvi03g00246","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00272","Vitvi03g00272","35 x 6","Riesl_freeze_r3","Vitvi03g00272","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00311","Vitvi03g00311","38 x 25","CabFra_warm_r1","Vitvi03g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00690","Vitvi03g00690","27 x 21","Chard_acclim_r2","Vitvi03g00690","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00844","Vitvi03g00844","26 x 31","Chard_warm_r1","Vitvi03g00844","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00845","Vitvi03g00845","15 x 7","Riesl_freeze_r2","Vitvi03g00845","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi03g00895","Vitvi03g00895","9 x 13","Sangio_freeze_r2","Vitvi03g00895","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g01759","Vitvi03g01759","40 x 39","Chard_acclim_r1","Vitvi03g01759","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01760","Vitvi03g01760","40 x 34","Tocai_warm_r2","Vitvi03g01760","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00147","Vitvi04g00147","29 x 24","Tocai_warm_r3","Vitvi04g00147","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00182","Vitvi04g00182","14 x 18","Sangio_freeze_r3","Vitvi04g00182","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00242","Vitvi04g00242","40 x 26","Tocai_warm_r3","Vitvi04g00242","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00307","Vitvi04g00307","39 x 40","Chard_acclim_r1","Vitvi04g00307","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00378","Vitvi04g00378","29 x 32","Tocai_freeze_r3","Vitvi04g00378","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00440","Vitvi04g00440","4 x 21","CabFra_freeze_r2","Vitvi04g00440","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00503","Vitvi04g00503","31 x 15","Tocai_warm_r3","Vitvi04g00503","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00515","Vitvi04g00515","14 x 17","CabFra_freeze_r2","Vitvi04g00515","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g01403","Vitvi07g01403","14 x 25","Sangio_accfreeze_r1","Vitvi07g01403","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g01524","Vitvi07g01524","27 x 15","CabFra_warm_r2","Vitvi07g01524","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g01696","Vitvi10g01696","15 x 40","Sangio_acclim_r1","Vitvi10g01696","Binding to a calcium ion (Ca2+)."
"Vitvi13g00241","Vitvi13g00241","40 x 8","Chard_warm_r1","Vitvi13g00241","Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide."
"Vitvi13g02413","Vitvi13g02413","15 x 21","Chard_accfreeze_r3","Vitvi13g02413","Binding to a calcium ion (Ca2+)."
"Vitvi04g00712","Vitvi04g00712","7 x 21","Sangio_freeze_r3","Vitvi04g00712","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00736","Vitvi04g00736","6 x 38","Tocai_acclim_r1","Vitvi04g00736","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00973","Vitvi04g00973","36 x 7","Riesl_warm_r2","Vitvi04g00973","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01014","Vitvi04g01014","16 x 4","Sangio_freeze_r3","Vitvi04g01014","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g01754","Vitvi04g01754","21 x 40","Riesl_acclim_r1","Vitvi04g01754","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi05g00102","Vitvi05g00102","1 x 16","CabFra_freeze_r1","Vitvi05g00102","Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."
"Vitvi05g00117","Vitvi05g00117","34 x 29","CabFra_warm_r2","Vitvi05g00117","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00311","Vitvi05g00311","9 x 7","Sangio_freeze_r2","Vitvi05g00311","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi05g00486","Vitvi05g00486","13 x 6","CabFra_freeze_r1","Vitvi05g00486","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g00625","Vitvi05g00625","3 x 40","Sangio_acclim_r3","Vitvi05g00625","The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi05g00633","Vitvi05g00633","17 x 1","Sangio_freeze_r3","Vitvi05g00633","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
