"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi07g01247","Vitvi07g01247","36 x 31","CabFra_warm_r2","Vitvi07g01247","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi05g00839","Vitvi05g00839","1 x 1","Tocai_accfreeze_r2","Vitvi05g00839","Binding to a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands."
"Vitvi05g00975","Vitvi05g00975","26 x 17","Sangio_accfreeze_r1","Vitvi05g00975","Binding to a metal ion."
"Vitvi05g01408","Vitvi05g01408","31 x 20","CabFra_warm_r3","Vitvi05g01408","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi05g01660","Vitvi05g01660","4 x 18","Chard_freeze_r3","Vitvi05g01660","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi08g01554","Vitvi08g01554","14 x 31","CabFra_warm_r2","Vitvi08g01554","The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells."
"Vitvi12g00198","Vitvi12g00198","39 x 18","CabFra_warm_r1","Vitvi12g00198","Binding to a metal ion."
"Vitvi12g01806","Vitvi12g01806","32 x 22","Tocai_warm_r2","Vitvi12g01806","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi14g01537","Vitvi14g01537","38 x 5","Riesl_warm_r1","Vitvi14g01537","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g02625","Vitvi18g02625","1 x 2","Riesl_freeze_r3","Vitvi18g02625","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
