"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01525",1,"Vitvi14g01525","Vitvi14g01525",1.0749237839154,0.901613453542601,2.71398957389595,-1.0749237839154,0.228493325645663,1.77196321588172,"0.040872741795368      .","8 x 11","14 ",""
"Vitvi19g02040",2,"Vitvi19g02040","Vitvi19g02040",0.867255023122841,0.665586745417552,2.58341286558902,-0.867255023122841,0.440398602579464,3.70341702930474,"0.000240952304370712      .","11 x 6","19 ",""
"Vitvi03g00379",3,"Vitvi03g00379","Vitvi03g00379",1.57647250232312,0.806026233720838,2.55765989309951,-1.26001061058512,0.51438949051565,4.52862836784698,"1.53895082026789e-05      .","12 x 6","3 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi11g01506",4,"Vitvi11g01506","Vitvi11g01506",1.05684416296622,0.733560268458178,2.25742471826597,-1.04418984995121,0.598454167893615,5.63963073071233,"2.77716091012792e-07      .","17 x 12","11 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi08g01826",5,"Vitvi08g01826","Vitvi08g01826",2.94376080422019,0.72130365377481,2.17416465863159,-2.03017850101417,0.499560977724393,4.35379810553547,"2.81226657476985e-05      .","10 x 9","8 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00096",6,"Vitvi02g00096","Vitvi02g00096",5.26934708379009,0.690231709343487,2.12584006475802,-1.27965186429507,0.528394952928491,4.6988228171544,"8.48177699197539e-06      .","13 x 6","2 ",""
"Vitvi08g02393",7,"Vitvi08g02393","Vitvi08g02393",0.829645629786431,0.553965568922135,2.10913657448594,-0.816991316771422,0.474763142149145,4.07263686888793,"7.25841247080083e-05      .","12 x 9","8 ","Any process that modulates the frequency, rate or extent of DNA endoreduplication."
"Vitvi12g00298",8,"Vitvi12g00298","Vitvi12g00298",1.03377705008502,0.661886628088978,2.02660794678252,-1.0291199240561,0.317714751915183,2.52977043858089,"0.00710129528255121      .","10 x 11","12 ",""
"Vitvi18g01510",9,"Vitvi18g01510","Vitvi18g01510",1.04602862636208,0.792332703671231,2.01435637050547,-1.04602862636208,0.327043167873118,2.61280128035788,"0.00573143824904987      .","14 x 14","18 ","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"Vitvi17g00747",10,"Vitvi17g00747","Vitvi17g00747",0.648793919300709,0.51729844748351,1.95562884335497,-0.648793919300709,0.398811719902278,3.28337476721298,"0.000877895120209526      .","20 x 6","17 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g01724",11,"Vitvi13g01724","Vitvi13g01724",1.44972283531751,0.589451120633655,1.85525718848595,-1.15003438568634,0.425272321999175,3.54751764484287,"0.000393080193182183      .","17 x 11","13 ","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor."
"Vitvi09g00281",12,"Vitvi09g00281","Vitvi09g00281",4.09006963703426,0.684772386063222,1.82738575524634,-1.3956608930853,0.156252453583311,1.19435017731644,"0.118643766667541      .","8 x 12","9 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01904",13,"Vitvi04g01904","Vitvi04g01904",1.31516552481282,0.740617930971859,1.82601030861536,-1.31516552481282,0.517162410688497,4.56192147612187,"1.37056419385884e-05      .","17 x 12","4 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi14g00423",14,"Vitvi14g00423","Vitvi14g00423",1.62521322451483,0.492212704660275,1.82231334245107,-0.806310944575266,0.752483233964635,8.62591171347873,"3.16924264609497e-12      .","9 x 8","14 ",""
"Vitvi13g02024",15,"Vitvi13g02024","Vitvi13g02024",2.16681373464628,0.610112545790868,1.81986233019144,-1.50537292295877,0.69936075015009,7.38708424082622,"3.60098950658028e-10      .","12 x 5","13 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi08g01156",16,"Vitvi08g01156","Vitvi08g01156",2.45594545185077,0.511672029366197,1.8058216453849,-0.83430273304974,0.565427614626337,5.17567365312204,"1.53465869223712e-06      .","15 x 8","8 ","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi19g00143",17,"Vitvi19g00143","Vitvi19g00143",4.41474147081567,0.511077175511483,1.790264415534,-0.621374418281811,0.55957848907526,5.09753902972295,"2.03826626465897e-06      .","11 x 9","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
