"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi13g02110",1,"Vitvi13g02110","Vitvi13g02110",1.39552905673526,1.53334786029053,4.10525665007042,-1.39552905673526,0.420683332949365,3.50095137971668,"0.000453987789482246      .","15 x 40","13 ","Binding to a protein."
"Vitvi00g01651",2,"Vitvi00g01651","",3.44408912428797,2.14889509873917,3.43204187888484,-3.43943199825905,0.549236579581759,4.96207903690456,"3.32302474426172e-06      .","13 x 40"," ",""
"Vitvi10g02090",3,"Vitvi10g02090","",3.44301909702998,2.14781037661761,3.42298935530636,-3.43836197100106,0.549174472958473,4.96127561454371,"3.33262959029135e-06      .","13 x 40"," ",""
"Vitvi10g00667",4,"Vitvi10g00667","Vitvi10g00667",1.47332523127446,1.40972490660894,3.08317806280176,-1.47332523127446,0.207763154307644,1.60356862908125,"0.0571682909950972      .","17 x 40","10 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi08g02122",5,"Vitvi08g02122","",0.843383274584409,1.10364091287048,2.79686032893477,-0.843383274584409,0.33613527182621,2.69455158932426,"0.00462227140891147      .","14 x 40"," ",""
"Vitvi05g00566",6,"Vitvi05g00566","",1.09663748322055,0.831145852153903,2.70819393527422,-1.09663748322055,0.386200617370293,3.16099729305678,"0.00125907940688186      .","15 x 40"," ",""
"Vitvi10g02094",7,"Vitvi10g02094","",1.60309300980501,1.14771735578587,2.69071158891168,-1.52412873314712,0.332769784550256,2.66419428119262,"0.00500892527696739      .","12 x 40"," ",""
"Vitvi00g01655",8,"Vitvi00g01655","",1.60354298913372,1.14753479155157,2.69045149148239,-1.52457871247583,0.332596166870785,2.66263133942793,"0.00502961053405837      .","12 x 40"," ",""
"Vitvi07g02092",9,"Vitvi07g02092","Vitvi07g02092",0.971814039600957,1.1121104952824,2.59094265483073,-0.971814039600957,0.274831740207327,2.15803502092908,"0.0175758415596885      .","12 x 40","7 ","The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."
"Vitvi04g00012",10,"Vitvi04g00012","Vitvi04g00012",1.7718197341955,0.950477173523649,2.45790713416707,-1.7326588780916,0.43648893018545,3.66275857786074,"0.000274040319260038      .","17 x 40","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g01440",11,"Vitvi02g01440","Vitvi02g01440",1.36202739786022,0.704995589716081,2.45362058212515,-1.12567581362252,0.201757807673201,1.55522046380086,"0.062714466888631      .","22 x 34","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi11g01488",12,"Vitvi11g01488","Vitvi11g01488",1.38787269778669,0.910293722778936,2.27807341303853,-1.38787269778669,0.170429586040104,1.30581948249481,"0.0984298298170033      .","12 x 40","11 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01969",13,"Vitvi04g01969","",1.38957317662717,0.963631639360008,2.24199479155682,-1.38957317662717,0.131589399239103,1.00219293934863,"0.160243038020052      .","13 x 40"," ",""
"Vitvi12g02718",14,"Vitvi12g02718","Vitvi12g02718",0.682774592808412,0.696493609334489,2.05335971815833,-0.682774592808412,0.284476865353761,2.2403166073165,"0.0144924658074703      .","17 x 40","12 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g01618",15,"Vitvi15g01618","Vitvi15g01618",3.15137229658977,0.692852331636228,1.97900058756303,-0.978734941535659,0.47649966893808,4.09189870095478,"6.80803052655055e-05      .","13 x 40","15 ","Catalysis of the transfer of a nucleotidyl group to a reactant."
"Vitvi03g01162",16,"Vitvi03g01162","Vitvi03g01162",3.05216936823691,0.953397955516339,1.96837608804672,-2.22026447475012,0.553028481476025,5.01135640790472,"2.78308167755981e-06      .","13 x 40","3 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi19g01784",17,"Vitvi19g01784","Vitvi19g01784",2.81315474857707,1.00872235291156,1.94969857376312,-2.81315474857707,0.28309322914398,2.22846830943757,"0.0149047568667648      .","18 x 40","19 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01244",18,"Vitvi04g01244","Vitvi04g01244",2.71351975608179,1.11482606873605,1.94603358405534,-2.44353523895759,0.432334254657467,3.61983305347005,"0.000313669272629324      .","19 x 40","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00726",19,"Vitvi04g00726","",2.35478321634459,0.702486004531963,1.94305344855742,-1.10937575114866,0.380161783301494,3.10314243633721,"0.00148909111387252      .","14 x 40"," ",""
"Vitvi07g01734",20,"Vitvi07g01734","Vitvi07g01734",1.84354820402699,0.924599729808418,1.93190607565668,-1.75321246396967,0.41592257246372,3.4529870882064,"0.000526050464326078      .","12 x 40","7 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi14g01651",21,"Vitvi14g01651","",1.95735410476289,0.729068888897252,1.91709148746666,-1.83629222782027,0.491094531480976,4.25629164341244,"3.91936587706976e-05      .","18 x 40"," ",""
"Vitvi10g01696",22,"Vitvi10g01696","Vitvi10g01696",1.42132754596302,1.08060280734535,1.90688669006095,-1.39979648034053,0.47981866333904,4.12888637156377,"6.01773776582881e-05      .","15 x 40","10 ","Binding to a calcium ion (Ca2+)."
"Vitvi16g01549",23,"Vitvi16g01549","Vitvi16g01549",1.96033227828252,0.938336578600227,1.89300181786426,-1.95808433047289,0.199595872076674,1.53786014466094,"0.0648079817881844      .","22 x 34","16 ","Binding to a protein."
"Vitvi14g02497",24,"Vitvi14g02497","Vitvi14g02497",1.1046436647711,0.687980051452974,1.88164804802138,-1.09198935175609,0.421473940742542,3.50895049718148,"0.000442922872768925      .","16 x 40","14 ",""
"Vitvi18g01643",25,"Vitvi18g01643","Vitvi18g01643",0.792115516233231,0.87085885757141,1.88067450144597,-0.792115516233231,0.457785584340063,3.88747120261484,"0.000133397002112901      .","12 x 40","18 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
