"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi18g02709",1,"Vitvi18g02709","Vitvi18g02709",0.762241280964835,1.34162634364227,4.52171217179656,-0.762241280964835,0.820206751949744,10.8246463946659,"8.88178419700125e-16      .","20 x 1","18 ","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi02g00393",2,"Vitvi02g00393","Vitvi02g00393",1.83030757626934,1.44669556430186,3.95583871858262,-1.75134329961146,0.897498543480457,15.3643940284216,"0      .","21 x 1","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi16g01336",3,"Vitvi16g01336","Vitvi16g01336",2.64117669286829,1.92229662179795,3.92943453887382,-2.64117669286829,0.80958405321317,10.4125796002855,"4.21884749357559e-15      .","21 x 1","16 ","Binding to a metal ion."
"Vitvi18g03250",4,"Vitvi18g03250","Vitvi18g03250",1.54603062803101,1.41932978192257,3.87329245995995,-1.54603062803101,0.894843793986868,15.1349328065868,"0      .","21 x 1","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00253",5,"Vitvi16g00253","",1.82499534139289,1.29088852301094,3.7056588128036,-1.82499534139289,0.741455122392785,8.34253784152662,"9.29856192044554e-12      .","21 x 1"," ",""
"Vitvi15g00871",6,"Vitvi15g00871","Vitvi15g00871",1.209146679761,1.40192612937717,3.54841146441349,-1.209146679761,0.672048196439666,6.85185935908887,"2.8074467195438e-09      .","21 x 1","15 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi12g02245",7,"Vitvi12g02245","Vitvi12g02245",1.22528702247421,1.09701412894195,3.51982454991526,-1.22062989644529,0.746725166200182,8.47597969790601,"5.59774449016004e-12      .","20 x 1","12 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi02g00270",8,"Vitvi02g00270","Vitvi02g00270",1.40157290817848,1.61736349507151,3.48309749340456,-1.40157290817848,0.739754264373223,8.30021112746425,"1.09250386515214e-11      .","21 x 1","2 ","Binding to a metal ion."
"Vitvi15g01035",9,"Vitvi15g01035","",2.74556754962218,1.35355163796096,3.36285409443598,-2.3023984715511,0.802184428676406,10.1433591169768,"1.11022302462516e-14      .","21 x 1"," ",""
"Vitvi06g01559",10,"Vitvi06g01559","Vitvi06g01559",1.88012247307609,0.930007469087073,3.35294158153147,-1.42422644591574,0.54914808352071,4.96093427170085,"3.33671855745621e-06      .","21 x 1","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01651",11,"Vitvi03g01651","Vitvi03g01651",2.49280586611312,1.47917210935109,3.33606213483991,-2.41384158945524,0.815627314730708,10.6430853530568,"1.77635683940025e-15      .","21 x 1","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi08g01702",12,"Vitvi08g01702","Vitvi08g01702",3.36780592102442,1.3952839760968,3.32471528603626,-2.54965536024827,0.718297119862774,7.79465285697329,"7.54147855275278e-11      .","21 x 1","8 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g02676",13,"Vitvi07g02676","Vitvi07g02676",1.04792340406245,1.08034106528078,3.25407665100133,-1.04792340406245,0.857012703535842,12.5564977344508,"0      .","20 x 1","7 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi12g02241",14,"Vitvi12g02241","Vitvi12g02241",1.68803919506471,1.25268168106255,3.25236698570529,-1.68803919506471,0.639076071664214,6.27310550565975,"2.55765488788029e-08      .","21 x 1","12 ","Catalysis of the transfer of a methyl group to the oxygen atom of an acceptor molecule."
"Vitvi00g01989",15,"Vitvi00g01989","",1.25480169931437,0.88925926353098,3.21219668792314,-1.23987108249937,0.636588974510482,6.23200338041709,"2.98959461630943e-08      .","19 x 1"," ",""
"Vitvi07g03053",16,"Vitvi07g03053","",1.25463897873119,0.889233758540669,3.21209109953611,-1.23970836191619,0.636616924215707,6.23246345428749,"2.98437967671816e-08      .","19 x 1"," ",""
"Vitvi17g00450",17,"Vitvi17g00450","Vitvi17g00450",2.16937864495342,1.23342240302998,3.201841752548,-2.01543187554598,0.92861594820667,18.8951390159203,"0      .","21 x 1","17 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi07g02243",18,"Vitvi07g02243","Vitvi07g02243",1.50289959457085,1.31273503071295,3.18921101237834,-1.49549280932956,0.835304757298604,11.4706429147939,"1.11022302462516e-16      .","21 x 1","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01557",19,"Vitvi09g01557","",2.09487527465856,1.42732160475601,3.12657444714184,-2.07334420903607,0.557260363502038,5.06688170165364,"2.27751640324847e-06      .","21 x 1"," ",""
"Vitvi02g01403",20,"Vitvi02g01403","Vitvi02g01403",1.75423549742965,1.52878865322965,3.11002510999543,-1.75423549742965,0.661980043662061,6.66804085460024,"5.6745041998596e-09      .","21 x 1","2 ",""
"Vitvi19g01959",21,"Vitvi19g01959","",1.2569567415242,1.01278507853727,3.09957383321948,-1.2569567415242,0.794392841289947,9.87403971961499,"2.98649993624167e-14      .","20 x 1"," ",""
"Vitvi07g01847",22,"Vitvi07g01847","Vitvi07g01847",3.03535377335729,1.30788888838792,3.07946040369981,-2.30812067320348,0.841063366581372,11.7386937370416,"0      .","21 x 1","7 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi09g00476",23,"Vitvi09g00476","Vitvi09g00476",1.84932747629973,1.00514699257099,3.07772496226981,-1.51004368932733,0.717173196612028,7.76951921126686,"8.30386870376287e-11      .","21 x 1","9 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g02251",24,"Vitvi01g02251","",1.8367718751929,1.09817852326238,3.07168667375018,-1.5097859029094,0.791305935573486,9.77106539953467,"4.36317648677687e-14      .","21 x 1"," ",""
"Vitvi17g00347",25,"Vitvi17g00347","Vitvi17g00347",0.835088724990385,1.06258805754296,3.03875860527814,-0.835088724990385,0.711379607975257,7.64191419581921,"1.35437439041652e-10      .","21 x 1","17 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g03244",26,"Vitvi18g03244","Vitvi18g03244",1.39506502967529,1.08953479036676,3.00550752909705,-1.39506502967529,0.79792819588191,9.9945261466984,"1.92068583260152e-14      .","20 x 1","18 ","Binding to a protein."
"Vitvi02g00391",27,"Vitvi02g00391","Vitvi02g00391",2.42222092121075,1.53259253140489,2.94899947629067,-2.40324070002844,0.709136156319873,7.59335766451847,"1.63164814992456e-10      .","21 x 1","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi14g02006",28,"Vitvi14g02006","Vitvi14g02006",1.64942453824851,0.700715803708898,2.9192175771189,-1.49879465838555,0.371519150199622,3.02114569758247,"0.00188310179759898      .","23 x 3","14 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi16g01039",29,"Vitvi16g01039","Vitvi16g01039",1.04379179782156,0.942637869996337,2.89185356062468,-1.04379179782156,0.861169707311674,12.7906043494845,"0      .","21 x 1","16 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g02120",30,"Vitvi04g02120","",1.01272037370013,0.943323987053365,2.89009558396137,-1.00006606068512,0.571956545175784,5.26424706335046,"1.11077140507732e-06      .","22 x 1"," ",""
"Vitvi10g02015",31,"Vitvi10g02015","Vitvi10g02015",0.68102548750543,0.902640984637297,2.87686256661491,-0.68102548750543,0.597524191936274,5.62599457159315,"2.92179513028401e-07      .","19 x 1","10 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi08g01794",32,"Vitvi08g01794","Vitvi08g01794",0.768000155482976,0.704712428717199,2.85979723579478,-0.718403420198286,0.69879752308003,7.37545310083472,"3.76541464675029e-10      .","20 x 1","8 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g01856",33,"Vitvi09g01856","",1.64478924570017,0.979165970152877,2.83030408533237,-1.61296542128053,0.654613746163089,6.53765065754251,"9.33895827337494e-09      .","20 x 1"," ",""
"Vitvi17g01467",34,"Vitvi17g01467","Vitvi17g01467",0.842068756359351,0.872806772512366,2.8142906227259,-0.842068756359351,0.803090799604503,10.1756058284647,"9.88098491916389e-15      .","20 x 1","17 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi16g02095",35,"Vitvi16g02095","",1.7581000190011,1.0963995887351,2.80735984247155,-1.68241437609979,0.822531636985793,10.9192303882799,"6.66133814775094e-16      .","20 x 1"," ",""
"Vitvi00g00592",36,"Vitvi00g00592","",1.75847092196784,1.09630447092386,2.80719318351214,-1.68278527906653,0.822548637728053,10.9199282019098,"6.66133814775094e-16      .","20 x 1"," ",""
"Vitvi09g00667",37,"Vitvi09g00667","Vitvi09g00667",1.17419410154636,0.908231107817233,2.74124885419541,-1.15266303592387,0.749466364805397,8.54680422930194,"4.27791135848565e-12      .","19 x 1","9 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g02118",38,"Vitvi04g02118","",1.28944985788579,0.964787745600069,2.72462022590591,-1.27679554487078,0.580212204272099,5.37838240399613,"7.30686285255189e-07      .","22 x 1"," ",""
"Vitvi12g00220",39,"Vitvi12g00220","Vitvi12g00220",1.59811363773471,0.973746124487593,2.68557245132214,-1.5854593247197,0.814353351821863,10.5936549714337,"2.22044604925031e-15      .","21 x 1","12 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
