"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00121","Vitvi01g00121","8 x 6","Tocai_freeze_r2","Vitvi01g00121","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00203","Vitvi01g00203","15 x 1","Riesl_warm_r1","Vitvi01g00203","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00253","Vitvi01g00253","35 x 33","Sangio_warm_r1","Vitvi01g00253","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00255","Vitvi01g00255","3 x 33","Tocai_accfreeze_r3","Vitvi01g00255","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00266","Vitvi01g00266","4 x 26","Riesl_freeze_r1","Vitvi01g00266","The directed movement of malate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi01g00386","Vitvi01g00386","12 x 6","CabFra_freeze_r3","Vitvi01g00386","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00411","Vitvi01g00411","20 x 39","Tocai_accfreeze_r3","Vitvi01g00411","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00423","Vitvi01g00423","34 x 37","Riesl_warm_r2","Vitvi01g00423","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00512","Vitvi01g00512","37 x 19","Tocai_freeze_r1","Vitvi01g00512","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00513","Vitvi01g00513","33 x 9","Riesl_freeze_r3","Vitvi01g00513","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00563","Vitvi01g00563","14 x 19","CabFra_freeze_r1","Vitvi01g00563","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00791","Vitvi01g00791","17 x 22","Sangio_freeze_r3","Vitvi01g00791","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00792","Vitvi01g00792","6 x 31","Sangio_freeze_r2","Vitvi01g00792","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00066","Vitvi02g00066","10 x 1","Chard_freeze_r2","Vitvi02g00066","The directed movement of malate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi02g00671","Vitvi02g00671","35 x 8","Chard_freeze_r2","Vitvi02g00671","The directed movement of malate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"Vitvi02g01179","Vitvi02g01179","1 x 12","Sangio_freeze_r1","Vitvi02g01179","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00134","Vitvi03g00134","40 x 33","Chard_warm_r3","Vitvi03g00134","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00214","Vitvi03g00214","40 x 1","Sangio_warm_r2","Vitvi03g00214","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01151","Vitvi04g01151","13 x 3","Chard_freeze_r3","Vitvi04g01151","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01219","Vitvi10g01219","4 x 5","Sangio_freeze_r1","Vitvi10g01219","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
