"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi04g01368",1,"Vitvi04g01368","Vitvi04g01368",4.00802085460891,2.07996992007007,4.32803183524543,-3.90491619242393,0.627343943636912,6.08204136690851,"5.27597380228784e-08      .","1 x 38","4 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00087",2,"Vitvi18g00087","Vitvi18g00087",1.67652619244902,1.66882532595238,4.10786323031331,-1.67652619244902,0.707030784053008,7.54821184215839,"1.94021354538165e-10      .","1 x 40","18 ",""
"Vitvi16g00733",3,"Vitvi16g00733","Vitvi16g00733",1.73170520350797,1.88133825268981,3.92166438689437,-1.73170520350797,0.839048650971751,11.6434223589991,"0      .","1 x 40","16 ","Binds to and stops, prevents or reduces the activity of an enzyme."
"Vitvi12g02353",4,"Vitvi12g02353","Vitvi12g02353",5.42795194123181,2.50945750273979,3.43162943311711,-5.18341111224704,0.812040663726147,10.5050780697588,"2.99760216648792e-15      .","1 x 40","12 ",""
"Vitvi19g00255",5,"Vitvi19g00255","Vitvi19g00255",3.64453912370692,1.29442837571499,3.41576548703831,-3.3845819428916,0.534436272244314,4.77385646937113,"6.50570213700519e-06      .","1 x 37","19 ",""
"Vitvi10g00647",6,"Vitvi10g00647","Vitvi10g00647",2.83876825932256,1.1157289608101,3.29205294231553,-2.39559918125147,0.718774718379314,7.80537121274643,"7.23807680458322e-11      .","1 x 38","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g01469",7,"Vitvi14g01469","Vitvi14g01469",2.48699771267313,1.47054523136078,3.12889246411579,-2.41131206977182,0.488474690984484,4.2264448288962,"4.33573401250609e-05      .","1 x 40","14 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi18g00122",8,"Vitvi18g00122","Vitvi18g00122",0.658505381592314,0.858657249850071,3.08661663828498,-0.658505381592314,0.664678001138495,6.7166480135822,"4.711652845657e-09      .","1 x 38","18 ","The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"Vitvi05g00071",9,"Vitvi05g00071","Vitvi05g00071",4.73530027416049,1.52698954267322,3.0112770011935,-3.56681739738797,0.651848946526288,6.4895618161051,"1.12199496360432e-08      .","1 x 39","5 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi05g01758",10,"Vitvi05g01758","",3.5850437626742,1.2387994404704,2.60237325889062,-3.16696618167634,0.603647306469216,5.71643616884295,"2.08538519896884e-07      .","1 x 38"," ",""
"Vitvi17g00237",11,"Vitvi17g00237","Vitvi17g00237",2.93059787851486,1.35022314189721,2.57542183443168,-2.93059787851486,0.539538331463229,4.83802087268837,"5.179313489867e-06      .","2 x 40","17 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi17g00914",12,"Vitvi17g00914","",1.53675895105421,1.43396847853449,2.49439676783639,-1.53675895105421,0.89021954769473,14.7542086658083,"0      .","1 x 40"," ",""
"Vitvi16g01161",13,"Vitvi16g01161","Vitvi16g01161",1.2402381536943,1.25816716268896,2.4285652564856,-1.2402381536943,0.702983204954539,7.4625403260481,"2.69546829301248e-10      .","2 x 40","16 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi16g00985",14,"Vitvi16g00985","Vitvi16g00985",2.29137198533496,1.92613284866769,2.40024100074802,-2.29137198533496,0.972431965113148,31.4842051216137,"0      .","1 x 40","16 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."
"Vitvi05g01453",15,"Vitvi05g01453","Vitvi05g01453",1.53573222048412,1.36507366064439,2.39572119187184,-1.53573222048412,0.920098723476505,17.7350826884986,"0      .","1 x 40","5 ","Binding to a protein."
"Vitvi04g01564",16,"Vitvi04g01564","",5.0501702106451,1.62369916122061,2.3933031906685,-4.53005049568033,0.424267580810494,3.53729384573956,"0.000405746022920206      .","2 x 39"," ",""
"Vitvi09g00046",17,"Vitvi09g00046","Vitvi09g00046",0.887662168584159,0.726160869210191,2.39075654876447,-0.887662168584159,0.587452411487386,5.48053221447805,"5.01248986539693e-07      .","4 x 38","9 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"Vitvi17g00116",18,"Vitvi17g00116","Vitvi17g00116",4.11855501026256,1.33323896658102,2.38581923159666,-2.66245049084123,0.766849627900059,9.02048290639342,"7.14761583253676e-13      .","1 x 39","17 ","Modulates the activity of a protein kinase, an enzyme which phosphorylates a protein."
"Vitvi11g01513",19,"Vitvi11g01513","Vitvi11g01513",0.738099476443164,0.880526612274914,2.37488666190123,-0.738099476443164,0.662611091046545,6.67936830256788,"5.4339178712226e-09      .","1 x 38","11 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g00164",20,"Vitvi07g00164","Vitvi07g00164",1.97528325308379,1.00116013709474,2.37448651420303,-1.79477859355638,0.798117695360456,10.0010634645846,"1.86517468137026e-14      .","1 x 40","7 ",""
"Vitvi19g01966",21,"Vitvi19g01966","",2.54509337387495,1.42082787599393,2.28424753327589,-2.54509337387495,0.921185826436824,17.8730152149791,"0      .","1 x 40"," ",""
"Vitvi11g00477",22,"Vitvi11g00477","Vitvi11g00477",2.93433692514542,1.43973035484937,2.26560638291338,-2.90483176972459,0.749876227832648,8.55747942018263,"4.10815825802047e-12      .","1 x 40","11 ","Binding to a protein."
"Vitvi12g02724",23,"Vitvi12g02724","Vitvi12g02724",2.58030406649622,1.74717075438258,2.25541372167006,-2.55877300087373,0.97258703927268,31.5769257625642,"0      .","1 x 40","12 ",""
"Vitvi02g00220",24,"Vitvi02g00220","",2.31791258274303,1.14090173902172,2.24622777724038,-1.99092661045953,0.853146968807578,12.3470978672838,"0      .","1 x 40"," ",""
