"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00161","Vitvi01g00161","29 x 10","Chard_warm_r1","Vitvi01g00161","Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."
"Vitvi01g00630","Vitvi01g00630","25 x 11","Sangio_freeze_r3","Vitvi01g00630","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g00772","Vitvi01g00772","21 x 23","CabFra_warm_r2","Vitvi01g00772","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi01g00777","Vitvi01g00777","15 x 21","CabFra_freeze_r1","Vitvi01g00777","Binding to a nucleic acid."
"Vitvi01g00788","Vitvi01g00788","15 x 16","Tocai_accfreeze_r3","Vitvi01g00788","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi01g01413","Vitvi01g01413","12 x 28","Sangio_accfreeze_r1","Vitvi01g01413","A transcription regulator activity that modulates the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators."
"Vitvi01g01565","Vitvi01g01565","4 x 33","Tocai_accfreeze_r3","Vitvi01g01565","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01580","Vitvi01g01580","13 x 14","Tocai_freeze_r2","Vitvi01g01580","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g01815","Vitvi01g01815","33 x 20","CabFra_warm_r3","Vitvi01g01815","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g02080","Vitvi01g02080","31 x 13","Tocai_freeze_r3","Vitvi01g02080","Binding to a zinc ion (Zn)."
"Vitvi02g00007","Vitvi02g00007","14 x 34","Sangio_accfreeze_r1","Vitvi02g00007","Binding to a nucleic acid."
"Vitvi02g00100","Vitvi02g00100","26 x 15","Sangio_freeze_r3","Vitvi02g00100","The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."
"Vitvi02g00953","Vitvi02g00953","16 x 21","Tocai_accfreeze_r3","Vitvi02g00953","Binding to a nucleic acid."
"Vitvi03g00001","Vitvi03g00001","14 x 13","CabFra_freeze_r2","Vitvi03g00001","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi03g00156","Vitvi03g00156","6 x 33","CabFra_accfreeze_r3","Vitvi03g00156","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00226","Vitvi03g00226","25 x 40","Tocai_acclim_r3","Vitvi03g00226","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi03g00265","Vitvi03g00265","2 x 21","CabFra_accfreeze_r3","Vitvi03g00265","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00474","Vitvi04g00474","17 x 33","Sangio_acclim_r2","Vitvi04g00474","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi04g00613","Vitvi04g00613","10 x 29","Chard_acclim_r1","Vitvi04g00613","Binding to a nucleic acid."
"Vitvi07g01252","Vitvi07g01252","31 x 19","CabFra_warm_r3","Vitvi07g01252","Binding to an RNA molecule or a portion thereof."
"Vitvi10g00387","Vitvi10g00387","13 x 13","Tocai_freeze_r2","Vitvi10g00387","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
"Vitvi13g00236","Vitvi13g00236","17 x 22","Tocai_freeze_r2","Vitvi13g00236","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00901","Vitvi04g00901","24 x 23","Sangio_accfreeze_r1","Vitvi04g00901","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
