"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00698","Vitvi01g00698","40 x 19","Tocai_warm_r2","Vitvi01g00698","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi03g00197","Vitvi03g00197","21 x 21","Tocai_accfreeze_r1","Vitvi03g00197","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi03g00785","Vitvi03g00785","39 x 7","Chard_freeze_r2","Vitvi03g00785","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g01535","Vitvi04g01535","4 x 33","Tocai_accfreeze_r2","Vitvi04g01535","Binding to a metal ion."
"Vitvi04g01280","Vitvi04g01280","23 x 23","Sangio_freeze_r2","Vitvi04g01280","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi04g01557","Vitvi04g01557","29 x 15","Tocai_warm_r1","Vitvi04g01557","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi05g00100","Vitvi05g00100","33 x 31","Riesl_acclim_r3","Vitvi05g00100","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g00129","Vitvi05g00129","39 x 18","Tocai_warm_r1","Vitvi05g00129","Binding to a metal ion."
"Vitvi05g00207","Vitvi05g00207","33 x 11","Chard_freeze_r3","Vitvi05g00207","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi05g00736","Vitvi05g00736","10 x 1","Riesl_freeze_r3","Vitvi05g00736","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00946","Vitvi06g00946","1 x 5","CabFra_freeze_r2","Vitvi06g00946","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi07g00362","Vitvi07g00362","31 x 15","Riesl_freeze_r2","Vitvi07g00362","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g00637","Vitvi07g00637","27 x 15","CabFra_warm_r1","Vitvi07g00637","Binding to a metal ion."
"Vitvi08g01021","Vitvi08g01021","21 x 21","Sangio_freeze_r3","Vitvi08g01021","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi08g02101","Vitvi08g02101","14 x 25","Chard_warm_r1","Vitvi08g02101","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi10g00073","Vitvi10g00073","27 x 16","Riesl_freeze_r2","Vitvi10g00073","A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"Vitvi10g00554","Vitvi10g00554","31 x 24","Tocai_warm_r3","Vitvi10g00554","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01386","Vitvi10g01386","33 x 26","CabFra_warm_r2","Vitvi10g01386","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi12g00008","Vitvi12g00008","6 x 9","CabFra_freeze_r3","Vitvi12g00008","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi12g00505","Vitvi12g00505","21 x 4","Sangio_freeze_r3","Vitvi12g00505","Binding to a metal ion."
"Vitvi13g01028","Vitvi13g01028","9 x 25","Riesl_acclim_r2","Vitvi13g01028","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi13g01832","Vitvi13g01832","22 x 5","Sangio_freeze_r1","Vitvi13g01832","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi14g00047","Vitvi14g00047","25 x 27","Chard_acclim_r3","Vitvi14g00047","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi14g00104","Vitvi14g00104","5 x 13","Tocai_accfreeze_r3","Vitvi14g00104","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi14g00138","Vitvi14g00138","10 x 16","Sangio_accfreeze_r1","Vitvi14g00138","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi14g00605","Vitvi14g00605","20 x 3","Sangio_freeze_r3","Vitvi14g00605","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g01732","Vitvi14g01732","11 x 12","Tocai_freeze_r2","Vitvi14g01732","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi14g01886","Vitvi14g01886","36 x 31","CabFra_warm_r3","Vitvi14g01886",""
"Vitvi14g02478","Vitvi14g02478","32 x 7","Sangio_accfreeze_r1","Vitvi14g02478","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi14g01627","Vitvi14g01627","8 x 7","Sangio_freeze_r1","Vitvi14g01627","Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."
"Vitvi14g01964","Vitvi14g01964","38 x 19","CabFra_warm_r3","Vitvi14g01964","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi15g00628","Vitvi15g00628","12 x 5","CabFra_freeze_r2","Vitvi15g00628","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi17g00607","Vitvi17g00607","3 x 13","CabFra_freeze_r2","Vitvi17g00607","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi17g01036","Vitvi17g01036","12 x 36","Riesl_acclim_r1","Vitvi17g01036","Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
"Vitvi17g01162","Vitvi17g01162","22 x 5","Sangio_freeze_r3","Vitvi17g01162","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi18g00487","Vitvi18g00487","11 x 27","Tocai_accfreeze_r3","Vitvi18g00487","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi19g00138","Vitvi19g00138","7 x 21","Sangio_freeze_r3","Vitvi19g00138","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi19g00502","Vitvi19g00502","1 x 33","Sangio_freeze_r3","Vitvi19g00502","Binding to a metal ion."
"Vitvi19g01771","Vitvi19g01771","6 x 30","Riesl_acclim_r3","Vitvi19g01771","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
