"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00627","Vitvi01g00627","24 x 39","Riesl_acclim_r3","Vitvi01g00627","Binding to a U2 small nuclear RNA (U2 snRNA)."
"Vitvi05g01401","Vitvi05g01401","1 x 20","CabFra_freeze_r3","Vitvi05g01401","The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome."
"Vitvi06g01250","Vitvi06g01250","17 x 30","Sangio_accfreeze_r1","Vitvi06g01250","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g00785","Vitvi08g00785","17 x 26","Sangio_freeze_r2","Vitvi08g00785","A vacuole to which materials ingested by endocytosis are delivered."
"Vitvi09g00496","Vitvi09g00496","32 x 14","Tocai_freeze_r2","Vitvi09g00496","Binding to a protein."
"Vitvi09g01260","Vitvi09g01260","27 x 32","Tocai_acclim_r3","Vitvi09g01260","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00416","Vitvi11g00416","11 x 32","Chard_acclim_r3","Vitvi11g00416","Binding to a protein."
"Vitvi12g02126","Vitvi12g02126","16 x 20","Tocai_freeze_r2","Vitvi12g02126","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi13g01536","Vitvi13g01536","12 x 39","CabFra_freeze_r1","Vitvi13g01536","Any process involved in the conversion of a primary small nuclear RNA (snRNA) transcript into a mature snRNA molecule. The primary function of snRNAs is processing pre-messenger RNA in the nucleus. They have also been shown to aid in the regulation of transcription factors (7SK RNA) or RNA polymerase II (B2 RNA), and maintaining the telomeres."
"Vitvi14g01426","Vitvi14g01426","16 x 21","CabFra_freeze_r2","Vitvi14g01426","Any process involved in the conversion of a primary small nuclear RNA (snRNA) transcript into a mature snRNA molecule. The primary function of snRNAs is processing pre-messenger RNA in the nucleus. They have also been shown to aid in the regulation of transcription factors (7SK RNA) or RNA polymerase II (B2 RNA), and maintaining the telomeres."
"Vitvi16g00195","Vitvi16g00195","4 x 32","Sangio_acclim_r2","Vitvi16g00195","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00803","Vitvi16g00803","23 x 39","Riesl_acclim_r3","Vitvi16g00803","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00113","Vitvi17g00113","18 x 25","Riesl_freeze_r3","Vitvi17g00113","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00782","Vitvi18g00782","14 x 9","Riesl_freeze_r3","Vitvi18g00782","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
