"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00278","Vitvi01g00278","15 x 33","Chard_accfreeze_r1","Vitvi01g00278","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00422","Vitvi01g00422","16 x 22","Sangio_freeze_r2","Vitvi01g00422","The component of the endoplasmic reticulum membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00474","Vitvi01g00474","4 x 26","Riesl_freeze_r1","Vitvi01g00474","Reactions triggered in response to the presence of a fungus that act to protect the cell or organism."
"Vitvi01g01311","Vitvi01g01311","31 x 31","CabFra_warm_r3","Vitvi01g01311","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"Vitvi01g01512","Vitvi01g01512","26 x 22","Riesl_acclim_r3","Vitvi01g01512","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
"Vitvi01g01618","Vitvi01g01618","20 x 25","Tocai_acclim_r2","Vitvi01g01618","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01800","Vitvi01g01800","35 x 17","Tocai_warm_r3","Vitvi01g01800","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g01816","Vitvi01g01816","20 x 7","CabFra_freeze_r3","Vitvi01g01816","Binds to and stimulates the hydrolysis and exchange of adenyl nucleotides by other proteins."
"Vitvi02g00025","Vitvi02g00025","13 x 1","Riesl_freeze_r1","Vitvi02g00025","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g00187","Vitvi02g00187","23 x 4","Tocai_warm_r1","Vitvi02g00187","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
