"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00155","Vitvi01g00155","22 x 18","Tocai_warm_r3","Vitvi01g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00166","Vitvi01g00166","35 x 20","CabFra_warm_r1","Vitvi01g00166","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi01g00230","Vitvi01g00230","40 x 26","Tocai_warm_r3","Vitvi01g00230","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g00245","Vitvi01g00245","40 x 7","CabFra_warm_r3","Vitvi01g00245","Binding to a metal ion."
"Vitvi01g00258","Vitvi01g00258","40 x 40","CabFra_warm_r1","Vitvi01g00258","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi01g00415","Vitvi01g00415","20 x 16","Sangio_freeze_r1","Vitvi01g00415","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi01g00706","Vitvi01g00706","17 x 21","Sangio_freeze_r2","Vitvi01g00706","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00733","Vitvi01g00733","3 x 29","Chard_warm_r3","Vitvi01g00733","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00776","Vitvi01g00776","14 x 14","Tocai_accfreeze_r3","Vitvi01g00776","Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
"Vitvi01g01523","Vitvi01g01523","9 x 37","CabFra_acclim_r3","Vitvi01g01523","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions."
"Vitvi01g01568","Vitvi01g01568","11 x 1","CabFra_freeze_r3","Vitvi01g01568","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi01g01577","Vitvi01g01577","21 x 18","CabFra_accfreeze_r2","Vitvi01g01577","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g01627","Vitvi01g01627","17 x 16","Sangio_freeze_r1","Vitvi01g01627","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
