"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01929",1,"Vitvi14g01929","Vitvi14g01929",3.29421001368168,1.86592724530512,4.4062722774345,-3.19110535149669,0.830813363082216,11.270309314181,"2.22044604925031e-16      .","40 x 39","14 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g01282",2,"Vitvi09g01282","Vitvi09g01282",2.105166697328,1.83140696572457,4.30566701695698,-2.10291874951837,0.643491979426673,6.34690677124877,"1.93198259612615e-08      .","40 x 36","9 ","Functions in the storage of nutritious substrates."
"Vitvi13g00172",3,"Vitvi13g00172","Vitvi13g00172",3.4290369099911,2.11069385171343,3.7389402441763,-3.41638259697609,0.88285443030898,14.1923797075954,"0      .","40 x 40","13 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi19g02024",4,"Vitvi19g02024","",1.06969622859764,1.21163747159008,3.64566088839986,-1.06969622859764,0.548042029752634,4.94664672384824,"3.51235796469673e-06      .","40 x 34"," ",""
"Vitvi17g01251",5,"Vitvi17g01251","Vitvi17g01251",2.79749367758614,1.83597107519462,3.61334003669884,-2.79749367758614,0.835833748621343,11.4947284278658,"1.11022302462516e-16      .","40 x 39","17 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g01337",6,"Vitvi13g01337","Vitvi13g01337",2.83864320313028,1.74945317898214,3.54858168382215,-2.68469643372284,0.910021436605712,16.5729722208112,"0      .","40 x 40","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi06g01346",7,"Vitvi06g01346","Vitvi06g01346",4.31046051604748,2.33041495035127,3.25952355845989,-4.19393380073977,0.963823164369027,27.3003559868616,"0      .","40 x 40","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00680",8,"Vitvi19g00680","Vitvi19g00680",1.82756020862031,1.59982071620205,3.20986880273576,-1.82756020862031,0.81684350812958,10.6907056131656,"1.55431223447522e-15      .","40 x 39","19 ","Binding to a metal ion."
"Vitvi10g01636",9,"Vitvi10g01636","",3.07156901202139,2.19170431113569,3.18702452431031,-3.05663839520639,0.867671599292334,13.1769840700726,"0      .","40 x 40"," ",""
"Vitvi17g00601",10,"Vitvi17g00601","Vitvi17g00601",3.77544993231672,2.16022896936492,3.17716013230076,-3.77544993231672,0.904278489020447,15.9907791155096,"0      .","40 x 40","17 ",""
"Vitvi00g02243",11,"Vitvi00g02243","",3.05153051382741,1.94343954846205,3.16453348378689,-2.86395284134068,0.748532146885676,8.52255547304067,"4.6903592121339e-12      .","40 x 40"," ",""
"Vitvi17g00977",12,"Vitvi17g00977","Vitvi17g00977",1.63086515277839,1.28807079528008,3.06889209145518,-1.63086515277839,0.776627417919949,9.30758549837322,"2.43804976207684e-13      .","40 x 36","17 ","Binding to a metal ion."
"Vitvi01g00816",13,"Vitvi01g00816","Vitvi01g00816",4.35465193059081,2.06270845046687,3.02587552342909,-3.81530091168756,0.899666825860618,15.5581566267827,"0      .","40 x 40","1 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi07g01844",14,"Vitvi07g01844","Vitvi07g01844",2.30575309727635,1.37726831361784,3.01765346261433,-2.22678882061846,0.763376384354759,8.92225425781785,"1.03439479204326e-12      .","38 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
