"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi14g01929",1,"Vitvi14g01929","Vitvi14g01929",3.29421001368168,1.86592724530512,4.4062722774345,-3.19110535149669,0.810738255965923,10.4558377826181,"3.5527136788005e-15      .","40 x 39","14 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi09g01282",2,"Vitvi09g01282","Vitvi09g01282",2.105166697328,1.83140696572457,4.30566701695698,-2.10291874951837,0.604549224566706,5.72989096857956,"1.98313769406155e-07      .","40 x 36","9 ","Functions in the storage of nutritious substrates."
"Vitvi13g00172",3,"Vitvi13g00172","Vitvi13g00172",3.4290369099911,2.11069385171343,3.7389402441763,-3.41638259697609,0.850478158019805,12.2069254274104,"0      .","40 x 40","13 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi17g01251",4,"Vitvi17g01251","Vitvi17g01251",2.79749367758614,1.83597107519462,3.61334003669884,-2.79749367758614,0.809617481720856,10.4138275080045,"4.21884749357559e-15      .","40 x 39","17 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi13g01337",5,"Vitvi13g01337","Vitvi13g01337",2.83864320313028,1.74945317898214,3.54858168382215,-2.68469643372284,0.895487664618748,15.1898252715248,"0      .","40 x 40","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi06g01346",6,"Vitvi06g01346","Vitvi06g01346",4.31046051604748,2.33041495035127,3.25952355845989,-4.19393380073977,0.960085389324839,25.9145602719289,"0      .","40 x 40","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00680",7,"Vitvi19g00680","Vitvi19g00680",1.82756020862031,1.59982071620205,3.20986880273576,-1.82756020862031,0.799893525496701,10.0627256373384,"1.48769885299771e-14      .","40 x 39","19 ","Binding to a metal ion."
"Vitvi10g01636",8,"Vitvi10g01636","",3.07156901202139,2.19170431113569,3.18702452431031,-3.05663839520639,0.864275244550025,12.9719405983326,"0      .","40 x 40"," ",""
"Vitvi17g00601",9,"Vitvi17g00601","Vitvi17g00601",3.77544993231672,2.16022896936492,3.17716013230076,-3.77544993231672,0.923095498355038,18.12206793635,"0      .","40 x 40","17 ",""
"Vitvi00g02243",10,"Vitvi00g02243","",3.05153051382741,1.94343954846205,3.16453348378689,-2.86395284134068,0.7563130541507,8.72814449068398,"2.15227835553833e-12      .","40 x 40"," ",""
"Vitvi17g00977",11,"Vitvi17g00977","Vitvi17g00977",1.63086515277839,1.28807079528008,3.06889209145518,-1.63086515277839,0.744854760732518,8.42821585375483,"6.71196431767385e-12      .","40 x 36","17 ","Binding to a metal ion."
"Vitvi01g00816",12,"Vitvi01g00816","Vitvi01g00816",4.35465193059081,2.06270845046687,3.02587552342909,-3.81530091168756,0.880186975390104,14.0010249580477,"0      .","40 x 40","1 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi07g01844",13,"Vitvi07g01844","Vitvi07g01844",2.30575309727635,1.37726831361784,3.01765346261433,-2.22678882061846,0.774681411280026,9.24915061271519,"3.03312930327593e-13      .","38 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00008",14,"Vitvi19g00008","Vitvi19g00008",1.91099891536267,1.42337048851559,2.96131180683313,-1.91099891536267,0.882843481297859,14.1915817682932,"0      .","40 x 39","19 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g01788",15,"Vitvi13g01788","",2.43233362646315,1.65245848451915,2.96063770815151,-2.43233362646315,0.660092191616132,6.63430371111783,"6.4557853507452e-09      .","40 x 36"," ",""
"Vitvi01g00593",16,"Vitvi01g00593","Vitvi01g00593",2.39766473563293,1.44986753649401,2.95416622567569,-2.2573344135766,0.834919227821243,11.4531558110519,"1.11022302462516e-16      .","40 x 38","1 ","Binding to a metal ion."
"Vitvi12g02394",17,"Vitvi12g02394","Vitvi12g02394",5.10287673420743,2.52612616588073,2.92340535719332,-4.90832090287611,0.940978154939495,20.9894111352244,"0      .","40 x 40","12 ",""
"Vitvi14g03084",18,"Vitvi14g03084","Vitvi14g03084",4.09106082011499,2.08645377804157,2.91947820949221,-3.98795615793,0.972830253418248,31.7239197331018,"0      .","40 x 40","14 ",""
"Vitvi01g01030",19,"Vitvi01g01030","Vitvi01g01030",2.63507743079631,1.79419067443974,2.89952652421103,-2.43139790671769,0.807279737703488,10.3272597644706,"5.77315972805081e-15      .","40 x 39","1 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi05g00067",20,"Vitvi05g00067","Vitvi05g00067",3.73157094016338,1.55826159057495,2.86098445584013,-3.21761826128261,0.81272745678835,10.5312288218055,"2.66453525910038e-15      .","40 x 38","5 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi10g01035",21,"Vitvi10g01035","Vitvi10g01035",2.62403787090578,1.51366914797163,2.85767294432923,-2.53370213084847,0.89697671166903,15.3186287780542,"0      .","40 x 40","10 ","Binding to a lipid."
"Vitvi12g00342",22,"Vitvi12g00342","Vitvi12g00342",2.17972562272311,1.54316596785498,2.84932428708281,-2.13441919538208,0.872583931840812,13.4868924206048,"0      .","40 x 40","12 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi18g00510",23,"Vitvi18g00510","Vitvi18g00510",3.33664703063471,1.65466980070041,2.83972733990554,-3.33664703063471,0.904080019463013,15.971553487298,"0      .","40 x 40","18 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi02g00236",24,"Vitvi02g00236","Vitvi02g00236",2.73626294674576,1.06557864052551,2.83036802071904,-2.54019512015647,0.764174331453921,8.94465484931907,"9.50794998288984e-13      .","40 x 37","2 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g02246",25,"Vitvi07g02246","Vitvi07g02246",5.88588390362623,2.65993328592774,2.8191681237239,-5.36318143212183,0.861187177052317,12.7916086333733,"0      .","40 x 40","7 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00168",26,"Vitvi04g00168","Vitvi04g00168",2.85322095622983,1.59311142530491,2.79742824112137,-2.70074245126844,0.863977049877713,12.9542793732629,"0      .","40 x 40","4 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi01g00710",27,"Vitvi01g00710","Vitvi01g00710",3.38409745457721,1.73658315072445,2.77332175222355,-2.85430374665761,0.918792955894655,17.5729298637935,"0      .","40 x 40","1 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g00352",28,"Vitvi07g00352","Vitvi07g00352",3.42882532331249,1.74971221879906,2.72859388348828,-3.33848958325517,0.920318416687664,17.7627392113359,"0      .","40 x 40","7 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g00212",29,"Vitvi05g00212","Vitvi05g00212",3.34849322738624,1.32907462900283,2.72616120267201,-3.11214164314854,0.846298292506194,11.9941813876178,"0      .","40 x 38","5 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi18g00731",30,"Vitvi18g00731","Vitvi18g00731",2.76640449544835,1.6751015973387,2.70951901307805,-2.76640449544835,0.906233470925034,16.1832432002827,"0      .","40 x 40","18 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00501",31,"Vitvi04g00501","Vitvi04g00501",5.02059800745715,2.04686474612313,2.69995587234912,-4.4765959810563,0.941839836250033,21.1589917828237,"0      .","40 x 40","4 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi10g01505",32,"Vitvi10g01505","Vitvi10g01505",2.29910898276242,1.5835181936435,2.69628005816111,-2.23883977896705,0.742365434814746,8.3653377904233,"8.5256246507015e-12      .","40 x 40","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00511",33,"Vitvi02g00511","Vitvi02g00511",3.16336696253758,1.38936533178005,2.69063781807286,-2.56085908792305,0.889018919083778,14.6590491881731,"0      .","40 x 39","2 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi04g00342",34,"Vitvi04g00342","Vitvi04g00342",3.63161383257557,1.51224927812225,2.63953927269783,-3.08144346175638,0.80656881216087,10.3012125720561,"6.21724893790088e-15      .","39 x 40","4 ",""
"Vitvi01g00747",35,"Vitvi01g00747","Vitvi01g00747",2.42607652405163,1.432100316854,2.606323578765,-2.2857462019953,0.804168055735648,10.2141911944795,"8.65973959207622e-15      .","40 x 37","1 ",""
"Vitvi09g00265",36,"Vitvi09g00265","",3.07433329585506,1.91458901974562,2.57770166897274,-2.99864765295375,0.891881344015666,14.8883730100467,"0      .","40 x 40"," ",""
"Vitvi05g00953",37,"Vitvi05g00953","Vitvi05g00953",2.6057794700931,1.52506281796646,2.57705106769495,-2.4533009651317,0.845753487995694,11.9670388368599,"0      .","40 x 38","5 ","Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends."
"Vitvi03g00124",38,"Vitvi03g00124","Vitvi03g00124",2.41096292945244,1.26683787391387,2.54161593475635,-2.23045826992503,0.85587646548206,12.4941446008014,"0      .","40 x 37","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi06g00119",39,"Vitvi06g00119","Vitvi06g00119",3.41443730232133,1.36183083238675,2.53825272164813,-2.86938981185565,0.848529042959557,12.1067149076257,"0      .","40 x 40","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00442",40,"Vitvi04g00442","Vitvi04g00442",3.97407116162605,1.67563837388597,2.53699720967017,-3.42902367116038,0.919498768223481,17.6601097372529,"0      .","40 x 40","4 ","A more or less rigid stucture lying outside the cell membrane of a cell and composed of cellulose and pectin and other organic and inorganic substances."
"Vitvi13g01555",41,"Vitvi13g01555","Vitvi13g01555",1.73984519885759,1.28274286358278,2.53646355544452,-1.72284939376998,0.824011220393496,10.9803026478495,"5.55111512312578e-16      .","40 x 37","13 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi11g00074",42,"Vitvi11g00074","Vitvi11g00074",3.62373721873281,1.30655318612131,2.50124870083731,-3.28175283957246,0.722548340169391,7.89087134703212,"5.21700460609509e-11      .","38 x 37","11 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi02g01355",43,"Vitvi02g01355","Vitvi02g01355",2.56286848138888,1.25849764077853,2.4964363927777,-2.40138244021711,0.693702350007507,7.27143650428733,"5.61348967309527e-10      .","37 x 40","2 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g01873",44,"Vitvi04g01873","Vitvi04g01873",4.52858835130415,1.48123645752471,2.48195067830305,-3.97985294588283,0.708581620682263,7.58142733370338,"1.70806147004043e-10      .","35 x 40","4 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g01513",45,"Vitvi06g01513","Vitvi06g01513",3.86498553153179,2.02815773252705,2.47615597534215,-3.74845881622408,0.877022513277851,13.7816311502143,"0      .","40 x 40","6 ",""
"Vitvi12g00627",46,"Vitvi12g00627","Vitvi12g00627",1.90550012225825,1.17747592703556,2.47411669407619,-1.88651990107593,0.870677883819392,13.36469443448,"0      .","40 x 38","12 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
