"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00098","Vitvi01g00098","21 x 36","Tocai_acclim_r1","Vitvi01g00098","Binding to a metal ion."
"Vitvi01g00474","Vitvi01g00474","4 x 26","Riesl_freeze_r1","Vitvi01g00474","Reactions triggered in response to the presence of a fungus that act to protect the cell or organism."
"Vitvi01g00529","Vitvi01g00529","33 x 6","Riesl_freeze_r1","Vitvi01g00529","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi01g00552","Vitvi01g00552","7 x 29","Tocai_freeze_r3","Vitvi01g00552","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00845","Vitvi01g00845","31 x 3","Riesl_warm_r1","Vitvi01g00845","The process in which the structures of a hair cell (trichome) cell are generated and organized. This process occurs while the initially relatively unspecialized epidermal cell is acquiring the specialized features of a hair cell. An example of this process is found in Arabidopsis thaliana."
"Vitvi01g01492","Vitvi01g01492","17 x 22","Tocai_freeze_r2","Vitvi01g01492","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi01g01493","Vitvi01g01493","24 x 31","CabFra_acclim_r2","Vitvi01g01493","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00526","Vitvi02g00526","40 x 38","Tocai_freeze_r1","Vitvi02g00526",""
"Vitvi02g00560","Vitvi02g00560","24 x 4","Sangio_freeze_r1","Vitvi02g00560","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi02g00686","Vitvi02g00686","28 x 39","Tocai_acclim_r1","Vitvi02g00686",""
"Vitvi03g00582","Vitvi03g00582","31 x 33","Chard_warm_r3","Vitvi03g00582",""
"Vitvi03g00630","Vitvi03g00630","1 x 1","Sangio_freeze_r1","Vitvi03g00630","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi03g01145","Vitvi03g01145","8 x 24","Sangio_freeze_r1","Vitvi03g01145","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g01287","Vitvi03g01287","18 x 29","Sangio_warm_r1","Vitvi03g01287","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g00096","Vitvi04g00096","15 x 22","Sangio_freeze_r2","Vitvi04g00096","Binding to a metal ion."
"Vitvi04g00219","Vitvi04g00219","5 x 22","Tocai_accfreeze_r2","Vitvi04g00219","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi04g00527","Vitvi04g00527","12 x 3","Riesl_freeze_r3","Vitvi04g00527","Any process that stops, prevents, or reduces the frequency, rate or extent of abscisic acid (ABA) signaling."
"Vitvi04g01161","Vitvi04g01161","18 x 16","CabFra_accfreeze_r3","Vitvi04g01161","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01930","Vitvi04g01930","5 x 11","Sangio_freeze_r1","Vitvi04g01930","Binding to a zinc ion (Zn)."
"Vitvi07g00077","Vitvi07g00077","5 x 14","CabFra_accfreeze_r2","Vitvi07g00077","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00290","Vitvi10g00290","36 x 38","CabFra_warm_r2","Vitvi10g00290",""
"Vitvi04g01208","Vitvi04g01208","18 x 33","Riesl_acclim_r1","Vitvi04g01208","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01252","Vitvi04g01252","4 x 35","Tocai_accfreeze_r2","Vitvi04g01252","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00304","Vitvi06g00304","20 x 40","Tocai_freeze_r1","Vitvi06g00304","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi06g00607","Vitvi06g00607","36 x 36","Riesl_warm_r2","Vitvi06g00607","Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."
"Vitvi06g01195","Vitvi06g01195","22 x 17","Sangio_accfreeze_r1","Vitvi06g01195","A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"Vitvi06g01350","Vitvi06g01350","4 x 1","Riesl_freeze_r3","Vitvi06g01350",""
"Vitvi06g01399","Vitvi06g01399","31 x 25","Sangio_accfreeze_r1","Vitvi06g01399","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01471","Vitvi06g01471","18 x 1","CabFra_freeze_r2","Vitvi06g01471","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g01682","Vitvi06g01682","1 x 1","Sangio_freeze_r1","Vitvi06g01682","A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chitin stimulus."
"Vitvi07g00171","Vitvi07g00171","8 x 26","Chard_acclim_r2","Vitvi07g00171","Binding to a nucleic acid."
