"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi06g01713",1,"Vitvi06g01713","",1.63658227862765,1.52499165597832,5.75860486992046,-1.62165166181265,0.696077946584656,7.31966645275693,"4.66467531268222e-10      .","5 x 1"," ",""
"Vitvi05g00204",2,"Vitvi05g00204","Vitvi05g00204",1.88989655216217,2.30166016081573,5.7199507583336,-1.87724223914716,0.808306327183582,10.3651004674115,"4.9960036108132e-15      .","4 x 1","5 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi15g00835",3,"Vitvi15g00835","Vitvi15g00835",1.39759925727829,1.80034011172164,5.62546156421187,-1.39759925727829,0.689382064399793,7.18489133137633,"7.8256090496609e-10      .","5 x 1","15 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi09g01554",4,"Vitvi09g01554","",1.36438827759866,1.58055514338893,5.60095920253265,-1.36438827759866,0.736112538748919,8.21075945230005,"1.53640433708802e-11      .","4 x 3"," ",""
"Vitvi05g00170",5,"Vitvi05g00170","Vitvi05g00170",2.57000486144656,2.42349599495939,5.27497615349905,-2.54488551766165,0.87099744649793,13.3850056481823,"0      .","3 x 1","5 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi06g01917",6,"Vitvi06g01917","Vitvi06g01917",2.58387626091451,1.79986137805488,5.23199316441384,-2.50491198425663,0.668847042725193,6.79268778528828,"3.52171003470403e-09      .","4 x 3","6 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi18g03065",7,"Vitvi18g03065","",1.04368962085323,1.46860628575363,5.12250465117007,-1.04368962085323,0.689648460388391,7.19018505892126,"7.6681949678914e-10      .","4 x 4"," ",""
"Vitvi06g01280",8,"Vitvi06g01280","",1.77457995241524,1.69002975003717,5.0914284999211,-1.76992282638632,0.764788178911082,8.96195438686286,"8.90842954959226e-13      .","4 x 2"," ",""
"Vitvi06g00666",9,"Vitvi06g00666","Vitvi06g00666",3.52407293988003,2.27768763678311,4.89438849192633,-3.03856951777347,0.550717166726345,4.98126713216763,"3.10153841476257e-06      .","1 x 1","6 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g01408",10,"Vitvi02g01408","Vitvi02g01408",3.89033016639148,1.57416608732003,4.81472186095865,-2.05560720861166,0.698206200402704,7.36327060748105,"3.94569377171194e-10      .","4 x 3","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01907",11,"Vitvi04g01907","Vitvi04g01907",0.893627911278571,1.43001714515756,4.78950230502198,-0.893627911278571,0.667395624021019,6.76608539118758,"3.89935639333316e-09      .","5 x 3","4 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi00g00932",12,"Vitvi00g00932","",1.37498297657433,1.22799908916921,4.77031181741228,-1.23081946081113,0.604372719427991,5.72725514072705,"2.00276950357292e-07      .","4 x 4"," ",""
"Vitvi02g01747",13,"Vitvi02g01747","",1.37468716746504,1.22775420632305,4.76841071690044,-1.23052365170185,0.604396932793815,5.72761665076585,"2.00006561423827e-07      .","4 x 4"," ",""
"Vitvi15g00960",14,"Vitvi15g00960","Vitvi15g00960",1.97615133936275,2.01320192838567,4.64557646967393,-1.97615133936275,0.820088227157385,10.8198687699872,"8.88178419700125e-16      .","4 x 1","15 ","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi17g00819",15,"Vitvi17g00819","Vitvi17g00819",0.910895195955471,1.38913460621268,4.4662382095978,-0.910895195955471,0.579703164937591,5.37127385278996,"7.50051080800063e-07      .","5 x 2","17 ","Binding to a zinc ion (Zn)."
"Vitvi04g01685",16,"Vitvi04g01685","Vitvi04g01685",1.09658821902139,1.25855993409565,4.42967641889485,-1.08393390600638,0.742277087990806,8.36312052266122,"8.5979001696046e-12      .","4 x 1","4 ",""
"Vitvi06g01762",17,"Vitvi06g01762","Vitvi06g01762",1.95889790637542,1.82438892098936,4.20729636564788,-1.9542407803465,0.864230608519329,12.9692935002189,"0      .","3 x 1","6 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi16g01434",18,"Vitvi16g01434","Vitvi16g01434",1.50838566640078,1.62515898197911,4.19427913492027,-1.50838566640078,0.855816262927495,12.490859861345,"0      .","1 x 1","16 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi18g03100",19,"Vitvi18g03100","Vitvi18g03100",2.39031776245998,2.0908554631383,4.16009612230081,-2.39031776245998,0.853769507629872,12.380301734118,"0      .","3 x 1","18 ","Binds to and stops, prevents or reduces the activity of a cysteine-type endopeptidase, any enzyme that hydrolyzes peptide bonds in polypeptides by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile."
"Vitvi14g00971",20,"Vitvi14g00971","",1.52384074180273,1.72559003142891,4.15435935810473,-1.52384074180273,0.783534300983788,9.52050891689119,"1.10356168647741e-13      .","2 x 1"," ",""
"Vitvi00g02226",21,"Vitvi00g02226","",1.4744025933319,1.36727635657696,4.15197146261867,-1.45542237214958,0.694477384167073,7.28712073298784,"5.28546761913162e-10      .","5 x 2"," ",""
"Vitvi02g01288",22,"Vitvi02g01288","Vitvi02g01288",3.22462777900804,1.97048461401418,4.14033745696156,-3.1193342432905,0.860169256534413,12.7333823369727,"0      .","2 x 1","2 ","Binding to a metal ion."
"Vitvi13g02551",23,"Vitvi13g02551","Vitvi13g02551",0.749777728514924,1.31687611703181,4.13589314653811,-0.749777728514924,0.779983310347914,9.4099422839733,"1.66422431391311e-13      .","4 x 3","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02562",24,"Vitvi12g02562","",1.13970341079771,1.43420018227622,4.04231923009077,-1.13970341079771,0.643120717677301,6.34066084541061,"1.97843563753963e-08      .","4 x 1"," ",""
"Vitvi05g01583",25,"Vitvi05g01583","Vitvi05g01583",4.30526782380852,1.59308247769816,4.03078486604582,-2.76023254198864,0.683803100098927,7.07528660664936,"1.1918105391473e-09      .","3 x 4","5 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g02009",26,"Vitvi01g02009","",1.66202879039135,1.61889356823961,4.00987879172225,-1.47445111790462,0.815685077655183,10.6453374825899,"1.77635683940025e-15      .","4 x 1"," ",""
"Vitvi08g01844",27,"Vitvi08g01844","Vitvi08g01844",1.42204243348756,1.36878739879559,4.00652459767022,-1.40711181667256,0.827007123416857,11.1061222006889,"3.33066907387547e-16      .","3 x 1","8 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
