"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi19g02024",1,"Vitvi19g02024","",1.06969622859764,1.21163747159008,3.64566088839986,-1.06969622859764,0.628519719730962,6.10087241461798,"4.91334806174137e-08      .","40 x 34"," ",""
"Vitvi15g01693",2,"Vitvi15g01693","Vitvi15g01693",0.999408869291186,1.03416385966413,3.11563373206972,-0.999408869291186,0.477811736617403,4.10649342837718,"6.48488781076484e-05      .","38 x 30","15 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g00441",3,"Vitvi01g00441","Vitvi01g00441",1.98015288062634,1.16980728655188,2.94220971661519,-1.79964822109893,0.730082525768022,8.06604185473365,"2.66962008055316e-11      .","40 x 34","1 ","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi13g02009",4,"Vitvi13g02009","Vitvi13g02009",2.18929706101006,1.2993769498783,2.83349755908838,-2.17031683982774,0.622767241539582,6.00938975272948,"6.94164192793778e-08      .","40 x 32","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi13g02008",5,"Vitvi13g02008","Vitvi13g02008",2.05679741296876,1.358184586122,2.8292971136255,-2.05679741296876,0.772616084197807,9.18785133363135,"3.81472631261204e-13      .","40 x 35","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi06g01410",6,"Vitvi06g01410","Vitvi06g01410",2.1247122584249,1.43078714912546,2.81367303889044,-2.04902661552359,0.751899215912448,8.61050121287455,"3.35997896172557e-12      .","40 x 33","6 ",""
"Vitvi05g01577",7,"Vitvi05g01577","Vitvi05g01577",1.66947234027653,1.24491146813507,2.72383042932465,-1.57913660021922,0.578607536003888,5.35600588388608,"7.93370825924455e-07      .","40 x 32","5 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g01503",8,"Vitvi03g01503","Vitvi03g01503",1.8511820921621,1.20270121727477,2.69482253170305,-1.78758035267121,0.820498752898982,10.836434870763,"8.88178419700125e-16      .","40 x 35","3 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g01500",9,"Vitvi03g01500","Vitvi03g01500",1.51861275335058,1.19455762262502,2.6707356328661,-1.47945189724668,0.732402806178244,8.12123748950001,"2.162137135997e-11      .","40 x 34","3 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi03g00227",10,"Vitvi03g00227","Vitvi03g00227",2.41486031148991,1.13118758278737,2.57129450468285,-1.89215783998551,0.798832741551307,10.0258047864941,"1.70974345792274e-14      .","40 x 35","3 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00221",11,"Vitvi03g00221","Vitvi03g00221",1.30052238378496,0.994532235977492,2.56569321758988,-1.28154216260264,0.668087766929836,6.77875392895194,"3.71472663740491e-09      .","40 x 32","3 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi15g01663",12,"Vitvi15g01663","Vitvi15g01663",2.16641483702671,1.39745154660788,2.56399866850482,-2.15900805178541,0.35106699813143,2.83066881369519,"0.00320277615029663      .","38 x 30","15 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi03g00134",13,"Vitvi03g00134","Vitvi03g00134",1.6518738982549,0.983035504139565,2.55196331610849,-1.58827215876401,0.763847705752553,8.93547367220015,"9.84101689027739e-13      .","40 x 33","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00804",14,"Vitvi15g00804","Vitvi15g00804",2.99269521219111,1.07470876827114,2.53356942572513,-2.28128723811844,0.695537153867856,7.30864646924669,"4.86625184592526e-10      .","40 x 33","15 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi05g01478",15,"Vitvi05g01478","Vitvi05g01478",1.57671258453361,0.702951760615489,2.52340051793739,-1.36482977776725,0.528220562742379,4.6966717441551,"8.54632432600866e-06      .","35 x 30","5 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00125",16,"Vitvi02g00125","Vitvi02g00125",3.75947011704337,1.26269530661389,2.51168298823004,-2.18883401817204,0.893923692875469,15.0573117211009,"0      .","40 x 35","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi09g00040",17,"Vitvi09g00040","Vitvi09g00040",1.96993630623795,0.991065693742095,2.49539757987476,-1.75805349947159,0.567482726477045,5.20339702522392,"1.38722167419836e-06      .","40 x 31","9 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi03g01621",18,"Vitvi03g01621","Vitvi03g01621",3.38937716323887,1.41979621381719,2.48832989072003,-3.28627250105388,0.63212457716389,6.15904056573549,"3.94234076495081e-08      .","40 x 33","3 ","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor)."
