"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00280","Vitvi01g00280","40 x 39","CabFra_warm_r2","Vitvi01g00280","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00442","Vitvi01g00442","33 x 40","CabFra_acclim_r1","Vitvi01g00442","Binding to a metal ion."
"Vitvi01g00455","Vitvi01g00455","29 x 7","CabFra_freeze_r3","Vitvi01g00455","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00629","Vitvi01g00629","40 x 16","Tocai_freeze_r1","Vitvi01g00629","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi01g00714","Vitvi01g00714","1 x 3","CabFra_freeze_r3","Vitvi01g00714","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi02g00143","Vitvi02g00143","4 x 8","Sangio_freeze_r3","Vitvi02g00143","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00145","Vitvi02g00145","3 x 15","CabFra_freeze_r3","Vitvi02g00145","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi02g00390","Vitvi02g00390","7 x 8","CabFra_freeze_r3","Vitvi02g00390","The chemical reactions and pathways involving galactose, the aldohexose galacto-hexose. D-galactose is widely distributed in combined form in plants, animals and microorganisms as a constituent of oligo- and polysaccharides; it also occurs in galactolipids and as its glucoside in lactose and melibiose."
"Vitvi02g00512","Vitvi02g00512","6 x 9","Sangio_freeze_r1","Vitvi02g00512","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi02g01183","Vitvi02g01183","1 x 8","Tocai_accfreeze_r3","Vitvi02g01183","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi02g01187","Vitvi02g01187","6 x 22","Sangio_freeze_r3","Vitvi02g01187","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g00009","Vitvi03g00009","40 x 38","CabFra_warm_r3","Vitvi03g00009","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi03g00088","Vitvi03g00088","40 x 15","CabFra_accfreeze_r2","Vitvi03g00088","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g00249","Vitvi04g00249","9 x 10","Riesl_freeze_r3","Vitvi04g00249","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi07g02491","Vitvi07g02491","12 x 15","Sangio_freeze_r3","Vitvi07g02491","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."
"Vitvi10g00436","Vitvi10g00436","40 x 38","Chard_warm_r3","Vitvi10g00436","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi04g01389","Vitvi04g01389","39 x 40","Sangio_warm_r3","Vitvi04g01389","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi04g01633","Vitvi04g01633","32 x 8","Chard_freeze_r2","Vitvi04g01633","Catalysis of the reaction: alpha-D-glucose 1-phosphate + UTP = diphosphate + UDP-D-glucose."
"Vitvi05g00139","Vitvi05g00139","1 x 26","Riesl_freeze_r3","Vitvi05g00139","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g00149","Vitvi05g00149","5 x 38","Tocai_accfreeze_r3","Vitvi05g00149","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g00164","Vitvi05g00164","7 x 11","Tocai_accfreeze_r2","Vitvi05g00164","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g00170","Vitvi05g00170","3 x 1","CabFra_freeze_r3","Vitvi05g00170","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi05g00204","Vitvi05g00204","4 x 1","CabFra_accfreeze_r2","Vitvi05g00204","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi05g00752","Vitvi05g00752","34 x 34","Tocai_accfreeze_r1","Vitvi05g00752","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi05g01135","Vitvi05g01135","6 x 21","CabFra_freeze_r2","Vitvi05g01135","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi05g01334","Vitvi05g01334","5 x 19","Sangio_freeze_r1","Vitvi05g01334","Catalysis of the reaction: a D-threo-aldose + NAD+ = a D-threo-aldono-1,5-lactone + NADH."
"Vitvi05g01336","Vitvi05g01336","26 x 37","Riesl_acclim_r3","Vitvi05g01336","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01337","Vitvi05g01337","2 x 4","Sangio_freeze_r3","Vitvi05g01337","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi05g01639","Vitvi05g01639","4 x 28","Tocai_acclim_r3","Vitvi05g01639","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group."
"Vitvi05g01769","Vitvi05g01769","15 x 1","CabFra_freeze_r2","Vitvi05g01769",""
"Vitvi06g00300","Vitvi06g00300","40 x 7","Chard_warm_r1","Vitvi06g00300","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
"Vitvi06g01272","Vitvi06g01272","26 x 1","Riesl_freeze_r2","Vitvi06g01272","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g01427","Vitvi06g01427","2 x 32","CabFra_freeze_r2","Vitvi06g01427","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi06g01444","Vitvi06g01444","39 x 7","Riesl_warm_r1","Vitvi06g01444","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi07g00431","Vitvi07g00431","4 x 2","CabFra_freeze_r3","Vitvi07g00431","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi07g00457","Vitvi07g00457","1 x 14","Tocai_freeze_r2","Vitvi07g00457","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi07g01916","Vitvi07g01916","40 x 39","Tocai_acclim_r3","Vitvi07g01916","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."
