"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi04g00252","Vitvi04g00252","40 x 36","Tocai_freeze_r1","Vitvi04g00252","Catalysis of the reaction: (5-L-glutamyl)-L-amino acid = 5-oxoproline + L-amino acid."
"Vitvi06g00298","Vitvi06g00298","23 x 20","CabFra_freeze_r2","Vitvi06g00298","The chemical reactions and pathways resulting in the formation of pyridoxal phosphate, pyridoxal phosphorylated at the hydroxymethyl group of C-5, the active form of vitamin B6."
"Vitvi06g00646","Vitvi06g00646","12 x 1","Tocai_freeze_r3","Vitvi06g00646","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi08g01554","Vitvi08g01554","14 x 31","CabFra_warm_r2","Vitvi08g01554","The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells."
"Vitvi09g00375","Vitvi09g00375","22 x 8","Riesl_freeze_r1","Vitvi09g00375","The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells."
"Vitvi13g00505","Vitvi13g00505","26 x 19","Riesl_freeze_r2","Vitvi13g00505","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi13g00622","Vitvi13g00622","38 x 33","Tocai_freeze_r1","Vitvi13g00622","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi15g00728","Vitvi15g00728","29 x 4","Chard_freeze_r3","Vitvi15g00728","Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."
"Vitvi18g00288","Vitvi18g00288","32 x 10","Sangio_warm_r3","Vitvi18g00288","Catalysis of the reaction: (5-L-glutamyl)-L-amino acid = 5-oxoproline + L-amino acid."
"Vitvi18g00523","Vitvi18g00523","22 x 38","Sangio_accfreeze_r2","Vitvi18g00523","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi19g00527","Vitvi19g00527","26 x 40","Tocai_accfreeze_r1","Vitvi19g00527","Catalysis of the transfer of a pentosyl group from one compound (donor) to another (acceptor)."
