"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g01512","Vitvi01g01512","26 x 22","Riesl_acclim_r3","Vitvi01g01512","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
"Vitvi02g01446","Vitvi02g01446","29 x 1","Riesl_freeze_r2","Vitvi02g01446",""
"Vitvi04g01792","Vitvi04g01792","26 x 3","Riesl_freeze_r2","Vitvi04g01792","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi10g00134","Vitvi10g00134","29 x 33","Sangio_warm_r3","Vitvi10g00134","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi06g00561","Vitvi06g00561","12 x 1","Tocai_freeze_r3","Vitvi06g00561","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi09g00045","Vitvi09g00045","38 x 11","Riesl_freeze_r1","Vitvi09g00045","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi09g00599","Vitvi09g00599","7 x 1","Tocai_freeze_r2","Vitvi09g00599","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g00409","Vitvi13g00409","3 x 40","Tocai_accfreeze_r1","Vitvi13g00409","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g00410","Vitvi13g00410","1 x 28","Riesl_accfreeze_r3","Vitvi13g00410","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g00451","Vitvi13g00451","9 x 3","Sangio_freeze_r2","Vitvi13g00451","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g00490","Vitvi13g00490","15 x 6","Riesl_freeze_r1","Vitvi13g00490","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"Vitvi13g00491","Vitvi13g00491","40 x 17","Sangio_warm_r1","Vitvi13g00491","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g02014","Vitvi13g02014","1 x 40","Chard_accfreeze_r3","Vitvi13g02014","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g02017","Vitvi13g02017","6 x 40","Tocai_accfreeze_r1","Vitvi13g02017","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi13g02024","Vitvi13g02024","12 x 5","CabFra_freeze_r1","Vitvi13g02024","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"Vitvi16g00681","Vitvi16g00681","5 x 24","Riesl_freeze_r1","Vitvi16g00681",""
"Vitvi16g01352","Vitvi16g01352","10 x 8","Riesl_freeze_r3","Vitvi16g01352","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi18g01510","Vitvi18g01510","14 x 14","Chard_freeze_r2","Vitvi18g01510","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
