"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi01g00061","Vitvi01g00061","16 x 1","Riesl_freeze_r1","Vitvi01g00061","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi01g00558","Vitvi01g00558","21 x 2","Sangio_warm_r2","Vitvi01g00558","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi01g00787","Vitvi01g00787","4 x 2","CabFra_freeze_r3","Vitvi01g00787","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi01g01440","Vitvi01g01440","11 x 10","Sangio_freeze_r1","Vitvi01g01440","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi02g00030","Vitvi02g00030","24 x 23","Riesl_acclim_r3","Vitvi02g00030","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi03g00137","Vitvi03g00137","31 x 8","Chard_freeze_r2","Vitvi03g00137","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi03g00287","Vitvi03g00287","24 x 29","Tocai_freeze_r1","Vitvi03g00287","Binding to a metal ion."
"Vitvi03g00792","Vitvi03g00792","36 x 32","Tocai_freeze_r1","Vitvi03g00792","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi04g00318","Vitvi04g00318","40 x 13","Chard_warm_r1","Vitvi04g00318","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi04g00484","Vitvi04g00484","28 x 34","CabFra_acclim_r2","Vitvi04g00484","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi13g00241","Vitvi13g00241","40 x 8","Chard_warm_r1","Vitvi13g00241","Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide."
"Vitvi04g01402","Vitvi04g01402","38 x 1","Riesl_freeze_r3","Vitvi04g01402","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
